ID fysisk,ID digital,benämning på data.kb.se,weburn pdf,datakbse pdf,reginaid
8433206,saknas,8433206.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433206,https://data.kb.se/datasets/2016/05/suecia/8433206.pdf,001922512
8433463,saknas,8433463.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433463,https://data.kb.se/datasets/2016/05/suecia/8433463.pdf,001922551
8433453,saknas,8433453.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433453,https://data.kb.se/datasets/2016/05/suecia/8433453.pdf,001922556
8433435,saknas,8433435.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433435,https://data.kb.se/datasets/2016/05/suecia/8433435.pdf,001922561
8433039,saknas,8433039.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433039,https://data.kb.se/datasets/2016/05/suecia/8433039.pdf,001922572
8433019,saknas,8433019.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433019,https://data.kb.se/datasets/2016/05/suecia/8433019.pdf,001922576
8433588,saknas,8433588.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433588,https://data.kb.se/datasets/2016/05/suecia/8433588.pdf,001922581
8433923,saknas,8433923.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433923,https://data.kb.se/datasets/2016/05/suecia/8433923.pdf,001922607
8433907,saknas,8433907.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433907,https://data.kb.se/datasets/2016/05/suecia/8433907.pdf,001922612
8433821,saknas,8433821.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433821,https://data.kb.se/datasets/2016/05/suecia/8433821.pdf,001922638
8433803,saknas,8433803.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433803,https://data.kb.se/datasets/2016/05/suecia/8433803.pdf,001922641
8433673,saknas,8433673.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433673,https://data.kb.se/datasets/2016/05/suecia/8433673.pdf,001922670
8434165,saknas,8434165.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434165,https://data.kb.se/datasets/2016/05/suecia/8434165.pdf,001922743
8434099,saknas,8434099.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434099,https://data.kb.se/datasets/2016/05/suecia/8434099.pdf,001922766
8434076,saknas,8434076.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434076,https://data.kb.se/datasets/2016/05/suecia/8434076.pdf,001922770
8434040,saknas,8434040.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434040,https://data.kb.se/datasets/2016/05/suecia/8434040.pdf,001922779
8433992,saknas,8433992.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8433992,https://data.kb.se/datasets/2016/05/suecia/8433992.pdf,001922796
8434377,saknas,8434377.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434377,https://data.kb.se/datasets/2016/05/suecia/8434377.pdf,001922841
8434280,saknas,8434280.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434280,https://data.kb.se/datasets/2016/05/suecia/8434280.pdf,001922869
8434242,saknas,8434242.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434242,https://data.kb.se/datasets/2016/05/suecia/8434242.pdf,001922872
8434210,saknas,8434210.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434210,https://data.kb.se/datasets/2016/05/suecia/8434210.pdf,001922875
8434699,saknas,8434699.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434699,https://data.kb.se/datasets/2016/05/suecia/8434699.pdf,001922894
8434674,saknas,8434674.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434674,https://data.kb.se/datasets/2016/05/suecia/8434674.pdf,001922898
8434721,saknas,8434721.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8434721,https://data.kb.se/datasets/2016/05/suecia/8434721.pdf,001923042
8435791,saknas,8435791.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8435791,https://data.kb.se/datasets/2016/05/suecia/8435791.pdf,001923426
8435621,saknas,8435621.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8435621,https://data.kb.se/datasets/2016/05/suecia/8435621.pdf,001923485
8436023,saknas,8436023.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8436023,https://data.kb.se/datasets/2016/05/suecia/8436023.pdf,001923535
8436345,saknas,8436345.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8436345,https://data.kb.se/datasets/2016/05/suecia/8436345.pdf,001923600
