12191091,D,000
8352765,B,000
11004439,A,000
10527804,A,000
11226363,D,000
14573391,D,000
11293221,D,000
9863972,WZ 350,000
12130796,W 85,000
17255178,W 26.5,000
12751484,D,001.4
20866133,D,001.4
7g4mw9pr5pdlv49q,D,001.4
11303846,D,001.4
834823,WZ 40,000
11303833,D,001.42
18719204,D,001.42
20800411,D,001.42
9396007,A,001.42
10201903,WZ 345,001.4
19957826,WB 102,001.4
11903487,Oa,001.4
14214614,Oa,001.4
17421224,Oa,001.4
19934951,Oa,001.4
20053704,O,001.4
9473422,D,001.4
13533847,D,001.4
11908118,D,001.4
8353782,WA 950,001.42
8404329,C,100
20196579,D,100
9352179,D,100
8381146,D,100
17579191,D,100
20698090,D,100
7615196,D,100
12094105,O,001.42
13503080,Oa,001.42
12180090,D,001.42
10349663,D,001.42
12233128,D,001.42
18386960,D,001.42
10739320,D,001.42
13865172,D,001.42
10630717,D,001.42
17819296,O,001.42
18386961,D,001.42
20838042,D,001.42
11372471,D,001.42
10136361,E,150
7279194,Do,150
8348452,Do,150
17828136,Do,150
11496419,Do,150
10934339,Do,150
10658038,Do,150
9064549,Do,150
7228366,Do,150
9427719,Do,150
7274700,Do,150
7147898,WZ 350,100
19971971,WN 180,616.0757
22118761,WB 890,100
8380496,W 61,100
14008452,Dokc,100
10359322,D,100
8350492,D,100
20402499,D,100
9799724,D,100
13585247,D,100
9278166,D,100
8463894,WL 108,150
21718323,WL 108,150
22487754,WL 108,150
8404622,WM 188,150
7752586,WM 415,150
10919498,WS 105.5.E8,150
8370457,Do,150.19
8348522,Do,150.19
7229150,Do,150.19
8348594,Do,150.19
8348426,Do,150.19
7246983,Do,150.19
11237320,Do,150.19
17425619,Do,150.19
7228989,WM 176,150.19
7229246,WM 40,150.19
15146459,WM 425.5.C6,150.19
7229128,WM 460,150.19
7615187,WM 460,150.19
7228290,WM 460,150.19
10232676,WM 460,150.19
8348591,WM 460,150.19
8348195,WM 460,150.19
17024006,WM 460,150.19
7228394,WM 460,150.19
7767299,WM 460,150.19
8228970,WM 460.5.D8,150.19
7229720,WM 460.5.E3,150.19
10521231,WM 460.5.O2,150.19
7228665,WM 460.6,150.19
7230403,W 62,152
11269045,QV 173,152
8348414,QV 173,152
9347555,Do,152
22547605,Do,152
11311081,Do,152
7230387,Do,152
7280338,Do,152
20719286,Do,152
7230549,Do,152
8419831,Do,152
14755818,Do,152
10558145,Do,152
11613295,Do,152
10163346,Do,152
10508969,Do,152
10273096,Do,152
11269052,Do,152
22547419,Do,152
7638930,Do,152
7638981,Do,152
7638990,Do,152
7662769,WZ 112.5.P6,150.19
10390560,WZ 112.5.P6,150.19
7154488,WS 350,150.19
7229020,WS 105,150.19
8381143,WS 105,150.19
8348399,WL 103,153
19934986,Do,155
11194601,E,153
13515756,Do,153
12127205,Do,153
19404485,WT 104,153
17759653,WM 425,158
10007456,WL 300,153
7644636,WL 300,153
8360576,WL 300,153
11900704,Do,153
13498745,Do,153
18850800,Do,153
19088194,Do,153
8953757,Do,153
8273470,Do,153
19865525,Do,153
7277778,Do,153
7278197,Do,153
4962703,WL 300,152
9160311,WL 103,152
11658057,Do,153
7407875,Do,153
14663505,Do,153
9836649,Do,153
11656659,Do,153
11377582,Do,153
12765814,Do,153
13500496,Do,153
9637579,WL 335,152
8085791,WL 300,152
8085791,WL 300,152
7229097,Do,153
11957598,Do,153
14225419,WV 270,152
8348222,WM 172,152
7773716,WM 460,155
7229283,WM 460,155
15144493,WL 300,155
7229822,WL 103,155
11133014,WL 102,155
8348299,Ohj,155
7777526,Ohj,155
12032982,Oa,155
12478689,HQ,155
7637761,HQ,155
8348342,Dof,155
9461216,Dof,155
7764504,Dof,155
8353987,Do,155
8348398,Do,155
14741349,Do,155
8375394,Do,155
9122086,Do,155
11766539,Do,155
19474153,Do,155
8452728,Do,155
11195891,Do,155
10964705,Do,155
19952970,Do,155
10547095,Do,155
21989940,Do,155
9382519,Do,155
12030285,Do,155
14215424,Do,155
11311066,Eu,155.4
11570528,WS 105,155.4
7155322,WS 105,155.4
7156973,WS 105,155.4
17877127,WS 105,155.4
10960369,WS 105,155.4
7276259,WS 105,155.4
7228254,WS 105,155.4
8347523,WS 105,155.4
11269050,WM 460.5.O2,155.4
10106036,WM 460.5.O2,155.4
11729397,WM 426,155.4
10441396,WL 300,155.4
938427,WE 103,155.4
7275481,WS 105,155.4
8348589,WS 105,155.4
7227987,WS 105,155.4
7229349,WS 105,155.4
12427064,WS 105,155.4
11317631,Dof,155.4
11179623,WM 460.5.O2,155
7281446,WM 460.5.E3,155
7605869,WZ 308,155
7279093,WT 100,155
9102635,WS 462,155
8348512,WS 462,155
10110938,WS 462,155
22073369,WS 462,155
12148989,Dof,155.4
9102215,Do,155.4
10913412,WS 105,155
14678377,WS 105,155
7400738,WM 460.5.P3,155
14404252,WM 460.5.O2,155
10415777,WS 462,155
8381917,WS 350,155
7281684,WS 105.5.F2,155
18897562,WS 105,155.4
7228833,WS 105,155.4
8348424,WS 105,155.4
