printid;bibliography;reproductionDate;associatedMediaUri;isPrimaryTopicOfUri;isPrimaryTopicOfUri.marc:publicNote;CataloguersNote
22383847;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-22383847;http://weburn.kb.se/tumnaglar/60/004339860,1,i,1.jpg;Karta/kartbok;kbdkart
22496573;DST;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-22496573;http://weburn.kb.se/tumnaglar/45/004352345,1,i,1.jpg;Karta/kartbok;kbdkart
22512352;DST;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-22512352;http://weburn.kb.se/tumnaglar/95/004353195,1,i,1.jpg;Karta/kartbok;kbdkart
21764004;DST;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-21764004;http://weburn.kb.se/tumnaglar/18/004328718,1,i,1.jpg;Karta/kartbok;kbdkart
3121875;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-3121875;http://weburn.kb.se/tumnaglar/84/001725184,1,i,1.jpg;Karta/kartbok;kbdkart
2bkcjkms0h98sg9s;DST;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2bkcjkms0h98sg9s;http://weburn.kb.se/tumnaglar/74/004392574,1,i,1.jpg;Karta/kartbok;kbdkart
fpxq5g4wczvt6xrj;DST;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-fpxq5g4wczvt6xrj;http://weburn.kb.se/tumnaglar/83/004392583,1,i,1.jpg;Karta/kartbok;kbdkart
