printid;bibliography;reproductionDate;associatedMediaUri;isPrimaryTopicOfUri;isPrimaryTopicOfUri.marc:publicNote;CataloguersNote
1470823;DST;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-1470823;https://weburn.kb.se/tumnaglar/92/000491892,1,i,1.jpg;Bild;kbdtryck
1598011;DST;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-1598011;https://weburn.kb.se/tumnaglar/36/001055636,1,i,1.jpg;Bild;kbdtryck
1600084;DST;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-1600084;https://weburn.kb.se/tumnaglar/60/001057660,1,i,1.jpg;Bild;kbdtryck
2697118;DST;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2697118;https://weburn.kb.se/tumnaglar/57/001400957,1,i,1.jpg;Bild;kbdtryck
2729104;DST;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2729104;https://weburn.kb.se/tumnaglar/98/001423598,1,i,1.jpg;Bild;kbdtryck
2759520;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2759520;https://weburn.kb.se/tumnaglar/47/001454447,1,i,1.jpg;Bild;kbdtryck
3053979;DST;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-3053979;https://weburn.kb.se/tumnaglar/42/001677042,1,i,1.jpg;Bild;kbdtryck
