printid;bibliography;reproductionDate;associatedMediaUri;isPrimaryTopicOfUri;isPrimaryTopicOfUri.marc:publicNote;CataloguersNote
2383747;DST;2016;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2383747;https://weburn.kb.se/tumnaglar/71/000658071,1800001,p,1,,o1924.pdf;Bild;kbdaffisch
2388863;DST;2016;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2388863;https://weburn.kb.se/tumnaglar/79/000658879,1800001,p,1,,o1931.pdf;Bild;kbdaffisch
2446104;DST;2016;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2446104;https://weburn.kb.se/tumnaglar/55/000709855,1800001,p,1,,o1934.pdf;Bild;kbdaffisch
2469160;DST;2016;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-2469160;https://weburn.kb.se/tumnaglar/70/001223570,1900001,p,1,,o1930.pdf;Bild;kbdaffisch
8907616;DST;2016;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-8907616;https://weburn.kb.se/tumnaglar/14/001979514,1800001,p,1,,o1913.pdf;Bild;kbdaffisch
9682859;DST;2016;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-9682859;https://weburn.kb.se/tumnaglar/06/002063906,1800001,p,1,,o1922.pdf;Bild;kbdaffisch
