printid;bibliography;reproductionDate;associatedMediaUri;isPrimaryTopicOfUri;isPrimaryTopicOfUri.marc:publicNote;CataloguersNote
8498419;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:vardagstryck-8498419;https://weburn.kb.se/tumnaglar/81/001927281,2600001,i,1,,o18uu.jpg;Titelsida;kbdvardagstryck
8498430;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:vardagstryck-8498430;https://weburn.kb.se/tumnaglar/32/001927432,2600001,i,1,,o1882.jpg;Titelsida;kbdvardagstryck
8505983;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:vardagstryck-8505983;https://weburn.kb.se/tumnaglar/94/001927494,2600001,i,1,,o18uu.jpg;Titelsida;kbdvardagstryck
8505982;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:vardagstryck-8505982;https://weburn.kb.se/tumnaglar/95/001927495,2600001,i,1,,o1884.jpg;Titelsida;kbdvardagstryck
8505981;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:vardagstryck-8505981;https://weburn.kb.se/tumnaglar/96/001927496,2600001,i,1,,o1883.jpg;Titelsida;kbdvardagstryck
8505979;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:vardagstryck-8505979;https://weburn.kb.se/tumnaglar/97/001927497,2600001,i,1,,o1884.jpg;Titelsida;kbdvardagstryck
8505969;;2018;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:vardagstryck-8505969;https://weburn.kb.se/tumnaglar/00/001927500,2600001,i,1,,o1894.jpg;Titelsida;kbdvardagstryck
