LibrisCN_elekt;LibrisID_elekt;Status;url;epub;Omslagsbild
21892607;;LinkHld;https://litteraturbanken.se/författare/NorléenW/titlar/OverEvne/info;;
21932241;;LinkHld;https://litteraturbanken.se/författare/HahnC/titlar/Gullvifva/info;;
22548733;;LinkHld;https://litteraturbanken.se/författare/LundegårdA/titlar/Dikter/info;;
21977869;;LinkHld;https://litteraturbanken.se/författare/WettergrundJ/titlar/ValdaBerättelser4/info;;
21519094;;LinkHld;https://litteraturbanken.se/författare/WästbergE/titlar/Skisser/info;;
20914397;;LinkHld;https://litteraturbanken.se/författare/LundinAnders/titlar/Dikter/info;;
22698859;;LinkHld;https://litteraturbanken.se/författare/StjernströmL/titlar/HistoriskaBerättelserFörFolket1/info;;
;r128kpd4pczk4f92;LinkHld;https://litteraturbanken.se/författare/HackzellE/titlar/HusmamsellenPåHelgestad/info;;
;ftd5j9zrch8t0tq6;LinkHld;https://litteraturbanken.se/författare/KræmerV/titlar/Elfenbensasken/info;;
20824424;;LinkHld;https://litteraturbanken.se/författare/HanssonS/titlar/BröllopslägretsSkaldOchBårens/info;;
;3h2t74w71v1gk14h;LinkHld;https://litteraturbanken.se/författare/KræmerV/titlar/LiaVänderOm/info;;
;l57zx657w3sb0d8;LinkHld;https://litteraturbanken.se/författare/SwedbergJ/titlar/GudzBarnasHeligaSabbatsro1/info;;
20911526;;LinkHld;https://litteraturbanken.se/författare/AhrenbergJ/titlar/AnorOchUngdom/info;;
22117884;;LinkHld;https://litteraturbanken.se/författare/AhrenbergJ/titlar/BilderMinnenOchIntryck/info;;
21656624;;LinkHld;https://litteraturbanken.se/författare/ForssmanE/titlar/VidAftonlampan3/info;;
22116112;;LinkHld;https://litteraturbanken.se/författare/SandbergA/titlar/IFiendehand/info;;
22365812;;LinkHld;https://litteraturbanken.se/författare/WallmarkE/titlar/VisorOchKupletter4Musik/info;;
22451220;;LinkHld;https://litteraturbanken.se/författare/SundbladJ/titlar/IÖsterskär/info;;
22549658;;LinkHld;https://litteraturbanken.se/författare/HolmgrenAM/titlar/NärRiddarUlfSuckar/info;;
;x67zvnqkvbv90gf9;LinkHld;https://litteraturbanken.se/författare/HedenstiernaA/titlar/MariePåGylleneHästen/info;;
;pzzchn75mc4m9q8s;LinkHld;https://litteraturbanken.se/författare/HedenstiernaA/titlar/Septembersol/info;;
;088nsfvqx3gs86m2;LinkHld;https://litteraturbanken.se/författare/FalkH/titlar/GossarBlå/info;;
22695750;;LinkHld;https://litteraturbanken.se/författare/ÅkerbergS/titlar/Antinous/info;;
;088nsrdwxrw4w4xx;LinkHld;https://litteraturbanken.se/författare/CederqvistA/titlar/Harpolåt/info;;
;fqh5bcc8cnxj3q1j;LinkHld;https://litteraturbanken.se/författare/NycanderF/titlar/UngfolkOchGamlingar/info;;
;6h4bsqr34r5hwf2g;LinkHld;https://litteraturbanken.se/författare/LundequistS/titlar/Dikter/info;;
