eid;Länk i klartext;Epub;Omslagsbild
hrr59ltsf29l4bnl;https://litteraturbanken.se/författare/HanssonO/titlar/FruEsterBruce/info;;
gqtzw9jzd292tzjc;https://litteraturbanken.se/författare/Anonym/titlar/GubbarnePåPressyltan/info;;
fpp357g9cd9grgx1;https://litteraturbanken.se/författare/HellborgE/titlar/UtilistiskaSånger/info;;
dr48l0g4b88fntjl;https://litteraturbanken.se/författare/Anonym/titlar/JernBurenJulklappTillNapoleon/info;;
dnpv59bgbf1bgwxj;https://litteraturbanken.se/författare/GranathW/titlar/Återfunnen/info;;
dnn27f3tbvsj5p4l;https://litteraturbanken.se/författare/ÅbergJO/titlar/SvenskarnePåHammershuus/info;;
cmm16klp9p1f34m7;https://litteraturbanken.se/författare/ÅbergJO/titlar/IJungfrusund/info;;
blmcsm5c8cb51416;https://litteraturbanken.se/författare/MickwitzGvon/titlar/EttGiftermål/info;;
blmcshdc8wljc05x;https://litteraturbanken.se/författare/JansonB/titlar/Guldgrufvan/info;;
9n15jc307l62m512;https://litteraturbanken.se/författare/SilfverstolpeGM/titlar/Efteråt/info;;
9kz13th074t6wr3f;https://litteraturbanken.se/författare/PalmkvistN/titlar/Testamentet/info;;
9klbrn3m7nbfpwtv;https://litteraturbanken.se/författare/JacobsonHarald/titlar/UpsalaÄrBäst/info;;
9kkz17k873w6gfhm;https://litteraturbanken.se/författare/BlomL/titlar/QvällOchMorgon/info;;
8jk9qp2q6rt8dsp6;https://litteraturbanken.se/författare/MallingM/titlar/MalinSkytte/info;;
8jk4csf16nmlbjcw;https://litteraturbanken.se/författare/MobergN/titlar/KurtRudnäs/info;;
8jjx30r96ddt2qzx;https://litteraturbanken.se/författare/SandbergA/titlar/GotländskaSägner2/info;;
7hj88n8b5s68cfs4;https://litteraturbanken.se/författare/Anonym/titlar/MargaretaEllerKvinnanAfFolket/info;;
7hhw1qdc59rs2765;https://litteraturbanken.se/författare/HydénN/titlar/KungensBlåGossar/info;;
7hd7jnrv5wbj50xl;https://litteraturbanken.se/författare/SernerG/titlar/IHasardensHuvudstad1915/info;;
6lnvmhlc422thl00;https://litteraturbanken.se/författare/LullinDeChâteauvieuxF/titlar/ManuscriptFrånStHelena/info;;
6gnbcqqm4dflwbr0;https://litteraturbanken.se/författare/PihlstrandR/titlar/MillionärensDotterson1896/info;;
5kmtkc5132g1g4l3;https://litteraturbanken.se/författare/SandbergF/titlar/BilderArkFörSmåskolan/info;;
5fgnjclg3zkvqz1h;https://litteraturbanken.se/författare/Anonym/titlar/AddyEnSvenskJägare/info;;
4jnbn2x822sgk7kg;https://litteraturbanken.se/författare/StjernstolpeJM/titlar/KärlekensOrdbok/info;;
4hcgk4s22pp62ftz;https://litteraturbanken.se/författare/BoreliusH/titlar/FredrikaBremerSomUng/info;;
3hm9kdvp10gb0b3w;https://litteraturbanken.se/författare/FahlgrénCI/titlar/HandbokIBoktryckerikonsten/info;;
3hds2b6214v48l44;https://litteraturbanken.se/författare/HagbergCA/titlar/EttBorgarhusPåKöpmangatan/info;;
3cnjccst16k8nfkr;https://litteraturbanken.se/författare/TorénRW/titlar/SmåsakerUrEnGammalMedikofilaresMinnen/info;;
3cdlw797136phjb5;https://litteraturbanken.se/författare/KerfveA/titlar/CarlXVKvinnornasKung1/info;;
3ccrtlc51nvjnsk2;https://litteraturbanken.se/författare/CarlgrenWM/titlar/Norrland/info;;
2gjqg2xw02h69201;https://litteraturbanken.se/författare/CollijnI/titlar/SvenskTypografiskAtlas/info;;
199prfxqzbgfvs51;https://litteraturbanken.se/författare/BerndtsonF/titlar/ValdaDikter/info;;
089hccr7xxkxgkb8;https://litteraturbanken.se/författare/NordmannP/titlar/BilderOchBladFrånFinlandsSistaÅr/info;;
088nqqckx1n8v4cg;https://litteraturbanken.se/författare/BjörlingF/titlar/SamladeSångerOchVisor/info;;
22699994;https://litteraturbanken.se/författare/ÖdmannJM/titlar/ArthurGrip/info;;
22699160;https://litteraturbanken.se/författare/ÅbergJO/titlar/CarlXIIsSkyddsling/info;;
22699140;https://litteraturbanken.se/författare/ÅbergJO/titlar/ArvidHerner/info;;
22698947;https://litteraturbanken.se/författare/KerfstedtA/titlar/VidVägkanten2/info;;
22698943;https://litteraturbanken.se/författare/NilssonL/titlar/NordiskaTaflor/info;;
22698919;https://litteraturbanken.se/författare/NordensvanG/titlar/Penseldrag/info;;
22698905;https://litteraturbanken.se/författare/NordlingJohan/titlar/RalfFrese/info;;
22698894;https://litteraturbanken.se/författare/NyholmCA/titlar/DoktorWigg/info;;
22698890;https://litteraturbanken.se/författare/PihlstrandR/titlar/SnapphanensBröllop/info;;
22698874;https://litteraturbanken.se/författare/PihlstrandR/titlar/DeFemFrivillige/info;;
22698857;https://litteraturbanken.se/författare/SnoilskyC/titlar/Dikter3/info;;
22698113;https://litteraturbanken.se/författare/LunellL/titlar/BlommanPåLöfsjöfallet/info;;
22698103;https://litteraturbanken.se/författare/LindqvistJ/titlar/HelvetetsTrappor/info;;
22698071;https://litteraturbanken.se/författare/LefflerAC/titlar/UrLifvet3_1/info;;
22698067;https://litteraturbanken.se/författare/LefflerAC/titlar/UrLifvet2/info;;
22695753;https://litteraturbanken.se/författare/StéenhoffF/titlar/SinNästasHustru/info;;
22695751;https://litteraturbanken.se/författare/WickströmVH/titlar/NärJesusKomTillÖstersund/info;;
22683935;https://litteraturbanken.se/författare/ReuterOM/titlar/NyaDikter/info;;
22667687;https://litteraturbanken.se/författare/BlicherClausenJ/titlar/Festskrift/info;;
22667679;https://litteraturbanken.se/författare/QvantenAvon/titlar/EnRomanPåLandsbygden/info;;
22662067;https://litteraturbanken.se/författare/KochR/titlar/Statsministern2/info;;
22661878;https://litteraturbanken.se/författare/OxenstiernaMGL/titlar/EttLejonTillSjös/info;;
22661562;https://litteraturbanken.se/författare/PaulA/titlar/EnBokOmEnMänniska2/info;;
22661561;https://litteraturbanken.se/författare/PaulA/titlar/EnSagaFrånÖdemarken/info;;
22661520;https://litteraturbanken.se/författare/WåhlinCL/titlar/Skoltal/info;;
22661504;https://litteraturbanken.se/författare/WærnérN/titlar/IHöstOchVinterkväll/info;;
22614723;https://litteraturbanken.se/författare/KochR/titlar/Pandemonium/info;;
22570696;https://litteraturbanken.se/författare/BergCO/titlar/Separatorn/info;;
22549437;https://litteraturbanken.se/författare/WestermarckH/titlar/LifvetsSeger/info;;
22549223;https://litteraturbanken.se/författare/ZilliacusKäldre/titlar/ISocieteten/info;;
22545268;https://litteraturbanken.se/författare/WichmannKE/titlar/HvadDenGamle/info;;
22544438;https://litteraturbanken.se/författare/SchéeleG/titlar/JohnGroggsMinnen/info;;
22528961;https://litteraturbanken.se/författare/RundgrenJH/titlar/EnFadermördares/info;;
22525338;https://litteraturbanken.se/författare/NordmannP/titlar/RyssarneIPärnå/info;;
22525112;https://litteraturbanken.se/författare/PalmA/titlar/Långholmsdrömmar/info;;
22516223;https://litteraturbanken.se/författare/HagströmerJ/titlar/FrånMinaVandringsår/info;;
22516222;https://litteraturbanken.se/författare/Anonym/titlar/Indianflickan/info;;
22516156;https://litteraturbanken.se/författare/LagerlöfS/titlar/EttÄfventyrIVineta/info;;
22516155;https://litteraturbanken.se/författare/LindhéW/titlar/Skattepenningen/info;;
22515627;https://litteraturbanken.se/författare/WahlströmOF/titlar/StockholmskaNätter/info;;
22511284;https://litteraturbanken.se/författare/SwedbergJ/titlar/DextraSorsDocendiDiscendi/info;;
22502601;https://litteraturbanken.se/författare/ForsmanKF/titlar/Darrgräs/info;;
22502598;https://litteraturbanken.se/författare/DanielssonAx/titlar/FlugornaOchSpindlarne/info;;
22488391;https://litteraturbanken.se/författare/LangeI/titlar/Luba/info;;
22488268;https://litteraturbanken.se/författare/HoltzH/titlar/StjernorIQvällen/info;;
22488152;https://litteraturbanken.se/författare/HedbergF/titlar/VacklandeGrund/info;;
22459582;https://litteraturbanken.se/författare/BergstenR/titlar/Tillfällighetsdikter/info;;
22451230;https://litteraturbanken.se/författare/PetterssonV/titlar/DenGamle/info;;
22451218;https://litteraturbanken.se/författare/SvensonA/titlar/Storgubbar/info;;
22451154;https://litteraturbanken.se/författare/NordinJAE/titlar/NovisenISolberga/info;;
22430423;https://litteraturbanken.se/författare/ThomassonP/titlar/KarlDenTiondeOchÖlänningen/info;;
22430420;https://litteraturbanken.se/författare/BerglundA/titlar/VackraMaria/info;;
22430411;https://litteraturbanken.se/författare/FuruhjelmM/titlar/Kärfwen/info;;
22430405;https://litteraturbanken.se/författare/HjärneR/titlar/DiktOchVerklighet/info;;
22430403;https://litteraturbanken.se/författare/PihlstrandR/titlar/GrefvenAfSverige/info;;
22430389;https://litteraturbanken.se/författare/WilénF/titlar/MedPennaOchSax/info;;
22430326;https://litteraturbanken.se/författare/WinterR/titlar/MadeleinesHemgift/info;;
22428184;https://litteraturbanken.se/författare/ÅbergJO/titlar/Spåqvinnan/info;;
22428180;https://litteraturbanken.se/författare/AurellW/titlar/RingenMedSvartaStenen/info;;
22428150;https://litteraturbanken.se/författare/TigerschiöldH/titlar/DikterFrånSkogOchSjö/info;;
22419294;https://litteraturbanken.se/författare/PihlstrandR/titlar/NilsDacke/info;;
22365820;https://litteraturbanken.se/författare/WallmarkE/titlar/VisorOchKupletter1Musik/info;;
22365636;https://litteraturbanken.se/författare/WallmarkE/titlar/VisorOchKupletter3Musik/info;;
22365606;https://litteraturbanken.se/författare/WallmarkE/titlar/VisorOchKupletter1Ord/info;;
22356897;https://litteraturbanken.se/författare/NordlingJohan/titlar/DolceFarNiente/info;;
22336457;https://litteraturbanken.se/författare/HolmkvistA/titlar/HalmstadlaxOchFortepiano/info;;
22282872;https://litteraturbanken.se/författare/NorlingB/titlar/Sonetter/info;;
22281663;https://litteraturbanken.se/författare/FallströmD/titlar/Diamantkorset/info;;
22280305;https://litteraturbanken.se/författare/PihlstrandR/titlar/Jernhandsken/info;;
22271516;https://litteraturbanken.se/författare/HedenstiernaA/titlar/FrökenJennysKonditioner/info;;
22271511;https://litteraturbanken.se/författare/AhrenbergJ/titlar/FamiljenPåHaapakoski/info;;
22216538;https://litteraturbanken.se/författare/ForssmanE/titlar/SkuldOchFörsoning/info;;
22216224;https://litteraturbanken.se/författare/EkebladKJ/titlar/DiktarensBazar1884/info;;
22149709;https://litteraturbanken.se/författare/Anonym/titlar/VårtFolk/info;;
22126195;https://litteraturbanken.se/författare/Bååth-HolmbergC/titlar/Landsbygdsinteriörer/info;;
22122203;https://litteraturbanken.se/författare/SundmanG/titlar/FlyddaDagar/info;;
22121751;https://litteraturbanken.se/författare/EhrnroothA/titlar/Höstskörd/info;;
22118234;https://litteraturbanken.se/författare/GranathW/titlar/EnQvinnasHämd1/info;;
22115569;https://litteraturbanken.se/författare/LefflerAC/titlar/EfterlämnadeSkrifter2/info;;
22108653,23;https://litteraturbanken.se/författare/ZilliacusKäldre/titlar/Utvandrarehistorier/info;;
22108615;https://litteraturbanken.se/författare/RoosM/titlar/Önskekransen/info;;
22108016;https://litteraturbanken.se/författare/NyblomH/titlar/Noveller4/info;;
22107916;https://litteraturbanken.se/författare/RothSO/titlar/DeVerkligaStockholmsmysterierna/info;;
22107762;https://litteraturbanken.se/författare/RybergK/titlar/Bägaren/info;;
22106643;https://litteraturbanken.se/författare/CarlénO/titlar/PåVillovägar/info;;
22106638;https://litteraturbanken.se/författare/CarlénO/titlar/BorgfrunPåUfvestad/info;;
22102358;https://litteraturbanken.se/författare/BehmO/titlar/Skumrasket/info;;
22102214;https://litteraturbanken.se/författare/WigströmE/titlar/Kardegille/info;;
22093218;https://litteraturbanken.se/författare/HeidenstamV/titlar/HansAlienus1-1892/info;;
22093217;https://litteraturbanken.se/författare/HeidenstamV/titlar/HansAlienus2-1892/info;;
22093213;https://litteraturbanken.se/författare/HeidenstamV/titlar/HansAlienus3-1892/info;;
22058150;https://litteraturbanken.se/författare/SundlerA/titlar/KonungCarlXV/info;;
21998906;https://litteraturbanken.se/författare/VestE/titlar/FrånAntikens/info;;
21985924;https://litteraturbanken.se/författare/AhrenbergJ/titlar/Stockjunkarn/info;;
21978495;https://litteraturbanken.se/författare/KochR/titlar/Statsministern1/info;;
