LIBRIS_ID	Sigel	Location_Code_852$c	Placering_852$h$l
4dcqqbpz2wqcvjrb	Jon	SKON	Fiction (English) BAKE
22554960	Jon	SKON	Fiction (English) BALL
14659873	Jon	SKON	Fiction (English) BANK
10451042	Jon	SKON	Fiction (English) BANV
4864688	Jon	SKON	Fiction (English) BANV
12325127	Jon	SKON	Fiction (English) BARK
12347252	Jon	SKON	Fiction (English) BARN
19249514	Jon	SKON	Fiction (English) BARN
22154677	Jon	SKON	Fiction (English) BARN
4818003	Jon	SKON	Fiction (English) BARN
9945408	Jon	SKON	Fiction (English) BARN
19577008	Jon	SKON	Fiction (English) BARN
hrrwcclmf4kf0bns	Jon	SKON	Fiction (English) BARN
19435511	Jon	SKON	Fiction (English) BARR
22282885	Jon	SKON	Fiction (English) BAUE
19613361	Jon	SKON	Fiction (English) BEAT
11696340	Jon	SKON	Fiction (English) BENG
21925898	Jon	SKON	Fiction (English) BENJ
19884629	Jon	SKON	Fiction (English) BERL
10411626	Jon	SKON	Fiction (English) BLAK
11842594	Jon	SKON	Fiction (English) BOLA
19109129	Jon	SKON	Fiction (English) BOYD
4572773	Jon	SKON	Fiction (English) BOYD
11653625	Jon	SKON	Fiction (English) BRAD
1853264881	Jon	SKON	Fiction (English) BRON
4579905	Jon	SKON	Fiction (English) BRON
4581498	Jon	SKON	Fiction (English) BRON
4885732	Jon	SKON	Fiction (English) BRON
10356603	Jon	SKON	Fiction (English) BROO
4574086	Jon	SKON	Fiction (English) BROO
14215015	Jon	SKON	Fiction (English) BULA
11703887	Jon	SKON	Fiction (English) BULG
4582908	Jon	SKON	Fiction (English) BURG
ktrmscwhhcz87l0x	Jon	SKON	Fiction (English) BURN
19216272	Jon	SKON	Fiction (English) BURT
4527448	Jon	SKON	Fiction (English) BYAT
9178888	Jon	SKON	Fiction (English) BYRO
16834813	Jon	SKON	Fiction (English) CARE
5054165	Jon	SKON	Fiction (English) CARE
5054873	Jon	SKON	Fiction (English) CARE
8292208	Jon	SKON	Fiction (English) CARE
13599485	Jon	SKON	Fiction (English) CARR
4528661	Jon	SKON	Fiction (English) CART
4529455	Jon	SKON	Fiction (English) CART
11603958	Jon	SKON	Fiction (English) CARV
11696348	Jon	SKON	Fiction (English) CARV
14676105	Jon	SKON	Fiction (English) CATT
11646779	Jon	SKON	Fiction (English) CAVE
14010094	Jon	SKON	Fiction (English) CHAB
18191218	Jon	SKON	Fiction (English) CHAM
20143122	Jon	SKON	Fiction (English) CHAM
cmbndttt982n7f2f	Jon	SKON	Fiction (English) CHAM
8886754	Jon	SKON	Fiction (English) CHAU
1853260037	Jon	SKON	Fiction (English) CHES
11404791	Jon	SKON	Fiction (English) CHRI
18851388	Jon	SKON	Fiction (English) CHRI
22281497	Jon	SKON	Fiction (English) CHRI
19884647	Jon	SKON	Fiction (English) CLEE
19912406	Jon	SKON	Fiction (English) CLEE
10145173	Jon	SKON	Fiction (English) COEL
12031140	Jon	SKON	Fiction (English) COEL
12031190	Jon	SKON	Fiction (English) COEL
10155546	Jon	SKON	Fiction (English) COET
10155593	Jon	SKON	Fiction (English) COET
11580912	Jon	SKON	Fiction (English) COET
4527034	Jon	SKON	Fiction (English) COET
4527035	Jon	SKON	Fiction (English) COET
4527703	Jon	SKON	Fiction (English) COET
4571617	Jon	SKON	Fiction (English) COET
4572880	Jon	SKON	Fiction (English) COET
4578083	Jon	SKON	Fiction (English) COET
9142068	Jon	SKON	Fiction (English) COET
21641797	Jon	SKON	Fiction (English) COLG
11437471	Jon	SKON	Fiction (English) COLT
12031061	Jon	SKON	Fiction (English) CONN
12417269	Jon	SKON	Fiction (English) CONN
14575546	Jon	SKON	Fiction (English) CONR
18596261	Jon	SKON	Fiction (English) CONR
4604491	Jon	SKON	Fiction (English) CONR
1853260495	Jon	SKON	Fiction (English) COOP
671755064	Jon	SKON	Fiction (English) COUP
11612807	Jon	SKON	Fiction (English) COUP
12055551	Jon	SKON	Fiction (English) COUP
17095344	Jon	SKON	Fiction (English) CRON
19669920	Jon	SKON	Fiction (English) CRON
10582316	Jon	SKON	Fiction (English) CROW
22686340	Jon	SKON	Fiction (English) CUSK
4570972	Jon	SKON	Fiction (English) DAHL
mvjh00wvk7jjgf70	Jon	SKON	Fiction (English) DALC
9597245	Jon	SKON	Fiction (English) DANG
19535140	Jon	SKON	Fiction (English) DANL
4863161	Jon	SKON	Fiction (English) DAVI
4974539	Jon	SKON	Fiction (English) DAVI
9032869	Jon	SKON	Fiction (English) DEAV
192815555	Jon	SKON	Fiction (English) DEFO
10145397	Jon	SKON	Fiction (English) DELI
19280807	Jon	SKON	Fiction (English) DELI
4571913	Jon	SKON	Fiction (English) DELI
10276934	Jon	SKON	Fiction (English) DESA
10598990	Jon	SKON	Fiction (English) DIAZ
192833391	Jon	SKON	Fiction (English) DICK
10611027	Jon	SKON	Fiction (English) DICK
11267444	Jon	SKON	Fiction (English) DICK
14008357	Jon	SKON	Fiction (English) DICK
17157072	Jon	SKON	Fiction (English) DILL
16443450	Jon	SKON	Fiction (English) DOBB
16570978	Jon	SKON	Fiction (English) DOER
17408743	Jon	SKON	Fiction (English) DOLA
21229757	Jon	SKON	Fiction (English) DOLA
19370260	Jon	SKON	Fiction (English) DONO
9186423	Jon	SKON	Fiction (English) DOST
5561823	Jon	SKON	Fiction (English) DOYL
10664241	Jon	SKON	Fiction (English) DURA
7664849	Jon	SKON	Fiction (English) DYLA
12298598	Jon	SKON	Fiction (English) EDUC
