instance_digital	sameAsIdentifier_digital	localEntityControlNumber_digital	marcDisplayText_digital	instance_physical	sameAsIdentifier_physical	localEntityControlNumber_physical	marcDisplayText_physical
sb47f3w43l833v6	13499794	1825568	Orginalversion:	xf7v5vn80pp16p8	1825568	13499794	Digitaliserad version:
g0sxmbls21r732l	14730144	7259053	Originalversion	3ld8181f3nd1ch4	7259053	14730144	Digitaliserad version
0jbdcq4b48bx7hf	12458530	10076561	Originalversion:	1jbbgkjc0twsqnn	10076561	12458530	Digitaliserad version:
5phlsvsh3rmm859	13483185	854650	Originalversion	0h9w1zxb3wshvr2	854650	13483185	Digitaliserad version
q82jpbl25nj9tcx	22660682	3286615	Originalversion:	h0shjjlt1j4lddp	3286615	22660682	Digitaliserad version:
sb4lm9044zchjdp	22550284	3286615	Originalversion:	h0shjjlt1j4lddp	3286615	22550284	Digitaliserad version:
