instance_digital	sameAsIdentifier_digital	localEntityControlNumber_digital	marcDisplayText_digital	instance_physical	sameAsIdentifier_physical	localEntityControlNumber_physical	marcDisplayText_physical
sb47f3w43l833v6	13499794	1825568	Orginalversion:	xf7v5vn80pp16p8	1825568	13499794	Digitaliserad version:
g0sxmbls21r732l	14730144	7259053	Originalversion	3ld8181f3nd1ch4	7259053	14730144	Digitaliserad version
0jbdcq4b48bx7hf	12458530	10076561	Originalversion:	1jbbgkjc0twsqnn	10076561	12458530	Digitaliserad version:
5phlsvsh3rmm859	13483185	854650	Originalversion	0h9w1zxb3wshvr2	854650	13483185	Digitaliserad version
h1t3hrmt29tn1j2	17845945	10190831	Orginalversion	1jbblshc00rr374	10190831	17845945	Digitaliserad version
k3wck6ww01kn8hv	22688127	8866792	Originalversion:	dwpmb3pq0678xvj	8866792	22688127	Digitaliserad version:
n607pl805cd4q4w	17053440	2717407	Orginalversion:	wd6w7vk75md6nrw	2717407	17053440	Digitaliserad version:
q82h0vs219nck55	22108262	1668848	Originalversion:	xf7vz2j80jsw5md	1668848	22108262	Digitaliserad version:
zh9q7wf93rptd12	22102329	1621547	Originalversion:	7qj57l8k05w89ks	1621547	22102329	Digitaliserad version:
zh9qwgd932g1srp	21820599	1601344	Originalversion:	s93qrfd45hjr59s	1601344	21820599	Digitaliserad version:
0jbqlvwb5lc2xzh	20750920	1312872	Orginalversion:	2kc0n04d25f5z0x	1312872	20750920	Digitaliserad version:
4ngp770g51n7czv	17112194	7263932	Originalversion	q71wp3323hxlq2z	7263932	17112194	Digitaliserad version
5phmnp7h0ng09t7	14181075	618309	Originalversion	zg8vp69911ggn9s	618309	14181075	Digitaliserad version
7rkz15rk4gr0lj4	20914397	1806223	Originalversion:	3ld199bf2znvs4k	1806223	20914397	Digitaliserad version:
m5zdjkhz0lf91m4	21805709	1601595	Originalversion:	5ng34s1h0xxkg0w	1601595	21805709	Digitaliserad version:
n60456w018p74r4	14181210	618921	Originalversion	cvn83lcp0mxcrjx	618921	14181210	Digitaliserad version
sb48r7r43gw4pgr	14556274	7257417	Originalversion	k2vqhnnw0lr4wl0	7257417	14556274	Digitaliserad version
zh9dp4z93qxtmdc	13577109	574520	Originalversion:	btm71x0n0rfwcsj	574520	13577109	Digitaliserad version:
4ngqk7jg0fn2cm6	17381774	8351267	Originalversion	7qjfjvqk1n1x685	8351267	17381774	Digitaliserad version
bvn16p1n1nkmsh6	20143250	1630912	Originalversion:	dwpbd4tq34sg8dt	1630912	20143250	Digitaliserad version:
0jbmz8wb5ptsg5m	18628720	2698751	Originalversion	1jb0b9zc4dq7q0q	2698751	18628720	Digitaliserad version
0jbr8xkb4z7c0l5	22102420	1537939	Originalversion:	9sl75kfm18lvdlj	1537939	22102420	Digitaliserad version:
3mfj94mf495tdtb	13951093	67085	Originalversion:	tb4pwmp510zv3jn	67085	13951093	Digitaliserad version:
3mfjbb0f030gwwm	13983823	2156983	Originalversion:	3ld2q92f3vwhpd3	2156983	13983823	Digitaliserad version:
4ngkb49g0phz512	13950764	881833	Originalversion:	3ld0527f3nk48cr	881833	13950764	Digitaliserad version:
4nglmn6g2flrk7k	14181074	618265	Originalversion	h0sd7prt2mvqqwb	618265	14181074	Digitaliserad version
l4x1sltx26qsfgr	13950838	7748856	Originalversion:	vc52d516168ntdh	7748856	13950838	Digitaliserad version:
n603vnv033139pt	13950780	877482	Originalversion:	2kcz4vcd3jzh5n1	877482	13950780	Digitaliserad version:
n603vpb05j00ssz	13951200	8199311	Originalversion:	1jb741pc3qgs6qk	8199311	13951200	Digitaliserad version:
q825xr7226n7wcd	13951052	21091	Originalversion:	p60kpsg156bw6qj	21091	13951052	Digitaliserad version:
0jbgmrxb2df2hxh	14295250	317821	Originalversion:	p60l2s510gvj2c0	317821	14295250	Digitaliserad version:
0jbsn20b1s3n6mj	22430410	1597205	Originalversion:	tb4rs9t51wnlddx	1597205	22430410	Digitaliserad version:
8slqw16l2bjpv37	14295258	3237665	Originalversion:	tb4ts2k54gl0zhs	3237665	14295258	Digitaliserad version:
1kcsx98c0p0rm0w	21815021	12300048	Originalversion	8slmf49l5gxptvb	12300048	21815021	Digitaliserad version
n60gh4503dhxmkw	22548750	1361424	Originalversion:	gzrd46gs28k9q70	1361424	22548750	Digitaliserad version:
0jbstg6b33jmhp6	22549390	1484067	Originalversion:	k2vhcttw08trhnh	1484067	22549390	Digitaliserad version:
0jbstg7b273vq3x	22549420	9869378	Originalversion:	xf763r78386grh4	9869378	22549420	Digitaliserad version:
0jbstgcb36vxx0m	22548640	1612450	Originalversion:	0h9xz1xb5196n4t	1612450	22548640	Digitaliserad version:
0jbstgwb2cqwcmr	22549120	1614659	Originalversion:	m4xklr0z315p1w1	1614659	22549120	Digitaliserad version:
0jbsthtb09bsc1h	22549960	12531	Originalversion:	cvn7c4lp1pz8jnm	12531	22549960	Digitaliserad version:
h1tzrbgt0d2t427	14810095	2414821	Originalversion:	p60nng5143pgxb2	2414821	14810095	Digitaliserad version:
sb4829n41r873f9	14800984	10383744	Orginalversion	gzrr8c8s208fk7d	10383744	14800984	Digitaliserad version
vd6b33w6406lczd	14793936	8213518	Originalversion:	l3wsq41x04qzmp6	8213518	14793936	Digitaliserad version:
0jbpbz9b1dnhzq6	19727980	17132656	Orginalversion	6qjrb2sj596fs9c	17132656	19727980	Digitaliserad version
1kcjhs6c4t7s93q	14970461	14636506	Originalversion:	6qjn8l9j1b4cnrp	14636506	14970461	Digitaliserad version:
dxqwv6xq0fwxr80	14970802	14636779	Originalversion:	9tmrcqpm591m0b3	14636779	14970802	Digitaliserad version:
0jbm4csb3v9kj3v	18739330	1887891	Originalversion	cvn9nlbp06dhlcl	1887891	18739330	Digitaliserad version
0jbmdk6b4p5hv9h	18151090	1209132	Orginalversion:	2kc0j5vd0g04hqr	1209132	18151090	Digitaliserad version:
3mfq2clf01qdg9f	18628363	7266267	Originalversion	k2vqj0hw41dv6t2	7266267	18628363	Digitaliserad version
bvnzcjjn5rqxkd7	18681200	2435222	Originalversion:	q71pq7v258n654w	2435222	18681200	Digitaliserad version:
cwp0bmzp5cd38db	18628461	7266477	Originalversion	k2vqj0qw436flrt	7266477	18628461	Digitaliserad version
m5z2bhzz5mlcddl	13541429	7618350	Originalversion:	n5zv24t04t03j1n	7618350	13541429	Digitaliserad version:
r93321j32jgrfvp	11608593	11608591	Originalversion:	p7110zg12xw4025	11608591	11608593	Digitaliserad version:
2ldp1bcd1vkv6gw	18629082	3095103	Originalversion	r82rkq334wphltc	3095103	18629082	Digitaliserad version
g0s1v3ns1jgwg7p	16532904	14758283	Originalversion:	fzrwmctr0s73n9p	14758283	16532904	Digitaliserad version:
g0sx06ms1rrg1jd	14213574	208931	Originalversion:	1jbw83hc3qjx6c5	208931	14213574	Digitaliserad version:
3mfnwcdf2pmcfv9	16874083	8363463	Originalversion:	r82z2tt33t4n1bz	8363463	16874083	Digitaliserad version:
cwp47znp44g35vw	21770091	1621378	Originalversion:	l3wjlzfx46q23x6	1621378	21770091	Digitaliserad version:
fzr07qtr2qhd138	16874183	9160330	Originalversion:	0h979lgb4csxv46	9160330	16874183	Digitaliserad version:
h1tvp21t070tpdc	12318505	2404427	Originalversion:	7qj66l4k2j1qz9z	2404427	12318505	Digitaliserad version:
q8250pb25rndnqc	14003342	640423	Originalversion:	3ld0v40f5nrwnxj	640423	14003342	Digitaliserad version:
sb4cm3j41fhzlk9	16901464	9831176	Originalversion:	j1tsnzcv2c6rjl0	9831176	16901464	Digitaliserad version:
4ngr3dgg4t7g8cq	18628214	7266199	Originalversion	9slg8q5m4pvwvbf	7266199	18628214	Digitaliserad version
k3w4mr4w1qv5rw9	17087637	17022595	Originalversion:	h1t2h8st0w5bdkz	17022595	17087637	Digitaliserad version:
l4x5pxnx0wgxfn5	17091688	17017151	Originalversion:	1kcl1l9c5rxh840	17017151	17091688	Digitaliserad version:
vd6bcd364sl96bh	14181216	217879	Originalversion	9sl5kppm3zrlblx	217879	14181216	Digitaliserad version
0jbn1t6b4fsl981	19481290	1622788	Originalversion:	l3wjl10x0v0xgp9	1622788	19481290	Digitaliserad version:
0jbn3khb58z74s8	19527460	571895	Orginalversion:	tb4qjbl537lkw0z	571895	19527460	Digitaliserad version:
5phqgnth12q4d1c	17257815	10294508	Orginalversion	xf77mjl81w8nn2c	10294508	17257815	Digitaliserad version
7rksjq3k05v0csg	17257997	11703689	Orginalversion	m5z02f1z34n5gc5	11703689	17257997	Digitaliserad version
dxq1cnzq09g4kk3	18628432	7266468	Originalversion	8rkf7pfl1c937pk	7266468	18628432	Digitaliserad version
j2vzsh3v440p7th	14003336	134905	Originalversion:	h0scmspt036pxxc	134905	14003336	Digitaliserad version:
n607x5701lvbj5d	17230710	8371399	Originalversion:	9sljmn5m1wq636l	8371399	17230710	Digitaliserad version:
xg8h7f2812fncpp	17258228	10258511	Orginalversion	1jbbn9pc4bjwc87	10258511	17258228	Digitaliserad version
0jbl09nb2lxs8n9	17846410	10232959	Orginalversion	9sllwlkm1f07x29	10232959	17846410	Digitaliserad version
7rkt7h7k5nx5c3b	17845817	10295903	Orginalversion	fxqq42mr2ng4pmj	10295903	17845817	Digitaliserad version
9tmv6kgm45vzgkf	16954969	10600647	Originalversion:	k2vvmhcw4bv1l4m	10600647	16954969	Digitaliserad version:
n608nzc01ggb895	17846430	10227649	Orginalversion	9sllwfnm0vphmzt	10227649	17846430	Digitaliserad version
1kcmw2rc34p60gw	17731271	8371366	Originalversion:	6phfjk1j1k99w3g	8371366	17731271	Digitaliserad version:
2ldq5pwd5c2pfsd	19529562	7416965	Originalversion:	tb40zv750xswx00	7416965	19529562	Digitaliserad version:
j2vzsh0v5sqzxch	14003246	1229243	Originalversion:	fxqcx8kr1xbwhw1	1229243	14003246	Digitaliserad version:
tc583sf52bbwwvd	14003345	640425	Originalversion:	5ng2x62h0npjf5w	640425	14003345	Digitaliserad version:
5phrc2bh3hwrm2l	17998065	8380096	Originalversion:	6phfjwqj5rrfbv2	8380096	17998065	Digitaliserad version:
9tmzh14m4w7h17k	19613269	7417526	Originalversion:	j1tpnkjv29q23nm	7417526	19613269	Digitaliserad version:
dxq2kngq5tkw745	19600882	7417701	Originalversion:	cvnjhdkp4n1bft6	7417701	19600882	Digitaliserad version:
fzr1n2xr4v66m14	18017273	8361930	Originalversion:	n5zvzp1054wtcmx	8361930	18017273	Digitaliserad version:
sb4d0s5435z0hzd	18000034	17985020	Originalversion:	bvnxjr0n1hsvdcb	17985020	18000034	Digitaliserad version:
wf7k4gp70c099qw	19635727	7415952	Originalversion:	2kc761bd3866zr0	7415952	19635727	Digitaliserad version:
1kcfrcqc2n3261s	12744341	73292	Originalversion:	q71lsrh20l0vf8r	73292	12744341	Digitaliserad version:
6qjpmq9j2nlq50h	14937106	9989967	Originalversion	k2vtvvtw2w273zq	9989967	14937106	Digitaliserad version
7rklfxvk02pc7p9	12322187	2437452	Originalversion:	2kc12nnd02sqfww	2437452	12322187	Digitaliserad version:
cwpthncp389gvwd	14714721	1556596	Originalversion:	6ph4352j28j5v98	1556596	14714721	Digitaliserad version:
g0s87kxs162j8d2	22511844	2389480	Originalversion:	0h9zxs9b4wk2m8q	2389480	22511844	Digitaliserad version:
m5z3w38z3wdc1sb	14799899	8415547	Orginalversion	wd648wt70jmfqlt	8415547	14799899	Digitaliserad version
q82dgg321sh57f1	19234832	2518539	Originalversion	zg8x2kn911h7j4m	2518539	19234832	Digitaliserad version
vd6kj7k62jg0v68	19981236	2512695	Originalversion	5ng48jch43kjsb3	2512695	19981236	Digitaliserad version
xg8cjmg80g77rjb	13456088	8451921	Originalversion:	cvnlsqpp4vxx7n1	8451921	13456088	Digitaliserad version:
xg8gn2l84drm41j	16005908	2541467	Originalversion	7qj6cndk027wp00	2541467	16005908	Digitaliserad version
zh9mvnm909v5bwn	19369209	16420288	Originalversion:	l4x4v2nx4t6qd8c	16420288	19369209	Digitaliserad version:
0jbl8bnb5428j80	18036310	11436057	Originalversion:	k3wwnflw0xl44xm	11436057	18036310	Digitaliserad version:
1kcg90dc26zcv79	14003141	156381	Originalversion:	cvn7jgfp577d939	156381	14003141	Digitaliserad version:
xg89l5084nwhn1f	11904968	2402655	Originalversion:	5ng43g3h5c75grn	2402655	11904968	Digitaliserad version:
xg8m4nv82xwjr5p	20423348	2399211	Originalversion:	cvnb9jgp1pgtgwp	2399211	20423348	Digitaliserad version:
1kcp9j9c5c3d37n	19661351	7416138	Originalversion:	8rkfd8ql0swkkjd	7416138	19661351	Digitaliserad version:
9tmzkskm59t0fg8	19661359	7416142	Originalversion:	dwpkjdvq369p20k	7416142	19661359	Digitaliserad version:
3mfshkff36h20gn	19767613	7416811	Originalversion:	p60vtpx126cz3xp	7416811	19767613	Digitaliserad version:
4ngtjpfg4zwt9lm	19771184	7416779	Originalversion:	m4xsrmsz15tv7p6	7416779	19771184	Digitaliserad version:
bvnrlm4n3dqdlhv	14012540	1480798	Originalversion:	l3wjdr7x3bp9w8m	1480798	14012540	Digitaliserad version:
l4x90xsx0n3twn9	19764808	7416891	Originalversion:	cvnjhcnp3vmkjv5	7416891	19764808	Digitaliserad version:
n6097xk043mxzv9	18304710	1635820	Originalversion:	0h9x0wwb2shkzgw	1635820	18304710	Digitaliserad version:
k3wzx61w3ndg3tf	12455247	1800285	Originalversion:	5ng3c5sh46cgxd2	1800285	12455247	Digitaliserad version:
3mfkmcqf3lfz2vj	14227483	2511514	Originalversion	s93rw4p40mfmc4v	2511514	14227483	Digitaliserad version
4nglndrg02d84xr	14227484	217881	Originalversion	cvn7mrrp0t0hrs9	217881	14227484	Digitaliserad version
9tmmmwhm1j9zsc3	10807999	1581761	Orginalversion:	1jbzzxvc0mmtqp6	1581761	10807999	Digitaliserad version:
7rk1xwsk2df824x	22446227	17458939	Orginalversion:	9tmwt7fm3k1wz00	17458939	22446227	Digitaliserad version:
h1t4grlt3vsh6t9	18628915	18487964	Orginalversion	4ngrx6mg4qhsdkx	18487964	18628915	Digitaliserad version
fzr78vmr2mpz24x	22548503	498402	Originalversion:	2kcznt5d4gfh84k	498402	22548503	Digitaliserad version:
3mfkmc7f2pldrvd	14227933	522428	Originalversion:	xf7tklq84gwv5s9	522428	14227933	Digitaliserad version:
5phxx7ch4d5cghl	21701595	21681271	Originalversion:	p71gg1b14zsm118	21681271	21701595	Digitaliserad version:
j2v05xpv36bqcr3	14285576	4112526	Originalversion:	vc5wxhn615vks9p	4112526	14285576	Digitaliserad version:
l4x270sx0qwbsh6	14285608	3237675	Originalversion:	5ng54dwh51tfr6r	3237675	14285608	Digitaliserad version:
sb472s343v543ww	14004874	2142621	Originalversion:	cvnb01cp03cnnkf	2142621	14004874	Digitaliserad version:
xg8dkpw81x0g5dr	14295278	3237666	Originalversion:	vc5vt3l623hclv8	3237666	14295278	Digitaliserad version:
zh9fgh593bzwwmd	14181189	618932	Originalversion	q71mgzr23lbp8pf	618932	14181189	Digitaliserad version
g0s7cqrs37zf7j7	21815094	2418743	Originalversion:	fxqddb7r1pq0zwm	2418743	21815094	Digitaliserad version:
tc59bcx530jk9vh	14181095	552904	Originalversion	s93pglg41hlt29t	552904	14181095	Digitaliserad version
7rklx6fk3nm51nq	11924897	2389916	Originalversion:	j1thgc9v58m2r9m	2389916	11924897	Digitaliserad version:
l4x5w3vx1pjplfg	17258368	10272606	Orginalversion	vc55jn66119qz6d	10272606	17258368	Digitaliserad version
r93b2bn30vsd5lh	17259813	10272271	Orginalversion	p600cgn15rl6fkb	10272271	17259813	Digitaliserad version
3mfq2cvf1vn83hj	18628603	1641409	Originalversion	9sl79ddm0414jd6	1641409	18628603	Digitaliserad version
3mfrzmmf0dj9cc1	19337593	2766498	Originalversion	8rk8n1gl4cnv5zq	2766498	19337593	Digitaliserad version
4ngs0nng36v5xg0	19337594	2766495	Originalversion	5ng5kxch4dkz4cw	2766495	19337594	Digitaliserad version
bvn0vd2n1wqx2q9	19082180	433832	Originalversion:	q71m84322vfshgq	433832	19082180	Digitaliserad version:
3mfq7gtf1xksrx1	18739273	7653070	Originalversion	0h96frqb4f6kc20	7653070	18739273	Digitaliserad version
4ngq4c6g2zk3bk8	17844974	10352129	Originalversion	m4xxdc9z1bqhd2m	10352129	17844974	Digitaliserad version
g0s4jhss5t8z45g	19512924	7619228	Originalversion	xf74bf280zl6469	7619228	19512924	Digitaliserad version
n60456q02nmwd1k	14181060	618281	Originalversion	1jbxr7bc5cs0sx3	618281	14181060	Digitaliserad version
k3wc2xbw4vbllth	22276317	2688573	Originalversion:	r82q2nd30rw4qsg	2688573	22276317	Digitaliserad version:
g0s8xnms39m26wg	22272174	113156	Orginalversion:	j1tdn1kv06r9src	113156	22272174	Digitaliserad version:
3mfklm9f2g72wd1	14181193	216624	Originalversion	gzrbqsgs0mqhv4h	216624	14181193	Digitaliserad version
l4x6xk1x3j49bpz	17297218	1637820	Orginalversion:	n5zlnms04rv6ds0	1637820	17297218	Digitaliserad version:
xg8qp3582sxdhdm	22514318	22409306	Originalversion:	j2vb5t2v2zqb597	22409306	22514318	Digitaliserad version:
1kcm195c1126t3v	17845931	10188930	Orginalversion	n5zz7c1038v4p2n	10188930	17845931	Digitaliserad version
6phhshnj5m46p5k	10232236	29291	Originalversion:	1jbw2fwc0t1k5pm	29291	10232236	Digitaliserad version:
8slqrsgl5s6f55w	14181198	569163	Originalversion	r82ng5h30g6rc99	569163	14181198	Digitaliserad version
xg8dg6k837k5z91	14227478	622795	Originalversion	h0sd8vst515hgxn	622795	14227478	Digitaliserad version
3mfr0plf55l9gq3	19366363	574451	Originalversion:	1jbxqmmc0jvvc6l	574451	19366363	Digitaliserad version:
k3w1l10w05kglw8	14610717	3112883	Originalversion:	fxqf81hr2n2q7cf	3112883	14610717	Digitaliserad version:
k3w5ktmw0vfxhlt	17845887	10636588	Orginalversion	l3wwpvbx55c7kk9	10636588	17845887	Digitaliserad version
zh9p2r09268p8mf	21154239	3252689	Originalversion:	m4xmmf1z5fvmfwm	3252689	21154239	Digitaliserad version:
r93789q31jph24g	14180973	618113	Originalversion	fxqb5mjr4z09sm5	618113	14180973	Digitaliserad version
6qj01nzj4bqz9x1	22549006	796153	Originalversion:	3ld02w1f3v5wk1b	796153	22549006	Digitaliserad version:
6qj01ppj5hgmw45	22549666	1614846	Originalversion:	vc5st0g604xpvlk	1614846	22549666	Digitaliserad version:
6qj01pvj3wn3g0x	22549816	1616398	Originalversion:	l3wjkrwx5l18c0k	1616398	22549816	Digitaliserad version:
g0s2gqms19c7gff	17845974	10188743	Orginalversion	fxqq03kr1wwg3z1	10188743	17845974	Digitaliserad version
sb489bv42mvwdfj	14181064	1483961	Originalversion	1jbzt96c2qm4hjd	1483961	14181064	Digitaliserad version
6qjnpqbj55bkjjs	14181136	420274	Originalversion	s93p9n344t9blkt	420274	14181136	Digitaliserad version
6qjw01hj21r0xh8	20102386	3324380	Originalversion:	btmbfrdn4qgjc83	3324380	20102386	Digitaliserad version:
j2v012hv3zlr1q7	14180996	8210775	Originalversion	5ngc9lkh1fmw33z	8210775	14180996	Digitaliserad version
wf7cdf072hc1jc9	14181097	8210507	Originalversion	7qjfcmbk3m1tf9n	8210507	14181097	Digitaliserad version
4nglmn9g2m14pwc	14181164	618367	Originalversion	wd6sm4973l13p67	618367	14181164	Digitaliserad version
n60c8kz017t3zgm	19942170	7607494	Orginalversion:	s9305vw40kmkd4x	7607494	19942170	Digitaliserad version:
r936jbm3095j00l	13587783	7615907	Originalversion:	7qjfmmnk4qtvlv3	7615907	13587783	Digitaliserad version:
2ldvwktd45jmsf5	22549902	1585149	Originalversion:	zg8ww0k93xckzw3	1585149	22549902	Digitaliserad version:
2ldjbjwd16mpp0w	14800062	8433874	Orginalversion	s9316g345sv9jsw	8433874	14800062	Digitaliserad version
9tmw9k9m0c54vgm	17845819	10298030	Orginalversion	btmm12wn1brgvf7	10298030	17845819	Digitaliserad version
bvnxblkn1m8jm83	17846030	10189270	Orginalversion	0h99kpqb2622mx0	10189270	17846030	Digitaliserad version
dxq0dp6q558811z	17846542	16259829	Orginalversion	zh9h1hr91q0nt1n	16259829	17846542	Digitaliserad version
k3w0qscw2t2692g	13929747	825802	Originalversion:	dwp9d98q19xlh06	825802	13929747	Digitaliserad version:
q82bq0w2567nn60	17845952	10177539	Orginalversion	zg88h7n90v208l7	10177539	17845952	Digitaliserad version
r936jl6318nggd3	13594593	7618129	Originalversion:	9slhpr6m59jvvk1	7618129	13594593	Digitaliserad version:
0jbgj8mb02s5lhn	14227480	7257482	Originalversion	q71wntx248strrs	7257482	14227480	Digitaliserad version
cwptvwhp1378hmg	14181141	1483945	Originalversion	h0sf9rmt1j61bqh	1483945	14181141	Digitaliserad version
fzrrxmfr3z3mdm7	10959023	10235374	Originalversion:	s933f6r456ddnfr	10235374	10959023	Digitaliserad version:
zh9fgh19090135t	14181069	8210450	Originalversion	btmjgqcn2wrpj4h	8210450	14181069	Digitaliserad version
8slqrsbl28d8qsx	14181078	632571	Originalversion	cvn843jp2vxqx4f	632571	14181078	Digitaliserad version
fzrwxzgr4kbldb2	14181053	618226	Originalversion	6ph3xdfj38l6t4q	618226	14181053	Digitaliserad version
h1tz01ht26tghl4	14181025	217868	Originalversion	xf7s6bb84gw0pt5	217868	14181025	Digitaliserad version
h1tz01jt12tbjjw	14181055	618284	Originalversion	4mf1vbfg3jfv9l4	618284	14181055	Digitaliserad version
l4x234wx5tdgwbx	14181298	1586079	Originalversion	zg8ww1l93ckkhjh	1586079	14181298	Digitaliserad version
m5z345xz34mbfxq	14181299	2433633	Originalversion	r82qr7433w4cz7l	2433633	14181299	Digitaliserad version
2ldjkmdd4z11hsk	14181312	2540388	Originalversion	8rk7dn7l41vghpk	2540388	14181312	Digitaliserad version
tc59bd551tn7xx7	14181305	2681939	Originalversion	m4xlx8vz4t3vg54	2681939	14181305	Digitaliserad version
vd6bcf664m70zs9	14181306	1626358	Originalversion	l3wjl5zx0jv8j5w	1626358	14181306	Digitaliserad version
dxq0dm8q0vghk75	17844802	7264843	Originalversion	3ld82hgf1d6gskj	7264843	17844802	Digitaliserad version
n60456z02j4f69v	14181270	8409678	Originalversion	8rkhm2nl4x2sd6l	8409678	14181270	Digitaliserad version
7rk163vk0lfw5qn	22667687	10079100	Originalversion:	n5zz3900239xk42	10079100	22667687	Digitaliserad version:
bvnslt1n5tg7vzb	14800850	10413186	Orginalversion	vc55pvd600zhds9	10413186	14800850	Digitaliserad version
g0s2gqgs1l3kxtc	17845824	10519297	Orginalversion	wd66vtb74mbmjwx	10519297	17845824	Digitaliserad version
h1t3hs4t4rblhhp	17846395	3041159	Orginalversion	m4xmcl0z1fx4220	3041159	17846395	Digitaliserad version
h1t8s9gt47m1ld9	22126195	9152988	Originalversion:	8rkhjkkl445q3ql	9152988	22126195	Digitaliserad version:
h1t9g4pt0dnh3cm	22661905	10132881	Originalversion:	cvnnvzfp01mw1bm	10132881	22661905	Digitaliserad version:
p71fhp111wvz7gv	20916001	3225965	Originalversion:	tb4tsmk525dldss	3225965	20916001	Digitaliserad version:
p71hpk315tj44f8	22694461	1228151	Originalversion	1jbzjtzc0kj4sqb	1228151	22694461	Digitaliserad version:
r93789235npg9cn	14181273	2988126	Originalversion	vc5vjvb650dkj7w	2988126	14181273	Digitaliserad version
zh9kz7492p3rz92	17845959	10191023	Orginalversion	fxqq063r1glhrg2	10191023	17845959	Digitaliserad version
sb489bx40h7glgk	14181124	8210505	Originalversion	5ngc9k8h2n222r8	8210505	14181124	Digitaliserad version
g0s2htbs379hfdq	17848404	12033980	Originalversion	bvnp5cqn39zlrdh	12033980	17848404	Digitaliserad version
h1t3jvct5rxj508	17848405	14801136	Originalversion	vd6b4cw65n5b7l1	14801136	17848405	Digitaliserad version
cvnnzjzp1jx91jq	10228761	1660480	Orginalversion:	0h9x1s9b2pw1z67	1660480	10228761	Digitaliserad version:
q711c5z21q4vhp0	10236512	2428200	Orginalversion:	n5zmmx005nfgbz6	2428200	10236512	Digitaliserad version:
s933dzd4013ttkp	10228744	1627778	Orginalversion:	xf7vxjw83fhsqrj	1627778	10228744	Digitaliserad version:
1jbbm7sc3srt8cv	10229801	413217	Orginalversion:	k2vg260w1mtb6mc	413217	10229801	Digitaliserad version:
7rkpqrjk2qmjm1v	14181287	2419617	Originalversion	k2vjjhbw34xtj2c	2419617	14181287	Digitaliserad version
tc59c3n54g4rmts	14227655	10547	Originalversion:	7qj37x8k1m8n470	10547	14227655	Digitaliserad version:
k3w13t5w03dtlwk	14227467	860515	Originalversion	h0sdjpxt2n5sq3h	860515	14227467	Digitaliserad version
r93bmp33444wr50	16918203	8351054	Originalversion	4mfbfqdg5q09zbl	8351054	16918203	Digitaliserad version
tc5924d511ngpvd	14795315	12597	Originalversion:	k2vfkbvw218l096	12597	14795315	Digitaliserad version:
4ngx46ng5l3h6tl	22699994	8835841	Originalversion:	p60xl8m15lw649b	8835841	22699994	Digitaliserad version:
g0s2gr7s2nq7tnc	17846514	10234151	Orginalversion	1jbbndmc0m81z23	10234151	17846514	Digitaliserad version
q711bwb25bnxjsv	10228742	2043765	Orginalversion:	5ng4n5bh0h1cqlp	2043765	10228742	Digitaliserad version:
j2v02s7v21hxdn1	14227556	2493266	Originalversion	j1thl64v5bvnqgw	2493266	14227556	Digitaliserad version
6qjtbkxj0tb8p5j	18739276	7653067	Originalversion	wd63bnm71mcvn1n	7653067	18739276	Digitaliserad version
9tm114gm4xb5m66	20858269	2653385	Originalversion:	tb4s3fc52cf3wsb	2653385	20858269	Digitaliserad version:
tc55b1s539cg7r5	10958975	10226678	Originalversion:	xf77j0784g161qw	10226678	10958975	Digitaliserad version:
tc5j1kq530gc0f1	20423315	1599054	Originalversion:	gzrdf0hs48v1d4b	1599054	20423315	Digitaliserad version:
xg8dglc82phl0hm	14211098	7615374	Originalversion:	gzrnvt9s0gm6ts8	7615374	14211098	Digitaliserad version:
7rkphp4k0qnm5rz	14800127	8414305	Orginalversion	h0sqvg1t11z481x	8414305	14800127	Digitaliserad version
bvnsls7n3tq7tth	14800130	8434560	Orginalversion	n5zw2cq02pl8jjk	8434560	14800130	Digitaliserad version
j2v0s0kv0ljbtd7	14800256	8455148	Orginalversion	xf75cdv82sbdn2d	8455148	14800256	Digitaliserad version
xg8d6d6855967fp	14800448	8408045	Orginalversion	tb426kf51g1w9fz	8408045	14800448	Digitaliserad version
m5zz4v6z1wnlx0z	10959539	10395728	Originalversion:	xf77r8280ch0m9k	10395728	10959539	Digitaliserad version:
1kclcpwc02q04sq	16479491	8350987	Originalversion	wd636h37288qkj3	8350987	16479491	Digitaliserad version
1kclg84c1l9zs7q	16576001	7263345	Originalversion	5ngb4hvh1l5105p	7263345	16576001	Digitaliserad version
9tmvqjbm14cxjcf	16575949	7263312	Originalversion	2kc71dqd3t5pqdf	7263312	16575949	Digitaliserad version
j2vz573v53j00j6	13483136	1483862	Originalversion	q71nj0s25hb6g7w	1483862	13483136	Digitaliserad version
k3w40slw4r6p28k	16575957	7263287	Originalversion	7qjd6kvk04mksn4	7263287	16575957	Digitaliserad version
l4x51tpx0vr50kh	16576018	7263431	Originalversion	1jb60ctc05z759g	7263431	16576018	Digitaliserad version
bvnsvm8n4fjxlbd	14228660	10512	Originalversion:	2kcx2r2d1pdzs92	10512	14228660	Digitaliserad version:
1kcnmp8c27fzjjx	18315821	2250909	Originalversion	zg8xqn990rwk3gw	2250909	18315821	Digitaliserad version
6qjv42wj0f5kd8b	19400746	2678163	Originalversion	r82q28t34crb478	2678163	19400746	Digitaliserad version
8slw7jhl1q96v1z	18629028	2433592	Originalversion	dwpcdtpq0v792zh	2433592	18629028	Digitaliserad version
