instance_digital	sameAsIdentifier_digital	localEntityControlNumber_digital	marcDisplayText_digital	instance_physical	sameAsIdentifier_physical	localEntityControlNumber_physical	marcDisplayText_physical
p71hj561572mhzt	22548751	1349376	Originalversion:	vc5sh5h61p43x77	1349376	22548751	Digitaliserad version:
xg8qrdd84w40wjn	22548728	2141852	Originalversion:	q71pccw24mt79dg	2141852	22548728	Digitaliserad version:
0jbpxmqb3b88kpf	20204470	1513242	Originalversion:	2kc0xfrd0hkwbnz	1513242	20204470	Digitaliserad version:
2ldq42bd224nbvp	19512852	810637	Originalversion	wd6sw7x70jvwv06	810637	19512852	Digitaliserad version
6qj01mdj4tpsf1m	22548496	1600347	Originalversion:	k2vhj51w4qk0ml5	1600347	22548496	Digitaliserad version:
6qjz23zj28n360p	21777706	144467	Originalversion:	7qj3dw2k044thm4	144467	21777706	Digitaliserad version:
8slxjrhl54gxbxk	19661328	7416128	Originalversion:	xf732xd81d4h5dp	7416128	19661328	Digitaliserad version:
bvn0dbjn4m3hq92	19512800	854277	Originalversion	k2vglj2w01c8bdt	854277	19512800	Digitaliserad version
cwp1lk0p0h9kq8c	19652691	486517	Originalversion:	wd6sh7s72qm20ht	486517	19652691	Digitaliserad version:
dxq34smq47j5f7m	20036632	1373294	Originalversion:	4mf2s9bg0f9161l	1373294	20036632	Digitaliserad version:
g0s5st4s40nmtsd	19711224	7416485	Originalversion:	tb40ztp54d8hwhh	7416485	19711224	Digitaliserad version:
m5zbk81z2dz72nh	20204189	2163355	Originalversion:	h0sg5xjt3467r3z	2163355	20204189	Digitaliserad version:
r93f2rw307kxrj4	19701723	7416260	Originalversion:	btmhgbxn1zc1ksv	7416260	19701723	Digitaliserad version:
vd6j26t6525zjs7	19602576	7417033	Originalversion:	3ld874kf07d85mn	7417033	19602576	Digitaliserad version:
vd6j54760kq9fpz	19708236	7416428	Originalversion:	xf732xq81c84ht8	7416428	19708236	Digitaliserad version:
vd6klcb61lcg5ql	20038626	1537598	Originalversion:	xf7vs6p843kn7j8	1537598	20038626	Digitaliserad version:
xg8l76b830rfsmw	19708268	7416415	Originalversion:	h0snmh8t2j5r2jd	7416415	19708268	Digitaliserad version:
2ldjlbhd0w8t023	14227302	10478	Originalversion:	xf7sxmw85ssgt4w	10478	14227302	Digitaliserad version:
2ldq9ckd3c4bqbr	19655262	7416088	Originalversion:	l3wrql0x4jrrs0d	7416088	19655262	Digitaliserad version:
6qjmwzvj1f7jw19	13539016	8225179	Originalversion:	9slhf8pm1hvr0lx	8225179	13539016	Digitaliserad version:
n608nxs01jb53jw	17845920	10634113	Orginalversion	3ldd683f06zb1qz	10634113	17845920	Digitaliserad version
p714df61103v3pq	13537951	1448322	Originalversion	2kc0t1md3fbkq00	1448322	13537951	Digitaliserad version
p7157z412j8w2vr	14227291	212529	Originalversion:	zg8t65f95h1fz6n	212529	14227291	Digitaliserad version:
q82jpbm20vx15gd	22660712	7605928	Originalversion:	l3wszmxx1twx2jx	7605928	22660712	Digitaliserad version:
tc58jkd50pfdc8j	13538015	1448307	Originalversion	k2vhbj3w4z2hqwm	1448307	13538015	Digitaliserad version
wf77d3t71pmrq7v	10958947	10208436	Originalversion:	vc55g8w64zdlxd5	10208436	10958947	Digitaliserad version:
6qj0vqcj428s34m	22416166	1363279	Orginalversion:	9sl7z3cm4q86fjh	1363279	22416166	Digitaliserad version:
l4x72hdx3x959mx	18213748	7265946	Originalversion	vc51t9g65lkvq1f	7265946	18213748	Digitaliserad version
zh9dnn4911tqftp	13537659	1428622	Originalversion	dwpb4m2q0mgk52m	1428622	13537659	Digitaliserad version
8slqrs7l1wwb1fr	14180988	8210408	Originalversion	xf742bx808mtpfq	8210408	14180988	Digitaliserad version
8slv8k0l0zkrmnt	17846478	10221945	Orginalversion	5nggr26h00sw63h	10221945	17846478	Digitaliserad version
g0sxz0ns0vhc5xl	14181204	618766	Originalversion	6ph3xf1j5f7np4k	618766	14181204	Digitaliserad version
r9332v6348m0dw8	11603793	1637129	Originalversion:	m4xkmlzz3sw8tg3	1637129	11603793	Digitaliserad version:
wf7cdfv71kglnzt	14180977	8210491	Originalversion	p60wt3s13rlzhxt	8210491	14180977	Digitaliserad version
6qjs7k2j45zcrks	17848396	12107601	Originalversion	cwpq93kp0wgj5vl	12107601	17848396	Digitaliserad version:
9tm19c9m5cljcj0	21080419	1597544	Originalversion	4mf23mhg1l2v4t5	1597544	21080419	Digitaliserad version
h1t4n5jt3909j9z	18774655	10609411	Originalversion:	p600rz81203m5kp	10609411	18774655	Digitaliserad version:
h1tz01pt1v5lrgj	14181205	618769	Originalversion	9sl61j4m2v4qhhg	618769	14181205	Digitaliserad version
9tmrstcm0ftr1fj	14181079	480610	Originalversion	0h9wk4bb4qvxp6p	480610	14181079	Digitaliserad version
9tmw9j5m2fx5915	17844799	1590068	Originalversion	xf7vv408587hm16	1590068	17844799	Digitaliserad version
g0sxz0ls1gct1lm	14181144	616438	Originalversion	l3whbqtx3d8b6n5	616438	14181144	Digitaliserad version
h1t3hrrt1pf14xp	17846065	11304431	Orginalversion	1kccz1tc27lq3rt	11304431	17846065	Digitaliserad version
n608nxn02kxq6pd	17845800	10926950	Orginalversion	bvnnscpn3n00869	10926950	17845800	Digitaliserad version
vd6bc7w65q8tjhb	14176536	258133	Originalversion:	3ldzdz7f36lrz4h	258133	14176536	Digitaliserad version:
xg8dfgw84vntfws	14180978	8210501	Originalversion	1jb75f4c2ngql2r	8210501	14180978	Digitaliserad version
2ldn2cqd3kwxs9h	17846412	11781982	Orginalversion	dxqrx3sq39bpkh2	11781982	17846412	Digitaliserad version
l4x234mx1v0ltzd	14181058	618279	Originalversion	zg8vp58928dnq8g	618279	14181058	Digitaliserad version
q82680c22hlktgp	14227472	8350730	Originalversion	btmjmx7n0h3p8c3	8350730	14227472	Digitaliserad version
vd6bcd1646kmvcd	14181156	552912	Originalversion	2kczqvqd435sflm	552912	14181156	Digitaliserad version
vd6gv5n642r1bln	17846526	10237478	Orginalversion	xf77kd781k8gzh2	10237478	17846526	Digitaliserad version
5phmnp8h1wd95fr	14181105	569161	Originalversion	p60ld3f15r05j91	569161	14181105	Digitaliserad version
6qjxpbkj4tvr1wx	20676646	8790804	Originalversion:	gzrp9cbs2gzgmzm	8790804	20676646	Digitaliserad version:
m5z345rz1fgnsj6	14181149	618708	Originalversion	8rk50h1l24lh016	618708	14181149	Digitaliserad version
6qjxs24j1zc7kkz	20750956	2699053	Orginalversion:	3ld2dccf3d0435s	2699053	20750956	Digitaliserad version:
bvnsvl3n4wzhx5m	14227610	10521	Originalversion:	cvn7c2cp5pg28dt	10521	14227610	Digitaliserad version:
0jbn8rwb400pkb6	19668220	7418312	Originalversion:	q71wvsm20gz5lst	7418312	19668220	Digitaliserad version:
8slxkmrl13t2mvr	19684068	7418072	Originalversion:	q71wvsc21hbv1fd	7418072	19684068	Digitaliserad version:
m5zb0vlz36sp000	19761899	7418550	Originalversion:	n5ztsqt03k5m4kz	7418550	19761899	Digitaliserad version:
q829m1625jdt09f	16955222	10668830	Originalversion:	btmmhswn10w52bg	10668830	16955222	Digitaliserad version:
q82d0c721lj7qjz	19664252	7417255	Originalversion:	h0snmj6t45n7kgh	7417255	19664252	Digitaliserad version:
