hubTitle	entity
Bibeln. Tolvprofetboken	Biblia, Test. Vetus, Prophetae Minores - Lat.
Bar do thos grol	Bardo thödol. Mongoliska
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet. Kikongo]
Den svenska psalmboken	Psalmboken 1822 Halmstad.
Laxdæla saga	Laxdæla saga. · fre
Den svenska psalmboken	Psalmboken 1726 Norrköping.
Psalmböcker	Psalmboken 1616 Uppsala
Tusen och en natt	Tusen och en natt. · [Urval.] · pan
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1711 · ger
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · Provövers. · 1996 · swe
Mishnah	Mishna. · eng
Bibeln	Bibeln. · Luther. · 1900 · ger
Bibeln. Gamla Testamentet	Bible. · [O.T., Green.] · Selections. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · eng
Den svenska psalmboken	Psalmboken 1829 Sthlm ordenstr.
Bibeln	Bibeln. · Åkeson · swe
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Suttanipāta	Tipiṭaka. · [Suttapiṭaka., Khuddakanikāya., Suttanipāta.]
Bibeln	Bibeln. · 1895 · swe
Bibeln	Bible. · 1550. · dan
Bibeln	Bibeln. · 1703. · 1762 Biörckegren. · swe
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · Bay Psalm Book. · eng
Bibeln. Moseboken 3	Bibeln. · [Moseboken 3.] · Provövers. · 1838 · swe
Bibeln	Bibeln. · 1820 · Assamesiska språket.
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Robertson.] · heb
De tolv patriarkernas testamenten	Testaments of the twelve patriarchs. · 1658. · eng
Bibeln	Bibeln. · Saci. · 1713 · fre
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · nor
Mabinogion	Mabinogi. English
Njáls saga	Njáls saga · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1983 · spa
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · gmh
Bibeln	Bibeln. · Luther. · 1974 · ger
Batrachomyomachia	Batrachomyomachia. · swe
Bibeln. Predikaren	Bible. O. T. Ecclesiastes. English. 1945. Gordis
Bibeln. Efesierbrevet	Bibeln. · [Efesierbrevet.] · eng
Psalmböcker	Svenska psalmboken. · 1582
Edda Sæmundar	Edda Sæmundar · fre
Bibeln. Gamla Testamentet. Urval	Bible. · [O.T., Hagiographa., Wells.] · eng
Psalmböcker	Psalmboken 1642 Stockholm
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1656 · heb
Barlaam et Josaphat	Barlaam och Josaphat. · Engelska & grekiska
Bibeln. Festrullarna (Megillot)	Bibeln. · [Festrullarna (Megillot).] · Biblia Hebraica Quinta. · 2004 · heb
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1636 · ger
Þorgils saga og Hafliða	Þorgils saga og Hafliða. · nno
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1685 · lav
