entity	originDate	originPlace	marc:version
Bible. · [O.T., Isaiah., Butt.] · eng			Butt
Bible. · [N.T., Caddick.] · heb			Caddick
Bible. · [N.T., Caddick.] · Hebrew and English.			Caddick
Bible. · [N.T., Gospels., Campbell.] · eng			Campbell
Bible. · [O.T., Psalms., Campen.] · eng			Campen
Bible. · [O.T., Psalms., Campen.] · lat			Campen
Bible. · [O.T., Psalms., Caryll.] · eng			Caryll
Bible. · [O.T., Psalms., Cecil.] · eng			Cecil
Bible. · [N.T., Gospels., Chateillon.] · Selections. · lat			Chateillon
Bible. · [N.T., Châteillon.] · lat			Châteillon
Bible. · [O.T., Psalms., Church of England.] · eng			Church of England
Bible. · [O.T., Psalms., Church of Scotland.] · eng			Church of Scotland
Bible. · [O.T., Psalms., Church of Scotland.] · Selections. · eng			Church of Scotland
Bible. · [O.T., Song of Solomon., Clapham.] · eng			Clapham
Bible. · [N.T., Revelation., Cooke.] · eng			Cooke
Bible. · [O.T., Psalms., Costard.] · Selections. · eng			Costard
Bible. · [O.T., Hagiographa., Coverdale.] · Selections. · eng			Coverdale
Bible. · [O.T., Psalms., Coverdale.] · eng			Coverdale
Bible. · [N.T., Gospel Harmonies., Cranfield.] · eng			Cranfield
Bible. · [O.T., Psalms., Crowley.] · eng			Crowley
Bible. · [N.T., D'Almeida.] · por			D'Almeida
Bible. · [N.T., D'Almeida.] · Prospectus. · por			D'Almeida
Bible. · [O.T., Psalms., Daniel.] · Selections. · eng			Daniel
Bible. · [N.T., Revelation., Daubuz.] · eng			Daubuz
Bible. · [N.T., Revelation., Daubuz.] · English and Greek.			Daubuz
Bible. · [O.T., Dawson.] · Selections. · lat			Dawson
Bible. · [O.T., Genesis 1-3., Dawson.] · eng			Dawson
Bible. · [O.T., Genesis 4-5., Dawson.] · eng			Dawson
Bible. · [O.T., Pentateuch., Delgado.] · eng			Delgado
Bible. · [N.T., Doddridge.] · eng			Doddridge
Bible. · [O.T., Isaiah., Dodson.] · eng			Dodson
Bible. · [O.T., Psalms., Dorrington.] · Selections. · eng			Dorrington
Bible. · [N.T., Douai.] · eng			Douai
Bible. · [O.T., Psalms., Douai.] · Selections. · eng			Douai
Bible. · [O.T., Job., Duport.] · Greek.			Duport
Bible. · [O.T., Psalms., Duport and Buchanan.] · Polyglot.			Duport and Buchanan
Bible. · [O.T., Psalms., Episcopal Church.] · eng			Episcopal Church
Bible. · [O.T., Song of Solomon., Fenner.] · eng			Fenner
Bible. · [O.T., Psalms., Fenwick.] · eng			Fenwick
Bible. · [O.T., Psalms., Ford.] · eng			Ford
Bible. · [O.T., Song of Solomon., Francis.] · eng			Francis
Bible. · [O.T., Hagiographa., G. B.] · lat			G. B.
Bible. · [O.T., Pentateuch., Geddes.] · Selections. · eng			Geddes
Bible. · [N.T., Geneva.] · fre			Geneva
Bible. · [N.T., Geneva - Tomson.] · eng			Geneva - Tomson
Bible. · [O.T., Psalms., Gentili.] · Selections. · lat			Gentili
Bible. · [O.T., Psalms., Gibbs.] · Selections. · eng			Gibbs
Bible. · [N.T., Matthew., Gilbert.] · eng			Gilbert
Bible. · [O.T., Song of Solomon., Gill.] · eng			Gill
Bible. · [O.T., Psalms., Great Bible.] · eng			Great Bible
Bible. · [O.T., Green.] · Selections. · eng			Green
Bible. · [O.T., Isaiah., Green.] · Selections. · eng			Green
Bible. · [O.T., Psalms., Green.] · eng			Green
Bible. · [O.T., Psalms., Green.] · Selections. · eng			Green
Bible. · [O.T., Ecclesiastes., Greenway.] · eng			Greenway
Bible. · [O.T., Ecclesiastes., Greenway.] · Selections. · eng			Greenway
Bible. · [N.T., Guyse.] · eng			Guyse
Bible. · [O.T., Psalms., Hanway., Selections.] · lat			Hanway
Bible. · [N.T., Hebrews., Hardy.] · eng			Hardy
Bible. · [O.T., Psalms., Hare.] · eng			Hare
Bible. · [N.T., Harwood.] · Prospectus. · eng			Harwood
Bible. · [O.T., Song of Solomon., Hodgson.] · eng			Hodgson
Bible. · [O.T., Proverbs., Hodgson.] · eng			Hodgson
Bible. · [O.T., Ecclesiastes., Hodgson.] · eng			Hodgson
Bible. · [O.T., Psalms., Hunnis.] · Selections. · eng			Hunnis
Bible. · [O.T., Song of Solomon., Johnson.] · eng			Johnson
Bible. · [O.T., Song of Solomon., Johnston.] · lat			Johnston
Bible. · [Song of Solomon., Johnston.] · lat			Johnston
Bible. · [O.T., Psalms., Johnston.] · Latin and Greek.			Johnston
Bible. · [O.T., Psalms., Johnston.] · Polyglot.			Johnston
Bible. · [O.T., Psalms., Johnstoun.] · lat			Johnstoun
Bible. · [O.T., Psalms., Johnston.] · lat			Johnston
Bible. · [O.T., Isaiah., Joye.] · eng			Joye
Bible. · [O.T., Psalms., Joye.] · eng			Joye
Bible. · [O.T., Habakkuk., Julius.] · lat			Julius
Bible. · [O.T., Isaiah., Julius.] · Paraphrases. · lat			Julius
Bible. · [O.T., Psalms., Leusden.] · English and Hebrew.			Leusden
Bible. · [N.T., Gospel Harmonies., Lieberkühn.] · eng			Lieberkühn
Bible. · [O.T., Deuteronomy XXVIII., Lindsay.] · eng			Lindsay
Bible. · [O.T., Genesis., Lookup.] · eng			Lookup
Bible. · [O.T., Isaiah., Lowth.] · eng			Lowth
Bible. · [N.T., Luther.] · ger			Luther
Bible. · [O.T., Psalms., Luther.] · ger			Luther
Bible. · [O.T., Psalms., Macfarlane.] · gla			Macfarlane
Bible. · [N.T., Gospel Harmonies., MacKnight.] · eng			MacKnight
