entity	originDate	originPlace	marc:version
Psalmboken 1758 Strängnäs.	1758	Strängnäs.	
Psalmboken 1758 Örebro.	1758	Örebro.	
Psalmboken 1759 Jönköping.	1759	Jönköping.	
Psalmboken 1759 Sthlm kongl.tr.	1759	Sthlm	kongl.tr.
Psalmboken 1760 Linköping.	1760	Linköping.	
Psalmboken 1760 Nyköping.	1760	Nyköping.	
Psalmboken 1760 Sthlm Grefing.	1760	Sthlm	Grefing.
Psalmboken 1760 Sthlm kongl.tr.	1760	Sthlm	kongl.tr.
Psalmboken 1760 Sthlm Lange.	1760	Sthlm	Lange.
Psalmboken 1761 Norrköping.	1761	Norrköping.	
Psalmboken 1762 Gbg.	1762	Gbg.	
Psalmboken 1762 Sthlm Lange.	1762	Sthlm	Lange.
Psalmboken 1762 Uppsala.	1762	Uppsala.	
Psalmboken 1763 Gbg.	1763	Gbg.	
Psalmboken 1763 Jönköping.	1763	Jönköping.	
Psalmboken 1763 Linköping.	1763	Linköping.	
Psalmboken 1763 Lund.	1763	Lund.	
Psalmboken 1763 Norrköping Edman	1763	Norrköping	Edman
Psalmboken 1763 Örebro.	1763	Örebro.	
Psalmboken 1764 Gbg.	1764	Gbg.	
Psalmboken 1764 Gävle.	1764	Gävle.	
Psalmboken 1764 Linköping.	1764	Linköping.	
Psalmboken 1764 Norrköping.	1764	Norrköping.	
Psalmboken 1764 Örebro	1764	Örebro	
Psalmboken 1765 Sthlm kongl.tr.	1765	Sthlm	kongl.tr.
Psalmboken 1765 Stockholm. · fin	1765	Stockholm.	
Psalmboken 1766 Sthlm Grefing.	1766	Sthlm	Grefing.
Psalmboken 1766 Örebro.	1766	Örebro.	
Psalmboken 1767 Linköping.	1767	Linköping.	
Psalmboken 1767 Lund	1767	Lund	
Psalmboken 1767 Reval.	1767	Reval.	
Psalmboken 1767 Stockholm	1767	Stockholm	
Psalmboken 1768 Jönköping	1768	Jönköping	
Psalmboken 1768 Sthlm Lange.	1768	Sthlm	Lange.
Psalmboken 1769 Linköping.	1769	Linköping.	
Psalmboken 1769 Örebro.	1769	Örebro.	
Psalmboken 1770 Lund	1770	Lund	
Psalmboken 1770 Örebro.	1770	Örebro.	
Psalmboken 1771 Sthlm gamla kongl.tr.	1771	Sthlm	gamla kongl.tr.
Psalmboken 1771 Sthlm Stolpe.	1771	Sthlm	Stolpe.
Psalmboken 1771 Västerås.	1771	Västerås.	
Psalmboken 1771 Örebro.	1771	Örebro.	
Psalmboken 1772 Jönköping.	1772	Jönköping.	
Psalmboken 1772 Karlskrona	1772	Karlskrona	
Psalmboken 1772 Sthlm	1772	Sthlm	
Psalmboken 1772 Sthlm Carlbohm	1772	Sthlm	Carlbohm
Psalmboken 1772 Sthlm Lange.	1772	Sthlm	Lange.
Psalmboken 1773 Gävle.	1773	Gävle.	
Psalmboken 1773 Jönköping	1773	Jönköping	
Psalmboken 1773 Sthlm f.d. kongl.tr.	1773	Sthlm	f.d. kongl.tr.
Psalmboken 1773 Sthlm Lange.	1773	Sthlm	Lange.
Psalmboken 1773 Örebro.	1773	Örebro.	
Psalmboken 1774 Norrköping.	1774	Norrköping.	
Psalmboken 1774 Sthlm Lange.	1774	Sthlm	Lange.
Psalmboken 1774 Sthlm Stolpe.	1774	Sthlm	Stolpe.
Psalmboken 1774 Örebro.	1774	Örebro.	
Psalmboken 1775 Sthlm f.d. kongl.tr.	1775	Sthlm	f.d. kongl.tr.
Psalmboken 1776 Sthlm f.d. kongl.tr.	1776	Sthlm	f.d. kongl.tr.
Psalmboken 1776 Sthlm Stolpe.	1776	Sthlm	Stolpe.
Psalmboken 1776 Vexjö.	1776	Vexjö.	
Psalmboken 1776 Örebro.	1776	Örebro.	
Psalmboken 1777 Lund	1777	Lund	
Psalmboken 1777 Sthlm f.d. kongl.tr.	1777	Sthlm	f.d. kongl.tr.
Psalmboken 1777 Sthlm ordenstr.	1777	Sthlm	ordenstr.
Psalmboken 1778 Gbg.	1778	Gbg.	
Psalmboken 1778 Jönköping.	1778	Jönköping.	
Psalmboken 1778 Lund	1778	Lund	
Psalmboken 1778 Sthlm Lange.	1778	Sthlm	Lange.
Psalmboken 1778 Sthlm ordenstr.	1778	Sthlm	ordenstr.
Psalmboken 1778 Sthlm Stolpe.	1778	Sthlm	Stolpe.
Psalmboken 1778 Örebro.	1778	Örebro.	
Psalmboken 1779 Gbg.	1779	Gbg.	
Psalmboken 1779 Linköping.	1779	Linköping.	
Psalmboken 1779 Sthlm Lange.	1779	Sthlm	Lange.
Psalmboken 1779 Sthlm ordenstr.	1779	Sthlm	ordenstr.
Psalmboken 1779 Örebro.	1779	Örebro.	
Psalmboken 1780 Sthlm Lange.	1780	Sthlm	Lange.
Psalmboken 1780 Örebro	1780	Örebro	
Psalmboken 1781 Göteborg	1781	Göteborg	
Psalmboken 1781 Lund	1781	Lund	
Psalmboken 1781 Sthlm Lange.	1781	Sthlm	Lange.
Psalmboken 1781 Sthlm ordenstr.	1781	Sthlm	ordenstr.
Psalmboken 1781 Örebro.	1781	Örebro.	
Psalmboken 1782 Sthlm Lange.	1782	Sthlm	Lange.
Psalmboken 1782 Sthlm ordenstr.	1782	Sthlm	ordenstr.
Psalmboken 1782 Örebro	1782	Örebro	
Psalmboken 1782 Örebro.	1782	Örebro.	
Psalmboken 1783 Gbg.	1783	Gbg.	
Psalmboken 1783 Jönköping.	1783	Jönköping.	
Psalmboken 1783 Sthlm	1783	Sthlm	
Psalmboken 1783 Sthlm ordenstr.	1783	Sthlm	ordenstr.
Psalmboken 1784 Gbg.	1784	Gbg.	
Psalmboken 1784 Linköping.	1784	Linköping.	
Psalmboken 1784 Sthlm Brodin.	1784	Sthlm	Brodin.
Psalmboken 1784 Sthlm Fougt.	1784	Sthlm	Fougt.
Psalmboken 1784 Sthlm Pfeiffer.	1784	Sthlm	Pfeiffer.
Psalmboken 1784 Örebro.	1784	Örebro.	
Psalmboken 1785 Gbg.	1785	Gbg.	
Psalmboken 1785 Jönköping.	1785	Jönköping.	
Psalmboken 1785 Sthlm Fougt.	1785	Sthlm	Fougt.
Psalmboken 1785 Sthlm Lange.	1785	Sthlm	Lange.
Psalmboken 1785 Sthlm Ordenstr.	1785	Sthlm	Ordenstr.
Psalmboken 1785 Stockholm	1785	Stockholm	
Psalmboken 1785 Örebro.	1785	Örebro.	
Psalmboken 1786	1786		
Psalmboken 1786 Gbg.	1786	Gbg.	
Psalmboken 1786 Sthlm Lange.	1786	Sthlm	Lange.
Psalmboken 1786 Sthlm ordenstr.	1786	Sthlm	ordenstr.
Psalmboken 1786 Växjö.	1786	Växjö.	
Psalmboken 1786 Örebro.	1786	Örebro.	
Psalmboken 1787 Gbg.	1787	Gbg.	
Psalmboken 1787 Sthlm Lange.	1787	Sthlm	Lange.
Psalmboken 1787 Sthlm ordenstr.	1787	Sthlm	ordenstr.
Psalmboken 1788 Gbg.	1788	Gbg.	
Psalmboken 1788 Örebro.	1788	Örebro.	
Psalmboken 1789 Sthlm Lange.	1789	Sthlm	Lange.
Psalmboken 1789 Sthlm ordenstr.	1789	Sthlm	ordenstr.
Psalmboken 1789 Örebro.	1789	Örebro.	
Psalmboken 1790 Gbg.	1790	Gbg.	
Psalmboken 1790 Linköping.	1790	Linköping.	
Psalmboken 1790 Örebro.	1790	Örebro.	
Psalmboken 1791 Gbg.	1791	Gbg.	
Psalmboken 1791 Jönköping.	1791	Jönköping.	
Psalmboken 1791 Sthlm Lindh.	1791	Sthlm	Lindh.
Psalmboken 1791 Sthlm Ordenstr.	1791	Sthlm	Ordenstr.
Psalmboken 1791 Västerås.	1791	Västerås.	
Psalmboken 1792 Gbg.	1792	Gbg.	
Psalmboken 1792 Sthlm Lange.	1792	Sthlm	Lange.
Psalmboken 1792 Sthlm Lindh.	1792	Sthlm	Lindh.
Psalmboken 1792 Sthlm ordenstr.	1792	Sthlm	ordenstr.
Psalmboken 1792 Örebro.	1792	Örebro.	
Psalmboken 1793 Gbg.	1793	Gbg.	
Psalmboken 1793 Jönköping.	1793	Jönköping.	
Psalmboken 1793 Nyköping.	1793	Nyköping.	
Psalmboken 1793 Sthlm Lange.	1793	Sthlm	Lange.
Psalmboken 1794 Gbg.	1794	Gbg.	
Psalmboken 1794 Jönköping.	1794	Jönköping.	
Psalmboken 1794 Nyköping.	1794	Nyköping.	
Psalmboken 1794 Sthlm Lindh.	1794	Sthlm	Lindh.
Psalmboken 1795 Gbg.	1795	Gbg.	
Psalmboken 1795 Nyköping.	1795	Nyköping.	
Psalmboken 1795 Sthlm Lindh.	1795	Sthlm	Lindh.
Psalmboken 1795 Örebro.	1795	Örebro.	
Psalmboken 1796 Gbg.	1796	Gbg.	
Psalmboken 1796 Jönköping.	1796	Jönköping.	
Psalmboken 1796 Nyköping.	1796	Nyköping.	
Psalmboken 1796 Sthlm Lange.	1796	Sthlm	Lange.
Psalmboken 1796 Sthlm ordenstr.	1796	Sthlm	ordenstr.
Psalmboken 1796 Örebro.	1796	Örebro.	
Psalmboken 1797 Gbg.	1797	Gbg.	
Psalmboken 1797 Jönköping.	1797	Jönköping.	
Psalmboken 1797 Nyköping.	1797	Nyköping.	
Psalmboken 1797 Sthlm Lange.	1797	Sthlm	Lange.
Psalmboken 1797 Sthlm Lindh.	1797	Sthlm	Lindh.
Psalmboken 1797 Sthlm ordenstr.	1797	Sthlm	ordenstr.
Psalmboken 1798 Jönköping.	1798	Jönköping.	
Psalmboken 1798 Linköping.	1798	Linköping.	
Psalmboken 1798 Lund.	1798	Lund.	
Psalmboken 1798 Nyköping.	1798	Nyköping.	
Psalmboken 1798 Sthlm Carlbohm.	1798	Sthlm	Carlbohm.
Psalmboken 1798 Sthlm Lange.	1798	Sthlm	Lange.
Psalmboken 1798 Sthlm Lindh.	1798	Sthlm	Lindh.
Psalmboken 1798 Sthlm ordenstr.	1798	Sthlm	ordenstr.
Psalmboken 1798 Örebro.	1798	Örebro.	
Psalmboken 1799 Gbg.	1799	Gbg.	
Psalmboken 1799 Nyköping.	1799	Nyköping.	
Psalmboken 1799 Sthlm Lindh.	1799	Sthlm	Lindh.
Psalmboken 1799 Sthlm ordenstr.	1799	Sthlm	ordenstr.
Psalmboken 1799 Örebro.	1799	Örebro.	
Psalmboken 1800 Nyköping.	1800	Nyköping.	
Psalmboken 1800 Sthlm ordenstr.	1800	Sthlm	ordenstr.
Psalmboken 1800 Örebro.	1800	Örebro.	
Psalmboken 1801 Gbg.	1801	Gbg.	
Psalmboken 1801 Nyköping.	1801	Nyköping.	
Psalmboken 1801 Sthlm Lange.	1801	Sthlm	Lange.
Psalmboken 1801 Sthlm Marquard	1801	Sthlm	Marquard
Psalmboken 1801 Sthlm ordenstr.	1801	Sthlm	ordenstr.
Psalmboken 1802 Gbg.	1802	Gbg.	
Psalmboken 1802 Sthlm Lindh.	1802	Sthlm	Lindh.
Psalmboken 1802 Sthlm Marquard.	1802	Sthlm	Marquard.
Psalmboken 1802 Sthlm ordenstr.	1802	Sthlm	ordenstr.
Psalmboken 1802 Örebro.	1802	Örebro.	
Psalmboken 1803 Gbg.	1803	Gbg.	
Psalmboken 1803 Norrköping.	1803	Norrköping.	
Psalmboken 1803 Nyköping.	1803	Nyköping.	
Psalmboken 1803 Sthlm Lindh.	1803	Sthlm	Lindh.
Psalmboken 1803 Sthlm ordenstr.	1803	Sthlm	ordenstr.
Psalmboken 1803 Strängnäs.	1803	Strängnäs.	
Psalmboken 1803 Örebro.	1803	Örebro.	
Psalmboken 1804 Sthlm Marquard.	1804	Sthlm	Marquard.
Psalmboken 1804 Sthlm ordenstr.	1804	Sthlm	ordenstr.
Psalmboken 1804 Strängnäs.	1804	Strängnäs.	
Psalmboken 1804 Örebro.	1804	Örebro.	
Psalmboken 1805 Nyköping.	1805	Nyköping.	
Psalmboken 1805 Sthlm Lindh.	1805	Sthlm	Lindh.
Psalmboken 1805 Sthlm ordenstr.	1805	Sthlm	ordenstr.
Psalmboken 1805 Örebro.	1805	Örebro.	
Psalmboken 1806 Gbg.	1806	Gbg.	
Psalmboken 1806 Lund.	1806	Lund.	
Psalmboken 1806 Norrköping.	1806	Norrköping.	
Psalmboken 1806 Sthlm Lindh.	1806	Sthlm	Lindh.
Psalmboken 1806 Sthlm Marquard.	1806	Sthlm	Marquard.
Psalmboken 1806 Sthlm ordenstr.	1806	Sthlm	ordenstr.
Psalmboken 1806 Örebro.	1806	Örebro.	
Psalmboken 1807 Nyköping.	1807	Nyköping.	
Psalmboken 1807 Sthlm Lindh.	1807	Sthlm	Lindh.
Psalmboken 1807 Strängnäs.	1807	Strängnäs.	
Psalmboken 1808 Nyköping.	1808	Nyköping.	
Psalmboken 1808 Strängnäs.	1808	Strängnäs.	
Psalmboken 1808 Örebro.	1808	Örebro.	
Psalmboken 1809 Strängnäs.	1809	Strängnäs.	
Psalmboken 1810 Gbg.	1810	Gbg.	
Psalmboken 1810 Nyköping.	1810	Nyköping.	
Psalmboken 1810 Örebro	1810	Örebro	
Psalmboken 1811 Gbg.	1811	Gbg.	
Psalmboken 1812 Gbg.	1812	Gbg.	
Psalmboken 1812 Sthlm Lindh.	1812	Sthlm	Lindh.
Psalmboken 1812 Sthlm ordenstr.	1812	Sthlm	ordenstr.
Psalmboken 1812 Örebro.	1812	Örebro.	
Psalmboken 1813 Gbg.	1813	Gbg.	
Psalmboken 1813 Örebro.	1813	Örebro.	
Psalmboken 1814 Gbg.	1814	Gbg.	
Psalmboken 1814 Halmstad.	1814	Halmstad.	
Psalmboken 1814 Strängnäs.	1814	Strängnäs.	
Psalmboken 1815 Örebro.	1815	Örebro.	
Psalmboken 1816 Sthlm Lindh.	1816	Sthlm	Lindh.
Psalmboken 1816 Sthlm ordenstr.	1816	Sthlm	ordenstr.
Psalmboken 1816 Örebro.	1816	Örebro.	
Psalmboken 1817 Sthlm ordenstr.	1817	Sthlm	ordenstr.
Psalmboken 1817 Örebro.	1817	Örebro.	
Psalmboken 1818 Stockholm	1818	Stockholm	
Psalmboken 1818 Örebro.	1818	Örebro.	
Psalmboken 1819 Gbg.	1819	Gbg.	
Psalmboken 1819 Jönköping.	1819	Jönköping.	
Psalmboken 1819 Kalmar.	1819	Kalmar.	
Psalmboken 1819 Norrköping	1819	Norrköping	
Psalmboken 1819 Nyköping.	1819	Nyköping.	
Psalmboken 1819 Sthlm Elmén.	1819	Sthlm	Elmén.
Psalmboken 1819 Sthlm Gadelius.	1819	Sthlm	Gadelius.
Psalmboken 1819 Sthlm Grahn.	1819	Sthlm	Grahn.
Psalmboken 1819 Sthlm Lindh.	1819	Sthlm	Lindh.
Psalmboken 1819 Strängnäs.	1819	Strängnäs.	
Psalmboken 1819 Örebro.	1819	Örebro.	
Psalmboken 1820 Gbg.	1820	Gbg.	
Psalmboken 1820 Jönköping.	1820	Jönköping.	
Psalmboken 1820 Sthlm Berglund.	1820	Sthlm	Berglund.
Psalmboken 1820 Sthlm Eckstein.	1820	Sthlm	Eckstein.
Psalmboken 1820 Sthlm Elmén.	1820	Sthlm	Elmén.
Psalmboken 1820 Sthlm Gadelius.	1820	Sthlm	Gadelius.
Psalmboken 1820 Sthlm Grahn.	1820	Sthlm	Grahn.
Psalmboken 1820 Sthlm Lindh.	1820	Sthlm	Lindh.
Psalmboken 1820 Sthlm Nordström.	1820	Sthlm	Nordström.
Psalmboken 1820 Sthlm Rumstedt.	1820	Sthlm	Rumstedt.
Psalmboken 1820 Strängnäs	1820	Strängnäs	
Psalmboken 1820 Strängnäs.	1820	Strängnäs.	
Psalmboken 1820 Örebro.	1820	Örebro.	
Psalmboken 1821 Gbg.	1821	Gbg.	
Psalmboken 1821 Göteborg	1821	Göteborg	
Psalmboken 1821 Kalmar.	1821	Kalmar.	
Psalmboken 1821 Nyköping Winge	1821	Nyköping	Winge
Psalmboken 1821 Nyköping.	1821	Nyköping.	
Psalmboken 1821 Sthlm Eckstein.	1821	Sthlm	Eckstein.
Psalmboken 1821 Sthlm Grahn	1821	Sthlm	Grahn
Psalmboken 1821 Sthlm Grahn.	1821	Sthlm	Grahn.
Psalmboken 1821 Sthlm Lindh.	1821	Sthlm	Lindh.
Psalmboken 1821 Sthlm Nestius.	1821	Sthlm	Nestius.
Psalmboken 1821 Strängnäs.	1821	Strängnäs.	
Psalmboken 1822 Halmstad.	1822	Halmstad.	
Psalmboken 1822 Jönköping.	1822	Jönköping.	
Psalmboken 1822 Karlskrona.	1822	Karlskrona.	
Psalmboken 1822 Linköping.	1822	Linköping.	
Psalmboken 1822 Sthlm Eckstein.	1822	Sthlm	Eckstein.
Psalmboken 1822 Sthlm Lindh.	1822	Sthlm	Lindh.
Psalmboken 1822 Sthlm Ortman.	1822	Sthlm	Ortman.
Psalmboken 1822 Strängnäs.	1822	Strängnäs.	
Psalmboken 1822 Örebro.	1822	Örebro.	
Psalmboken 1823 Sthlm Lindh.	1823	Sthlm	Lindh.
Psalmboken 1823 Falun.	1823	Falun.	
Psalmboken 1823 Gbg.	1823	Gbg.	
Psalmboken 1823 Norrköping.	1823	Norrköping.	
Psalmboken 1823 Nyköping.	1823	Nyköping.	
Psalmboken 1823 Sthlm Lindh.	1823	Sthlm	Lindh.
Psalmboken 1823 Örebro.	1823	Örebro.	
Psalmboken 1824 Falun.	1824	Falun.	
Psalmboken 1824 Gbg.	1824	Gbg.	
Psalmboken 1824 Jönköping.	1824	Jönköping.	
Psalmboken 1824 Nyköping.	1824	Nyköping.	
Psalmboken 1824 Sthlm Norstedt.	1824	Sthlm	Norstedt.
Psalmboken 1824 Strängnäs.	1824	Strängnäs.	
Psalmboken 1824 Åbo.	1824	Åbo.	
Psalmboken 1824 Örebro.	1824	Örebro.	
Psalmboken 1825 Kalmar.	1825	Kalmar.	
Psalmboken 1825 Linköping.	1825	Linköping.	
Psalmboken 1825 Norrköping.	1825	Norrköping.	
Psalmboken 1825 Sthlm Elmén	1825	Sthlm	Elmén
Psalmboken 1825 Sthlm Nordström.	1825	Sthlm	Nordström.
Psalmboken 1825 Sthlm Rumstedt.	1825	Sthlm	Rumstedt.
Psalmboken 1826 Falun.	1826	Falun.	
Psalmboken 1826 Jönköping.	1826	Jönköping.	
Psalmboken 1826 Kalmar	1826	Kalmar	
Psalmboken 1826 Linköping.	1826	Linköping.	
Psalmboken 1826 Sthlm Marquard.	1826	Sthlm	Marquard.
Psalmboken 1826 Sthlm Norstedt.	1826	Sthlm	Norstedt.
Psalmboken 1826 Örebro.	1826	Örebro.	
Psalmboken 1827 Sthlm Elmén.	1827	Sthlm	Elmén.
Psalmboken 1827 Sthlm Nestius.	1827	Sthlm	Nestius.
Psalmboken 1827 Sthlm Norstedt.	1827	Sthlm	Norstedt.
Psalmboken 1827 Örebro.	1827	Örebro.	
Psalmboken 1828 Jönköping.	1828	Jönköping.	
Psalmboken 1828 Linköping.	1828	Linköping.	
Psalmboken 1828 Skara.	1828	Skara.	
Psalmboken 1828 Sthlm Elmén.	1828	Sthlm	Elmén.
Psalmboken 1828 Sthlm Norstedt.	1828	Sthlm	Norstedt.
Psalmboken 1828 Sthlm ordenstr.	1828	Sthlm	ordenstr.
Psalmboken 1828 Örebro.	1828	Örebro.	
Psalmboken 1829 Gbg.	1829	Gbg.	
Psalmboken 1829 Jönköping.	1829	Jönköping.	
Psalmboken 1829 Kalmar.	1829	Kalmar.	
Psalmboken 1829 Kristianstad.	1829	Kristianstad.	
Psalmboken 1829 Sthlm ordenstr.	1829	Sthlm	ordenstr.
Psalmboken 1829 Örebro.	1829	Örebro.	
Psalmboken 1831 Linköping	1831	Linköping	
Psalmboken 1832 Uddevalla	1832	Uddevalla	
Psalmboken 1833 Göteborg.	1833	Göteborg.	
Psalmboken 1834 Uddevalla	1834	Uddevalla	
Psalmboken 1836 Örebro	1836	Örebro	
Psalmboken 1837 Jönköping.	1837	Jönköping.	
Psalmboken 1837 Stockholm Hjerta	1837	Stockholm	Hjerta
Psalmboken 1837 Örebro	1837	Örebro	
Psalmboken 1842 Kalmar	1842	Kalmar	
Psalmboken 1843	1843		
Psalmboken 1848 Stockholm Norstedt	1848	Stockholm	Norstedt
Psalmboken 1848 Örebro	1848	Örebro	
Psalmboken 1858 Örebro	1858	Örebro	
Psalmboken 1863 Gbg	1863	Gbg	
Psalmboken 1864 Gbg	1864	Gbg	
Psalmboken 1865 Stockholm	1865	Stockholm	
Psalmboken 1869 Göteborg	1869	Göteborg	
Psalmboken 1875 Umeå.	1875	Umeå.	
Psalmboken 1883 Göteborg.	1883	Göteborg.	
Psalmboken 1883 Stockholm	1883	Stockholm	
Psalmboken 1890 Stockholm	1890	Stockholm	
Psalmboken 1896 Gbg	1896	Gbg	
Psalmboken 1902 Sthlm Herzog	1902	Sthlm	Herzog
Psalmboken 1906 Sthlm Herzog	1906	Sthlm	Herzog
Psalmboken 1914 Sthlm Herzog	1914	Sthlm	Herzog
Psalmboken, 1905 Stockholm Herzog	1905	Stockholm	Herzog
Almanach 1684 Voigt	1684		
Almanach 1688 Voigt	1688		
Almanach 1691 Voigt	1691		
Almanach 1704 Nöller	1704		
Almanach 1724 Stichter	1724		
Almanack 1640 Herlitz	1640		
Almanack 1641 Herlitz	1641		
Almanack 1643 Herlitz	1643		
Almanack 1648 Werve	1648		
Almanack 1650 Schwartz	1650		
Almanack 1656 Freund	1656		
Almanack 1657 Freund	1657		
Almanack 1661 Marchen	1661		
Almanack 1664 Freund	1664		
Almanack 1667 Fuhrmann	1667		
Almanack 1669 Voigt	1669		
Almanack 1670 Voigt	1670		
Almanack 1676 Voigt	1676		
Almanack 1681 Spole	1681		
Almanack 1683 Voigt	1683		
Almanack 1685 Voigt	1685		
Almanack 1686 Spole	1686		
Almanack 1688 Spole	1688		
Almanack 1692 Spole	1692		
Almanack 1698 Krook	1698		
Almanack 1698 Voigt	1698		
Almanack 1699 Spole	1699		
Almanack 1700 Krook	1700		
Almanack 1700 Spole	1700		
Almanack 1701 Bilberg.	1701		
Almanack 1701 Celsius.	1701		
Almanack 1701 Elvius.	1701		
Almanack 1701 Krook.	1701		
Almanack 1701 Riddermarck.	1701		
Almanack 1701.	1701.		
Almanack 1702 Bilberg.	1702		
Almanack 1702 Celsius.	1702		
Almanack 1702 Elvius.	1702		
Almanack 1702 Krook.	1702		
Almanack 1702 Riddermarck.	1702		
Almanack 1703 Bilberg.	1703		
Almanack 1703 Elvius.	1703		
Almanack 1703 Krook.	1703		
Almanack 1703 Riddermarck.	1703		
Almanack 1704 Bilberg.	1704		
Almanack 1704 Celsius.	1704		
Almanack 1704 Elvius.	1704		
Almanack 1704 Krook.	1704		
Almanack 1704 Riddermarck.	1704		
Almanack 1705 Bilberg.	1705		
Almanack 1705 Celsius.	1705		
Almanack 1705 Elvius.	1705		
Almanack 1705 Krook.	1705		
Almanack 1705 Riddermarck.	1705		
Almanack 1706 Bilberg.	1706		
Almanack 1706 Celsius.	1706		
Almanack 1706 Elvius.	1706		
Almanack 1706 Krook.	1706		
Almanack 1706 Riddermarck.	1706		
Almanack 1707 Bilberg.	1707		
Almanack 1707 Celsius.	1707		
Almanack 1707 Elvius.	1707		
Almanack 1707 Krook.	1707		
Almanack 1708 Bilberg.	1708		
Almanack 1708 Celsius.	1708		
Almanack 1708 Elvius.	1708		
Almanack 1708 Krook.	1708		
Almanack 1709 Bilberg.	1709		
Almanack 1709 Celsius.	1709		
Almanack 1709 Elvius.	1709		
Almanack 1709 Krook.	1709		
Almanack 1710 Bilberg.	1710		
Almanack 1710 Celsius.	1710		
Almanack 1710 Elvius.	1710		
Almanack 1710 Krook.	1710		
Almanack 1711 Bilberg.	1711		
Almanack 1711 Celsius.	1711		
Almanack 1711 Elvius.	1711		
Almanack 1711 Krook.	1711		
Almanack 1712 Celsius.	1712		
Almanack 1712 Elvius.	1712		
Almanack 1712 Krook.	1712		
Almanack 1712 Vallerius.	1712		
Almanack 1713 Celsius.	1713		
Almanack 1713 Elvius.	1713		
Almanack 1713 Krook.	1713		
Almanack 1713 Vallerius.	1713		
Almanack 1714 Celsius.	1714		
Almanack 1714 Elvius.	1714		
Almanack 1714 Krook.	1714		
Almanack 1714 Quensel.	1714		
Almanack 1714 Vallerius.	1714		
Almanack 1715 Celsius.	1715		
Almanack 1715 Elvius.	1715		
Almanack 1715 Krook.	1715		
Almanack 1715 Quensel.	1715		
Almanack 1715 Vallerius.	1715		
Almanack 1716 Celsius.	1716		
Almanack 1716 Elvius.	1716		
Almanack 1716 Krook.	1716		
Almanack 1716 Quensel.	1716		
Almanack 1716 Vallerius.	1716		
Almanack 1717 Celsius.	1717		
Almanack 1717 Elvius.	1717		
Almanack 1717 Quensel.	1717		
Almanack 1717 Tammelin.	1717		
Almanack 1717 Vallerius.	1717		
Almanack 1718 Celsius.	1718		
Almanack 1718 Elvius.	1718		
Almanack 1718 Quensel.	1718		
Almanack 1718 Tammelin.	1718		
Almanack 1718 Vallerius.	1718		
Almanack 1719 Celsius.	1719		
Almanack 1719 Quensel.	1719		
Almanack 1719 Tammelin.	1719		
Almanack 1719 Vallerius.	1719		
Almanack 1720 Burman.	1720		
Almanack 1720 Celsius.	1720		
Almanack 1720 Quensel.	1720		
Almanack 1720 Tammelin.	1720		
Almanack 1721 Burman.	1721		
Almanack 1721 Celsius.	1721		
Almanack 1721 Quensel.	1721		
Almanack 1721 Tammelin.	1721		
Almanack 1722 Burman.	1722		
Almanack 1722 Celsius.	1722		
Almanack 1722 Morsing.	1722		
Almanack 1722 Quensel.	1722		
Almanack 1722 Tammelin.	1722		
Almanack 1723 Burman.	1723		
Almanack 1723 Celsius.	1723		
Almanack 1723 Quensel.	1723		
Almanack 1723 Tammelin.	1723		
Almanack 1724 Burman.	1724		
Almanack 1724 Celsius.	1724		
Almanack 1724 Quensel.	1724		
Almanack 1724 Tammelin.	1724		
Almanack 1724 Wassenius.	1724		
Almanack 1725 Burman.	1725		
Almanack 1725 Quensel.	1725		
Almanack 1725 Tammelin.	1725		
Almanack 1725 Wassenius.	1725		
Almanack 1726 Burman.	1726		
Almanack 1726 Quensel.	1726		
Almanack 1726 Utrecht	1726		
Almanack 1726 Wassenius.	1726		
Almanack 1727 Burman.	1727		
Almanack 1727 Hasselbom.	1727		
Almanack 1727 Quensel.	1727		
Almanack 1727 Wassenius.	1727		
Almanack 1728 Burman.	1728		
Almanack 1728 Celsius.	1728		
Almanack 1728 Quensel.	1728		
Almanack 1728 Wassenius.	1728		
Almanack 1729 Burman	1729		
Almanack 1729 Celsius.	1729		
Almanack 1729 Quensel.	1729		
Almanack 1729 Wassenius.	1729		
Almanack 1730 Burman.	1730		
Almanack 1730 Celsius.	1730		
Almanack 1730 Quensel.	1730		
Almanack 1730 Wassenius.	1730		
Almanack 1731 Celsius.	1731		
Almanack 1731 Quensel.	1731		
Almanack 1731 Quensil.	1731		
Almanack 1731 Wassenius.	1731		
Almanack 1732 Celsius.	1732		
Almanack 1732 Quensel.	1732		
Almanack 1732 Wassenius.	1732		
Almanack 1732 Wolfgang	1732		
Almanack 1733 Celsius.	1733		
Almanack 1733 Quensel.	1733		
Almanack 1733 Wassenius.	1733		
Almanack 1734 Celsius.	1734		
Almanack 1734 Hiorter.	1734		
Almanack 1734 Menlös.	1734		
Almanack 1734 Wassenius.	1734		
Almanack 1735 Celsius.	1735		
Almanack 1735 Hiorter.	1735		
Almanack 1735 Menlös.	1735		
Almanack 1735 Wassenius.	1735		
Almanack 1736 Celsius.	1736		
Almanack 1736 Hiorter.	1736		
Almanack 1736 Menlös.	1736		
Almanack 1736 Wassenius.	1736		
Almanack 1737 Celsius.	1737		
Almanack 1737 Hiorter.	1737		
Almanack 1737 Menlös.	1737		
Almanack 1737 Wassenius.	1737		
Almanack 1738 Hiorter.	1738		
Almanack 1738 Menlös.	1738		
Almanack 1738 Wassenius.	1738		
