bibid dubblett radera	bibid korrekt post	SPI NR	PostNR
z9fx7fjcwc0xj3hk	1490755	(SPI)810823	10353
z9fx7fjgwmggpc97	21589	(SPI)810805	10357
dqvcnvzzbddq5c6g	10361680	(SPI)810804	10359
mz3lw37nkz7frd8d	2517234	(SPI)810742	10377
3fk2ckp61rx6006c	18835884	(SPI)810718	10379
dqvcnv0jbgqzzct5	18835138	(SPI)810682	10381
n04mx48xl3bn7tvw	18782193	(SPI)810613	10387
gsxfqx22dl8fzhr3	11908725	(SPI)810593	10399
7kp6hpt352zcfgch	267146	(SPI)810542	10411
htzgrz3df0q57qph	18778824	(SPI)810529	10413
5hm4fms53077f8q4	22179275	(SPI)810526	10417
1ch09hn4z02tb3xm	18778697	(SPI)810464	10423
jv0hs06ngg9tsmzg	114032	(SPI)809980	10467
3fk2ckrg1mlmrvxp	18777710	(SPI)809917	10477
jv0hs06xgm29mlql	18777651	(SPI)809895	10479
frwdpw3zcrtfzkc1	15042322	(SPI)809821	10485
s48r28gcqgtshm0c	1246110	(SPI)809812	10487
v6bt4bjjs0fr0tpr	12429837	(SPI)809731	10491
4gl3dlt42w1f42lh	12015247	(SPI)809569	10505
kw1jt18qh590fjhd	12457302	(SPI)809526	10513
6jn5gnwg4cf6wk64	1116631	(SPI)809513	10517
8lq7jqzw60jlnvp4	1937843	(SPI)809021	10531
mz3lw3b9kqb6r2r1	1937815	(SPI)809020	10533
3fk2ckst1x21vcgb	1937810	(SPI)809019	10535
jv0hs079g9jszrss	1937808	(SPI)809018	10537
3fk2cks01h66dg4n	12448441	(SPI)808991	10541
3fk2ckt31hg45cd2	8167077	(SPI)808960	10545
mz3lw3cxkb3tt0vd	22198753	(SPI)808758	10559
v6bt4blrs2mgb02l	22513318	(SPI)808494	10585
x8dw6dp5vcb9cw5z	11889549	(SPI)808122	10599
n04mx4f0lsnxn82l	kvt0x3vnh91nzlxp	(SPI)808061	10603
0bgz8grcxq18zpq3	18702737	(SPI)808050	10605
s48r28knqgd71ht4	8166874	(SPI)807857	10625
6jn5gn044pgnssrp	12452274	(SPI)807847	10627
0bgz8gs0x4zrbj52	22698110	(SPI)807831	10631
2dj1bjv70620dlgj	8166864	(SPI)807793	10637
mz3lw3fzkz7k2kkw	11178943	(SPI)807719	10645
frwdpw73cv2vgcg0	29870	(SPI)807687	10659
t59s39mjr1vk8p48	306946	(SPI)807684	10661
htzgrzbjfs4fqv5r	19054201	(SPI)807481	10675
4gl3dlzd2c56zrj5	8219394	(SPI)807419	10683
8lq7jq3t63rr6865	1594421	(SPI)807262	10697
lx2kv2fcjr0w3cv9	1202647	(SPI)807217	10707
4gl3dlzz2b04lch8	10923734	(SPI)807216	10709
2dj1bjxg07qzdc0l	12755655	(SPI)807070	10733
bns9ls6185k9222c	13604719	(SPI)807011	10747
n04mx4jdl0tjdvff	14738997	(SPI)806997	10749
mz3lw3jtksbhfb6q	643596	(SPI)806771	10765
jv0hs0f0gnfmlr25	461152	(SPI)806555	10775
7kp6hp4r5kftcds7	2783055	(SPI)806392	10777
p15nz5lbmmd9tvk8	22597314	(SPI)806279	10781
6jn5gn3z4w11gfms	22419282	(SPI)806258	10785
9mr8ks7977v4xk17	20831589	(SPI)806232	10793
3fk2cl151050sbqs	20846076	(SPI)806229	10795
htzgr0fpf7jjk735	22511940	(SPI)806154	10801
t59s3br2r3qpg3bl	3282804	(SPI)806039	10803
gsxfqzdsdvzvpkr7	64843	(SPI)805837	10807
w7cv5dtdt0w90q5r	1162040	(SPI)805685	10815
s48r29qkqbsth8sx	58005	(SPI)805434	10825
v6bt4ctwsw6xsjzg	10582621	(SPI)805218	10837
t59s3bs1r5qzjfmt	899001	(SPI)805171	10843
kw1jt2j0h0vkfcnr	2634065	(SPI)805143	10853
8lq7jr7x6xvx0s1p	19784487	(SPI)805111	10863
jv0hs1h7g4vq65sp	1544543	(SPI)805094	10865
gsxfqzf9drm2sgj2	2002893	(SPI)805061	10871
t59s3bsprtr5wkdp	5008880	(SPI)805050	10873
w7cv5dwwt0dpr7lv	13513009	(SPI)805023	10879
r37q18r3p2tx8ptc	2569944	(SPI)805011	10893
z9fx7gzfw795xpqr	22486964	(SPI)804955	10899
0bgz8h1xx90mp7wm	22496396	(SPI)804918	10915
1ch09j22z394p2jz	22486915	(SPI)804907	10919
dqvcnwfhb449vl2p	22486924	(SPI)804906	10921
gsxfqzhpd1k85h3j	2053488	(SPI)804874	10927
5hm4fn6j38jvcb62	22486887	(SPI)804851	10931
mz3lw4n1ks4qkm6s	22486882	(SPI)804850	10933
6jn5gp7s40f99nw1	11634622	(SPI)804842	10941
gsxfqzh6drpvbrjs	22486868	(SPI)804839	10947
5hm4fn603bkkn834	11702448	(SPI)804832	10951
gsxfqzhbdjn10szj	22616343	(SPI)804765	10953
5hm4fn743hm61jw7	11633104	(SPI)804685	10957
s48r29vtq046f2mv	7kjcs19n5jh23pjc	(SPI)804670	10961
6jn5gp894zzx456k	22486865	(SPI)804643	10963
r37q18t5p1l0j60g	745987	(SPI)804482	10975
s48r29v9qz7j5rpc	cpl816tz9vls4ggz	(SPI)804435	10979
r37q18tcp8pgpz6r	v63g69fxs5jtl1zv	(SPI)804412	10983
7kp6hq9w58ch52b1	1120113	(SPI)804220	10985
9mr8ksc67q9hm73q	22465447	(SPI)804072	10995
v6bt4czxs51jz0cd	1069346	(SPI)803994	11003
lx2kv3pwj15vd9jp	11702853	(SPI)803898	11013
lx2kv3p1jbvgsd94	22465045	(SPI)803889	11019
w7cv5d0gt7n6zkj4	621262	(SPI)803866	11025
z9fx7g2rwhtjhrn7	22464856	(SPI)803711	11035
lx2kv3qnjhnb892h	12073556	(SPI)803592	11045
mz3lw4rdkxxqn2ht	148412	(SPI)803425	11073
8lq7jrf762rd44kv	12244203	(SPI)803378	11081
r37q18xspwm9cr5s	w756n2dbtvd3bmhm	(SPI)803363	11085
7kp6hqdx5ztcs9xz	22464277	(SPI)803142	11113
bns9lth485z0c2z7	844457	(SPI)803111	11117
htzgr0pffd4w5k6k	11625341	(SPI)803084	11123
1ch09j70z5rntkjp	13560265	(SPI)803077	11125
frwdpxmkcst63xf4	14288280	(SPI)803053	11131
2dj1bk890x4sbbg6	10648736	(SPI)803050	11135
cptbmvkn95hqr0pb	10338619	(SPI)803049	11137
jv0hs1q7g7mp56c8	670133	(SPI)802922	11155
lx2kv3tjj58s3rks	10221047	(SPI)802767	11165
7kp6hqgc5rlxfs51	681846	(SPI)802678	11173
p15nz6x7mfpgrkg1	22463542	(SPI)802556	11191
3fk2clbp14fmr2bq	498904	(SPI)802549	11193
cptbmvl69wdb52gq	64766	(SPI)802514	11203
v6bt4c3qstcvxgs5	3192072	(SPI)802501	11205
6jn5gpg44r91pqd4	3365113	(SPI)802482	11207
gsxfqzqfdxndnlwr	8186405	(SPI)802479	11209
x8dw6f6xv7r6fccl	1571109	(SPI)802472	11211
bns9ltld8hqz1tj5	13609059	(SPI)802467	11213
mz3lw4w2k0fblpkm	656130	(SPI)802145	11229
bns9ltlv8dplk7tn	746621	(SPI)802032	11233
mz3lw4w6k22kwv48	22463521	(SPI)801917	11235
w7cv5d5htndcz5j5	22463174	(SPI)801797	11237
3fk2clcs18cj90n4	2146420	(SPI)801796	11239
bns9ltl289rjcjbs	1566135	(SPI)801775	11241
w7cv5d5ptgxll7tn	935587	(SPI)801721	11245
7kp6hqj755wqdx7c	22463094	(SPI)801630	11253
gsxfqzrvdvcrpvbb	22463090	(SPI)801553	11271
7kp6hqjw5vzpqcb3	22463087	(SPI)801399	11281
v6bt4c5lsj7rc6gj	18668996	(SPI)801388	11285
7kp6hqj15z4t6bc9	10185290	(SPI)801384	11287
3fk2clf11qdgkkmj	22462987	(SPI)801267	11293
7kp6hqkb517b146d	11637288	(SPI)801240	11301
0bgz8hb5xdg87q11	11624135	(SPI)801230	11305
bns9ltnr8vcp7zxk	1529997	(SPI)801068	11315
4gl3dmgn280qzvmf	17585626	(SPI)801040	11319
t59s3b5jrfpvvklg	1538089	(SPI)800977	11327
0bgz8hbtx2ts80cq	5hjh0cmj385322hh	(SPI)800925	11333
bns9ltn78j6sts68	22502750	(SPI)800857	11335
n04mx51ql12lndqb	700202	(SPI)800535	11343
1ch09jd4zd3rmlqt	1563300	(SPI)800531	11345
s48r2950qnl55939	27259	(SPI)799955	11349
3fk2clgc1stgsc4v	8390242	(SPI)799947	11351
dqvcnwrpb7fgjknj	501665	(SPI)799841	11353
2dj1bkfm0dr4z4xg	7637	(SPI)799602	11363
frwdpxs1ccmnm90l	523547	(SPI)799570	11365
r37q184dpp0mgxx8	662307	(SPI)799186	11367
s48r295kq23zlm06	7kk4t0045l4gbxw3	(SPI)799021	11373
dqvcnwr9bwpf859n	12076166	(SPI)798980	11379
3fk2clh31ppj8fv9	22461574	(SPI)798883	11383
cptbmvrg9w2g5478	22146799	(SPI)798802	11387
r37q185wpzggqz9w	14751777	(SPI)798691	11389
1ch09jf6zwm1912n	249436	(SPI)798690	11391
8lq7jrnp6s97sfml	x88h1921vjd1h4tn	(SPI)798457	11401
z9fx7gcjwg7pzh1q	x88glr03vcpdmxkh	(SPI)798339	11407
lx2kv30cjjtjp5vn	10158531	(SPI)798271	11415
0bgz8hdsxtwx9vgz	22698273	(SPI)798270	11417
5hm4fnl937khpbsw	22698252	(SPI)798258	11425
n04mx53vllr00l2l	httx2w7zf103qxkp	(SPI)798202	11429
z9fx7gd6wxt4pv24	22698236	(SPI)798201	11431
8lq7jrpk6qblcc25	8llpvj696gw56t54	(SPI)798200	11433
lx2kv31xjl5kd81m	2ddhlg2t0q3c4kts	(SPI)798187	11435
cptbmvst9x6pqb1b	22698228	(SPI)798143	11441
p15nz646mbbq12z7	22698224	(SPI)798127	11443
p15nz64bmdxvrsld	14770780	(SPI)798067	11449
p15nz64gmkl5hw2z	841902	(SPI)797982	11455
1ch09jgtzgt7ck15	841866	(SPI)797976	11457
dqvcnwvbb65vbs91	4gg33t0l2rwvxhmb	(SPI)797787	11461
bns9ltsm85hh3d87	q22sbxlgn8n6xtpn	(SPI)797697	11477
z9fx7gfbwr4qf7gc	10375465	(SPI)797687	11481
jv0hs104gkxnq9dv	2029564	(SPI)797639	11489
mz3lw43bknb7zp8t	2873411	(SPI)797635	11493
3fk2clkv1qmnd722	8165827	(SPI)797608	11495
frwdpxw7cvbvm605	695634	(SPI)797592	11497
v6bt4cc0s0w2w6cf	19109633	(SPI)797440	11513
mz3lw44vkzmwvnpp	10938061	(SPI)797385	11517
9mr8kssn7261tmpp	13758885	(SPI)797353	11521
z9fx7ggdwq9v79l3	22461460	(SPI)797318	11525
8lq7jrrs6cx8nz7p	12057064	(SPI)797270	11529
4gl3dmmr2hg5l2x4	1318845	(SPI)797182	11533
frwdpxx3cjwh4zj9	19099904	(SPI)797125	11535
r37q188gp86z41g1	1318844	(SPI)797073	11537
3fk2cllv1f0jw037	19096725	(SPI)797063	11539
q26p077knqb9r8xq	20878296	(SPI)797017	11543
r37q189qpf98x725	r1rh5vrzp7d10f4w	(SPI)796972	11549
2dj1bkl30dcv1zwl	19080741	(SPI)796946	11551
dqvcnwxgbj00vhs4	19080720	(SPI)796930	11553
q26p078tnx5qc2fv	19080701	(SPI)796928	11555
cptbmvwk9b615sdm	19080530	(SPI)796889	11559
htzgr01sfvppmqxf	11775148	(SPI)796869	11563
r37q1893pqf045gw	22461291	(SPI)796856	11565
cptbmvws9r9wg6hp	19583615	(SPI)796789	11569
3fk2clmm1hl5c475	22461281	(SPI)796786	11573
dqvcnwx5b5bg6bnp	15085933	(SPI)796764	11583
q26p078jncclk11j	1833311	(SPI)796761	11585
cptbmvw892hmk2qp	19079969	(SPI)796718	11589
w7cv5dgttm34flvd	19079820	(SPI)796717	11591
7kp6hqsc5k15d5fv	15085844	(SPI)796637	11599
jv0hs13tgghm7wdq	109316	(SPI)796608	11607
w7cv5dg7tc6g0x6b	22460365	(SPI)796602	11609
w7cv5dhztbmzd15c	19074833	(SPI)796436	11633
6jn5gpsl47hlqhlm	10423605	(SPI)796204	11647
dqvcnw0zbpg1d0wx	293019	(SPI)795989	11655
bns9ltx18s7bdmk2	8165679	(SPI)795958	11661
z9fx7gl2wwlh2flj	19064187	(SPI)795644	11679
6jn5gpth44946hbv	11262566	(SPI)795605	11687
2dj1bkpn0ss723kp	22697307	(SPI)795470	11699
s48r29fmqmcdmt8r	18836692	(SPI)795429	11707
kw1jt27jhlczr1vb	18835676	(SPI)795375	11711
htzgr05pf2vpwvs2	18820409	(SPI)795201	11721
6jn5gpvk4c82bt7l	1976254	(SPI)795147	11727
mz3lw491kr3k6w7d	683303	(SPI)795063	11729
1ch09jplzhfpwnt3	19734688	(SPI)795006	11737
cptbmv109vcrvltv	18806878	(SPI)794985	11739
lx2kv38cjpj27m8s	2496085	(SPI)794942	11745
n04mx5bklwqs079q	22459628	(SPI)794909	11751
z9fx7gnww95vf12j	18806111	(SPI)794908	11753
jv0hs17kgqw0zlvg	18806097	(SPI)794903	11757
s48r29hvqtm2c6fl	18806020	(SPI)794901	11759
3fk2clsj1p5mxznr	22459626	(SPI)794816	11773
frwdpx4zc3kw33dd	305153	(SPI)794805	11777
2dj1bkrp02vkpv61	3279444	(SPI)794788	11781
8lq7jr09691b112j	18779284	(SPI)794593	11797
v6bt4clxsfzdm70n	18779279	(SPI)794592	11799
6jn5gpxb4p4hd704	22459516	(SPI)794590	11801
5hm4fnwr3qfpjlhz	18778017	(SPI)794430	11823
htzgr074fp1q73fj	19732174	(SPI)794428	11825
7kp6hqzz53c1mz28	10938055	(SPI)794390	11829
mz3lw4chkgqlz79k	22459301	(SPI)794373	11835
4gl3dmw2288gmpm7	14581105	(SPI)794317	11837
cptbmv4d9wrmxjg1	18776809	(SPI)794285	11841
6jn5gpz94241ltg9	18739118	(SPI)794246	11843
htzgr08mfws35sz3	18596489	(SPI)794206	11845
htzgr08rfp0qfc01	1071516	(SPI)794124	11851
9mr8ks2n777bw3jl	22452252	(SPI)794107	11855
s48r29kdqmbk26zj	18772534	(SPI)793987	11865
s48r29khqv283mhp	18772457	(SPI)793972	11869
cptbmv479108197f	804794	(SPI)793961	11875
5hm4fnz33t2qr3fw	9372540	(SPI)793959	11877
kw1jt2cph4b2zmqr	18770131	(SPI)793868	11885
cptbmv5k9frffmsm	332442	(SPI)793867	11887
kw1jt2cxhk4gw8r0	18769876	(SPI)793849	11893
bns9lt4r8bwk3qbn	11298042	(SPI)793846	11895
cptbmv5592tl9gjx	20429615	(SPI)793787	11907
4gl3dmx02jmp32j7	20426149	(SPI)793786	11909
mz3lw4glkmkfdd8v	20428976	(SPI)793784	11913
9mr8ks4b7qskkhj7	18768765	(SPI)793783	11915
x8dw6fr6v60s2tnd	11926404	(SPI)793749	11923
2dj1bkwh0tw3k8h0	11212418	(SPI)793745	11927
t59s3bn9r6c32k10	3050513	(SPI)793719	11929
v6bt4cqts7fkd1xz	1721906	(SPI)793473	11945
9mr8ks5k70j1n3r7	15124706	(SPI)793382	11955
x8dw6fscvmjbmfqj	11770037	(SPI)793327	11961
jv0hs1d4g6jdt3nb	12048372	(SPI)793303	11965
w7cv5drltr3v5zs1	18690130	(SPI)793282	11969
w7cv5drrtwwtjv34	13914742	(SPI)793275	11975
gsxfqzcddtcfncm8	18783092	(SPI)793251	11977
p15nz6lsmr7br21d	22450231	(SPI)793237	11983
4gl3dm1h2w63wpr1	12743331	(SPI)793138	11991
7kp6hq4v5r9psnzb	2034981	(SPI)793117	11999
2dj1bkzw0sw2vlbf	3385115	(SPI)793101	12005
6jn5gq4b40k84c5b	11953	(SPI)792717	12015
kw1jt3hvh1btwnr4	22509621	(SPI)792696	12021
9mr8kt7n7qst123t	22550312	(SPI)792688	12023
s48r2bs6qr4gbm1m	14075499	(SPI)792305	12091
9mr8kt9r74v2r7r5	22444717	(SPI)792281	12093
q26p08q9nndhp0nl	22496164	(SPI)792244	12097
frwdpzgmc5ntnkk1	22432694	(SPI)792136	12117
v6bt4dw8slj565c4	1701346	(SPI)792093	12125
x8dw6gzhvm6bgkpw	12049952	(SPI)792048	12131
gsxfq0h9d2419bf5	99837	(SPI)791986	12139
jv0hs2kfg161v7r6	8165061	(SPI)791980	12141
w7cv5fzwtd8pwrnr	12230621	(SPI)791891	12145
mz3lw5ppkfpc8sw7	22432047	(SPI)791875	12147
5hm4fp7j3jfkg831	22487831	(SPI)791652	12155
n04mx6q4ld48j6sn	22431797	(SPI)791638	12159
mz3lw5pbkkw9fll1	22431761	(SPI)791457	12167
5hm4fp8q341dj0jj	22431183	(SPI)791107	12195
jv0hs2mcg8s8xt90	22431165	(SPI)791081	12203
7kp6hrc65d84bsvb	64819	(SPI)791005	12207
6jn5gqb7438gpk00	925430	(SPI)790953	12209
cptbmwhh9wpp4hmw	557858	(SPI)790910	12213
5hm4fp9f38q5p10m	22424980	(SPI)790891	12217
kw1jt3pwhgrpkrd5	3400444	(SPI)790811	12219
kw1jt3p1hk8lpcf3	682742	(SPI)790788	12223
s48r2bxcqldzlslg	760646	(SPI)790739	12227
x8dw6g32v7r6cnw5	19356031	(SPI)790553	12245
htzgr1npfwvmv69z	9604559	(SPI)790552	12247
q26p08w1nc8c540r	22424833	(SPI)790526	12251
mz3lw5s5ktfxdm7l	823988	(SPI)790100	12259
z9fx7h4lwsldprw1	2029455	(SPI)790073	12263
frwdpzmccdqb9l8p	8164667	(SPI)789851	12273
htzgr1pqf2h272p1	1925858	(SPI)789737	12283
lx2kv4s3jf88dpw3	22697203	(SPI)789619	12293
mz3lw5tckbcwm8sf	22697200	(SPI)789596	12301
x8dw6g4rv4nxnzkg	306137	(SPI)789572	12305
n04mx6vklfzqjsft	2133177	(SPI)789550	12307
9mr8ktjl74x7000l	669425	(SPI)789433	12321
5hm4fpf83m4111mm	584401	(SPI)789345	12345
gsxfq0qvdtkfhpq6	2348869	(SPI)789269	12355
9mr8ktl97pvz4cqd	22695205	(SPI)789141	12375
r37q192vpg30690c	8954596	(SPI)789138	12379
t59s3c40rwlr2ksj	22695172	(SPI)789133	12381
q26p081znqkbdv1c	22694783	(SPI)789116	12383
kw1jt3vzh24zlfp7	59282	(SPI)789103	12387
bns9lvn88jtw1lg4	22694514	(SPI)788979	12405
s48r2b4wqv0xz57z	ktnrd1tphslpt0dc	(SPI)788959	12411
dqvcnxqkb04ss70k	22692904	(SPI)788956	12413
t59s3c53rw8k3nq3	2829702	(SPI)788923	12417
8lq7jsmd69sk1714	11912032	(SPI)788674	12445
r37q1942p042nqj4	cmmw1mqt9w92k7q7	(SPI)788614	12451
mz3lw500k0jjjzbr	10346336	(SPI)788613	12453
n04mx61dl211ng6b	3746026	(SPI)788477	12465
mz3lw50jkd3cpr2z	670507	(SPI)788299	12471
0bgz8jd0xw02jgcw	454191	(SPI)788245	12475
0bgz8jd2xrf1t8w4	454190	(SPI)788244	12477
w7cv5f91t4sqt6nf	22694584	(SPI)788242	12479
q26p084xnzk3tq3j	22694583	(SPI)788241	12481
2dj1blgg008tcmg8	1628676	(SPI)788107	12487
8lq7jsnq6r7300vn	1570363	(SPI)788102	12489
jv0hs2x2gbh66f3z	1571090	(SPI)788096	12491
1ch09kfmz1vctwmz	1571075	(SPI)788094	12493
p15nz73fmfg51tbh	1628663	(SPI)788090	12497
1ch09kftz58r9nkk	1570987	(SPI)788070	12499
z9fx7hddw5nq1gcq	12279246	(SPI)787940	12521
frwdpzv5c1f8f7bp	22692702	(SPI)787874	12531
3fk2cmjw1bt6m91n	720032	(SPI)787859	12533
8lq7jsqf6qn3qpzh	22585586	(SPI)787537	12545
lx2kv42zj59r8q95	136063	(SPI)787466	12553
cptbmwt699bh0bkk	22423804	(SPI)787185	12569
2dj1blk9086c3qcv	3240908	(SPI)787101	12583
v6bt4dccsb9wdxm2	906629	(SPI)786989	12593
s48r2b9kqdcrd7w8	16443402	(SPI)786924	12603
mz3lw558k1r0pqnq	903327	(SPI)786754	12633
dqvcnxx3bc32bx1j	903070	(SPI)786752	12635
6jn5gqqz4736cnsk	22692335	(SPI)786748	12637
cptbmwxk92tjhdlg	759571	(SPI)786509	12651
n04mx67blj8mzhds	22691941	(SPI)786403	12663
8lq7jsvw6p326v35	792669	(SPI)786047	12691
9mr8ktx77p2fb22d	19578835	(SPI)785818	12703
4gl3dnrc2lp4php0	cn2blw939r6vql84	(SPI)785518	12715
2dj1blpm0km1ntb9	22686394	(SPI)785223	12729
frwdpz21c8tckwmz	10905779	(SPI)785221	12731
3fk2cmqt1jm62040	12332004	(SPI)785217	12735
w7cv5fjpt84rjmsh	8092441	(SPI)785211	12739
z9fx7hmcwzq7dx2z	22524174	(SPI)784888	12765
t59s3chqrr7sltxq	w6bxdmbltvvpdf6r	(SPI)784371	12787
bns9lv1r8q7xmxfq	22106582	(SPI)784306	12807
7kp6hrz65j70bw7q	654670	(SPI)784174	12827
z9fx7hp2wpcqd8c7	17195191	(SPI)784108	12831
3fk2cmt91mf1gwj9	17195188	(SPI)784107	12833
x8dw6gn5v2812vn4	22051012	(SPI)784106	12835
p15nz7f9mwsdd257	11187833	(SPI)784095	12847
lx2kv4bfjpw10z9j	22127984	(SPI)784080	12855
n04mx6fnl3n22t9k	660759	(SPI)783980	12861
s48r2bk8q81q0vsr	cm4rfvk99l40jc3z	(SPI)783807	12879
jv0hs293gzd8tzsf	10790832	(SPI)783763	12883
z9fx7hr1wn1zk58b	21915573	(SPI)783563	12905
frwdpz73cj3lzw2w	22687129	(SPI)783435	12927
x8dw6grvvvg57bp5	7j9mgjd25r1r5rd7	(SPI)783286	12937
bns9lv5b8rh5w7lj	22106738	(SPI)783282	12939
p15nz7jqmzbf8rbv	22106657	(SPI)783281	12941
4gl3dnz7251l9q21	1brf2hskzm8dv7d5	(SPI)783280	12943
mz3lw5grk6zxd9tb	21881892	(SPI)783276	12945
1ch09kv6z4840cnc	19349021	(SPI)783275	12947
htzgr1bqfc39sb9b	22093155	(SPI)783272	12949
7kp6hr2k5tw97m9s	18258574	(SPI)783266	12953
lx2kv4fzjxjnpt9m	10283514	(SPI)783264	12955
z9fx7hscwwvgx6pj	22113571	(SPI)783263	12957
dqvcnx7vb2745ltz	19082729	(SPI)783262	12959
x8dw6grfvtldcchv	19990746	(SPI)783260	12961
mz3lw5gdkd3lts4q	11822705	(SPI)783076	12971
htzgr1cpf8gqw325	bnrlpd0m8rsq2h69	(SPI)782880	12989
t59s3cpgr01vtzbz	x8btq1xkv62h53kx	(SPI)782588	13009
4gl3dn1q20qsqbdx	22684836	(SPI)782096	13047
dqvcnx94bgj2q9ql	13283859	(SPI)782057	13053
lx2kv5jtj08j2qq4	13941792	(SPI)781883	13075
0bgz8kx8x70lsrtv	18719061	(SPI)781882	13077
3fk2cn1z1rtwz5rk	22683653	(SPI)781681	13099
q26p09pnn2rb7s97	9m7dx1c77p2rjk5z	(SPI)781630	13103
x8dw6hw9vnbvkk29	22682356	(SPI)781445	13121
x8dw6hwfvjfp6z16	lxkjn7dljh72w5qm	(SPI)781417	13127
n04mx7m9lrh4x1nj	14517546	(SPI)781276	13131
cptbmxch96s2khh0	8162570	(SPI)781091	13151
r37q1brxpvnvcmv0	11418976	(SPI)780992	13153
cptbmxcm930w00q4	1556932	(SPI)780934	13157
lx2kv5l0j1d38d4d	8402	(SPI)780915	13163
v6bt4fvqsp7533tg	22681885	(SPI)780897	13181
v6bt4fwvs377msrq	18421146	(SPI)780890	13187
n04mx7pxlq07lsvm	17038275	(SPI)780832	13199
mz3lw6n1kw1694mf	7k51ln6s5h60cj1z	(SPI)780779	13205
6jn5gr7147x839vt	10391136	(SPI)780720	13219
lx2kv5mgjwdbt8sb	bnpxccd68rh36lt8	(SPI)780718	13221
htzgr2k2fk2qc5sb	22669535	(SPI)780657	13247
0bgz8k2lx8fq5v63	09wm342sx6hkd2qz	(SPI)780640	13249
frwdp0h3cpj9wpw6	mxj8pd2lklzvlg6z	(SPI)780639	13251
v6bt4fxksv3zksbf	7j4v8p515qr4jvl7	(SPI)780638	13253
cptbmxf49959lr7k	mxj8nmf7kf0nb2br	(SPI)780637	13255
s48r2cvlqz8bj78r	3d0q3mrk14dk2kcb	(SPI)780636	13257
4gl3dp602bmx5pn0	3d0q37lm101v2tdj	(SPI)780635	13259
v6bt4fzxsn55z1w3	22669509	(SPI)780606	13267
z9fx7j2dwf1nghhp	3384567	(SPI)780499	13283
s48r2cw9qgkzgchb	783109	(SPI)780491	13285
9mr8kvdz738jp2vl	1515890	(SPI)780363	13291
8lq7jtc16b4c6pdc	21437997	(SPI)780318	13295
jv0hs3njg1tg5wtq	18032744	(SPI)780211	13305
3fk2cn7k1vgk3jfh	16387491	(SPI)780085	13323
q26p09wqn3z9x6fq	13930516	(SPI)779951	13347
cptbmxjl988dbvnj	16307226	(SPI)779945	13357
w7cv5g2ntxv706lh	13926906	(SPI)779893	13379
8lq7jtgf6btx6fxw	6jgx15z44dr9gkjg	(SPI)779723	13395
2dj1bm8b0p7dbw4p	1312866	(SPI)779677	13399
kw1jt4rxhrgkn9jg	1117317	(SPI)779635	13403
2dj1bm8m0t6hcxfn	1544641	(SPI)779595	13411
mz3lw6vqk5phkxs5	22666992	(SPI)779458	13435
t59s3d22r16wqd2p	5hblrbvh3dvn0mpp	(SPI)779420	13441
bns9lwkq8w4k2b8s	316183	(SPI)779329	13447
frwdp0n0cfpr28nc	1549889	(SPI)779019	13453
8lq7jthx63mdbpcx	10334730	(SPI)778920	13457
r37q1b0gpg5kpn0p	10352119	(SPI)778900	13459
p15nz8zzmpkw0vnt	1571123	(SPI)778694	13483
6jn5grgm49q0902w	2465256	(SPI)778674	13489
r37q1b2dpf53w0n2	22666390	(SPI)778402	13537
z9fx7j8vw0z76jwz	189998	(SPI)778389	13547
htzgr2tzf3pdkbjf	8072508	(SPI)778237	13569
t59s3d5brj39wgsj	13482608	(SPI)778228	13571
n04mx70hlqfwfmjb	22666092	(SPI)778127	13585
8lq7jtm663v9kw7x	12318760	(SPI)778103	13589
jv0hs3whgfrb3j8s	13597416	(SPI)778030	13591
kw1jt4x1h2z5rp5j	2348748	(SPI)777927	13611
htzgr2whfl2svn35	14075531	(SPI)777724	13629
t59s3d7zrn3c9xp7	782917	(SPI)777704	13635
5hm4fql73ftps3ln	8137521	(SPI)777425	13673
n04mx73rl55bt0xx	16558696	(SPI)777391	13675
x8dw6hc5v73lqm2h	643408	(SPI)777346	13681
dqvcnzt3bl8b99mg	22662628	(SPI)777256	13699
w7cv5gbmtqllwptw	382760	(SPI)777232	13701
v6bt4fbtsn350z23	1191541	(SPI)777168	13711
9mr8kvrb768l7rjd	3dpx8n4k1p715zqf	(SPI)777159	13713
n04mx74qlh0n7f91	11787823	(SPI)777143	13715
s48r2c8zq60d0skt	22662119	(SPI)777106	13719
r37q1b7npb8pmbd6	lwcddf1dj74ddxzz	(SPI)776831	13747
bns9lwt98mqhqj1r	22662072	(SPI)776829	13749
n04mx75ql4fzt653	115781	(SPI)776796	13753
r37q1b8xpnfbj3xd	q1gwh4slnh8f02nc	(SPI)776764	13757
5hm4fqnd33g4t1z1	8k0f1cv56v1207rk	(SPI)776762	13759
jv0hs31sg3bcxr3n	09q5qf43xs18h9xt	(SPI)776761	13761
w7cv5gfwtd0bcxhh	22661817	(SPI)776670	13789
dqvcnzx3bbvnrkv9	13444573	(SPI)776579	13811
6jn5grq344ssgvpb	18715689	(SPI)776430	13819
lx2kv55jjd0xvjdh	119650	(SPI)776407	13821
6jn5grr94kjnvqkf	22661785	(SPI)776374	13827
lx2kv55qjhkctknj	10310865	(SPI)776372	13829
w7cv5gg2tqblvnhk	22661769	(SPI)776371	13831
q26p0990nck3rqqt	1bnq26mlz3xrp226	(SPI)776368	13835
