bibid dubblett radera	bibid korrekt post	SPI NR	PostNR
p15nzwdhmf38095p	cnw3np0v9d3dlv48	(SPI)919288	901
mz3lwtcnkrk01nrg	8ks0gfhh6vml5fz4	(SPI)919284	907
p15nzwffm724kjpv	x7gjl2kfvsgbphhg	(SPI)919256	933
v6bt42lns8lwwj7k	2379427	(SPI)919250	935
9mr8kh2s787d3lwk	1515481	(SPI)918913	961
mz3lwtd7kvjg476z	14071301	(SPI)918838	965
dqvcnl53bp935sv8	w6fglrvftdmvfxq7	(SPI)918610	969
0bgz86s0xkqwwxw8	713139	(SPI)918549	981
lx2kvsddj00rlf7j	bm557psz80ls59k3	(SPI)918506	1013
dqvcnl7gb30snxcb	s3mmnd7xq2290k4t	(SPI)918500	1023
jv0hsqcwgvc7bvtg	r298vnh0pgltj86w	(SPI)918486	1035
0bgz86tdxwdcxqbm	lw43qvgkj8mvzvl7	(SPI)918485	1037
q26p0xkcn8524scd	mx503n3hkmj65j5r	(SPI)918245	1047
3fk2c9xz1mmt7qhk	10236144	(SPI)918065	1057
4gl3db062pt4nw3k	12079049	(SPI)917953	1065
v6bt42q0s7wn5mj0	3112631	(SPI)917800	1069
dqvcnl8lbtj39rjs	9l2jqg0c77fbg29x	(SPI)917786	1071
z9fx75trwn0636kd	652108	(SPI)917377	1093
p15nzwkkmrl1bmf1	nz72glv5lj8dqxkp	(SPI)917353	1095
w7cv53svthb0sbsz	509041	(SPI)917324	1099
1ch097x8zr1t35pd	2067664	(SPI)917273	1109
t59s32rsr17gxtpn	20798904	(SPI)917094	1135
lx2kvtj1jf76mffh	4g76v58m271750jt	(SPI)916960	1149
p15nzxnrmtzsmwvm	09l4qkh2x7q436cr	(SPI)916770	1171
7kp6hg6h5bvvm2qs	lw6q67g0jxc90msh	(SPI)916762	1177
x8dw65w7v2z2xxss	14226694	(SPI)916720	1179
lx2kvtk0jgr5zn6z	1880346	(SPI)916715	1181
x8dw65x2v6w2nqmq	12060476	(SPI)916512	1207
0bgz870fxj2r2tw9	10922657	(SPI)916420	1217
cptbmlcv9vc8rcdz	bmv2mwbb87wtb51d	(SPI)916368	1219
r37q10r9pmbwn0pj	637325	(SPI)916342	1221
3fk2cb3x1jrv7cf5	kv39n5kwh87vm1dd	(SPI)916258	1231
8lq7jh9664t8njl0	hs1b236xf9nhq22m	(SPI)916140	1235
7kp6hg8g57dpkd0b	6j6s6hms47nbmtzv	(SPI)916072	1245
7kp6hg975nkqjwk7	21575491	(SPI)915883	1263
dqvcnmgxbk73cjj4	7jq0wblj5kb3x7nk	(SPI)915715	1279
7kp6hg905m1dnf2d	8097042	(SPI)915654	1287
mz3lwvpfkzb542bm	11911340	(SPI)915648	1289
x8dw651wv9h2frfs	3dlr6d9717nktp8p	(SPI)915618	1297
bns9lkfg8c4cs31s	8180287	(SPI)915596	1303
mz3lwvqsk52pb1kf	668952	(SPI)915595	1305
8lq7jhcj6ldhszjn	8119131	(SPI)915573	1309
8lq7jhcv6qd5mw2d	21519068	(SPI)915446	1323
2dj1b95w0zws7hgv	11732917	(SPI)915395	1333
r37q10vnpj1x38xd	12098398	(SPI)915389	1337
gsxfqplsdz8j8gf4	1bqh0drxzrm1g405	(SPI)915276	1355
7kp6hgc25sbfdrgv	10628099	(SPI)915097	1375
lx2kvtrrj96csqv2	21528490	(SPI)914871	1391
z9fx764fwsj3gg8d	8187294	(SPI)914838	1405
8lq7jhfz6cwf7wcn	12192246	(SPI)914791	1413
htzgrqpnfd0vfmfh	r28x1qx9p4n6m7qf	(SPI)914629	1433
bns9lkj18jtw5f0f	8187284	(SPI)914389	1455
kw1jtsr9htk9rsb1	2009599	(SPI)914384	1457
9mr8kjjj72rdn3j9	8179866	(SPI)913988	1477
bns9lkkw8vd715r6	655133	(SPI)913879	1493
5hm4fddt37dfv1d8	697009	(SPI)913864	1497
x8dw655pvqw8hb81	q17wc2q9n6c9ww85	(SPI)913851	1503
5hm4fdd03bfqxs18	9367719	(SPI)913798	1505
5hm4fdfc3gsmsjfh	v5cwh7twshc483n6	(SPI)913696	1521
2dj1b9bg05zp4g77	2837321	(SPI)913669	1529
bns9lkl48s4qkwrd	1516501	(SPI)913308	1545
3fk2cbd616zsd0tv	11596998	(SPI)913244	1555
6jn5gfhw4k1zm3rb	3178572	(SPI)913141	1575
jv0hsrvngxx8m2f4	20053208	(SPI)913008	1593
2dj1b9d904gkpt3r	lw3hl6b9jfbb651n	(SPI)912941	1597
x8dw6587v1p9lh67	20048067	(SPI)912917	1601
v6bt4368s7t5ldcb	8108054	(SPI)912849	1605
0bgz87bhxq294r14	10953107	(SPI)912815	1609
bns9lknw8g8wmpr0	q17h5nwfn1w647p4	(SPI)912814	1611
z9fx769lw8vjrsm2	11764167	(SPI)912725	1615
3fk2cbfw16xwjx02	655668	(SPI)912697	1621
7kp6hgld5bvtxfnd	10391057	(SPI)912597	1637
mz3lwv00kzh7wwd2	11613836	(SPI)912471	1647
mz3lwv03kfw16zq5	12079554	(SPI)912454	1651
kw1jtsx7h0d1dqrs	1972841	(SPI)912393	1659
z9fx76bnwtzq5kpq	12278799	(SPI)912377	1661
s48r215lqzpxxst8	2217814	(SPI)912372	1663
htzgrqw3f3w3vq9w	12746611	(SPI)911878	1699
8lq7jhn06sm433t0	nz2wr14xlm2bhl6f	(SPI)911753	1705
mz3lwv2mk1rqb1vl	5334096	(SPI)911611	1717
v6bt439wsmmn4f1s	17596518	(SPI)911597	1719
1ch098g3zsc7pv9x	17597526	(SPI)911596	1721
w7cv54b4tk2xctfp	11895458	(SPI)911560	1729
r37q1064pvwc9hcr	kvxftdcshnz1mm00	(SPI)911551	1735
bns9lkr28brhkw50	671579	(SPI)911269	1749
2dj1b9j80r1hh352	10157306	(SPI)910866	1769
1ch098hmzh4fmpml	451148	(SPI)910608	1787
jv0hsr07gd1kbf3p	13440690	(SPI)910577	1791
x8dw65f0vhs9wntt	14731575	(SPI)910335	1807
frwdpnxmc86m600g	mxdmqwwnkvj05bhb	(SPI)910271	1811
n04mxw52l7pxsc9w	19348711	(SPI)910198	1819
lx2kvt33jjmvxf8f	19348076	(SPI)910147	1823
t59s32c4rxs11d51	12096657	(SPI)909951	1855
0bgz87jfxfc379bg	1509474	(SPI)909861	1861
6jn5gfqp4lw0rr49	19347888	(SPI)909803	1863
r37q109bpcm9b7v6	19347864	(SPI)909792	1867
gsxfqp04d70ss64q	19305918	(SPI)909756	1871
s48r21bnq69jknb2	13586564	(SPI)909635	1881
mz3lwv6xkq74g7wm	12039075	(SPI)909536	1897
1ch098ljzlbk3kwf	11210282	(SPI)909464	1907
7kp6hgss54hxcvd3	fqw469hmc7134lw7	(SPI)909448	1909
cptbmlx39r1bn98d	17066175	(SPI)909405	1917
x8dw65hqvtf9x0p7	kv185dqzhh99g444	(SPI)909363	1921
q26p0zbnnm25dsr5	12446848	(SPI)909255	1927
kw1jts5mhdzw9n7q	8246891	(SPI)909207	1933
gsxfqp2xdk1s3sqh	19300716	(SPI)909167	1943
htzgrq33f6rj6bpp	2063941	(SPI)909099	1949
frwdpn15cqpqwq2r	cnpkkksl99dds7d6	(SPI)909039	1955
jv0hsr50g5w60k5j	15122638	(SPI)908669	1987
lx2kvt78j2w3wgkv	7jhr0sps560f88cm	(SPI)908495	1995
4gl3dcrw2j15t6tw	11886024	(SPI)908428	1999
8lq7jhw46hh6vd5z	10908016	(SPI)908410	2003
gsxfqp4mdgbfgltb	11882296	(SPI)908235	2017
6jn5gfvn4q1q1r3q	3227113	(SPI)908181	2029
v6bt43jfsjw9pmqn	9897184	(SPI)908172	2033
7kp6hgwv5kfsfjml	18286134	(SPI)908145	2035
t59s32hjrdfq2bsq	11632660	(SPI)908118	2039
p15nzxcjmp11s09m	1b6pr231z5rhzkr6	(SPI)908102	2045
8lq7jhz66sf6h45v	z87v61f9w129pqw8	(SPI)908069	2049
kw1jts8jhdw0hsc8	6hgc09584xn3gjgm	(SPI)908043	2051
0bgz87p4x2r7z0bk	q10wzd4rn5s4pswv	(SPI)908014	2059
9mr8kj0h7b2wrfqj	x7635126v2g7x102	(SPI)908010	2061
kw1jts8shddvr3q6	1760073	(SPI)908002	2063
kw1jts87hdttmcnb	1b6v37b4zthkrqzt	(SPI)907836	2079
1ch098qqzlrd7pql	20845942	(SPI)907824	2081
x8dw65n7vlgnwb96	jtkqkv6vgvhqjcj0	(SPI)907510	2107
0bgz87qfxmb5559t	1846519	(SPI)907467	2113
htzgrq71frk6vfk5	4flgwrqm2mfcmxrp	(SPI)907453	2117
0bgz87rcxdgqzcqw	16435502	(SPI)907161	2151
9mr8kj2q7csg3tfm	dpcf9m0dbzmq1p5l	(SPI)907159	2153
n04mxwf6lr7xh6c7	18232502	(SPI)907147	2157
htzgrq84fs6f5w60	8k6lsdgm643n8vrb	(SPI)907044	2161
mz3lwvddk1kbx93h	w6t7ck47ttk1gc0z	(SPI)907029	2167
lx2kvtdsj7v89w56	16918945	(SPI)906968	2185
cptbml5n98mrvmcx	grglk80zdxfvktpb	(SPI)906909	2189
9mr8kj3q7rrn6652	nznsrqzglwtfsjp8	(SPI)906905	2195
lx2kvtd6j5kt1405	2454625	(SPI)906749	2203
v6bt43nhs6xzld6n	8187246	(SPI)906680	2205
cptbml569h4jb7gc	bmbf4kv58zhd4hnw	(SPI)906586	2213
1ch098v3zkkw2pjj	13455934	(SPI)906494	2223
cptbml6h9x6f8lgg	13455884	(SPI)906475	2225
1ch098vbzhds09sk	13455937	(SPI)906448	2235
gsxfqp9tdrcn63d4	2124111	(SPI)906435	2237
gsxfqp93d1365xmh	13566324	(SPI)906377	2249
r37q10lfp935lf1f	3713045	(SPI)906339	2251
4gl3dczv2dzlt23t	x6smx202vzmwxk56	(SPI)906329	2253
n04mxwhfl6vxkk5b	10070300	(SPI)906317	2255
z9fx76srwf868w0q	r1mfn8nbpbh4h5x7	(SPI)906316	2257
lx2kvtgjjh2mvx3q	2c093p0z0mw716ww	(SPI)906293	2261
0bgz87vzxl5ftm43	12295637	(SPI)906280	2263
bns9lk6c87wsvd13	2243518	(SPI)906279	2265
v6bt43qzswcrmr6b	bl603c3484pcz2cm	(SPI)906271	2269
p15nzxkxm8g31ts9	10613612	(SPI)906103	2275
n04mxwj3ldx9596x	3150428	(SPI)906023	2283
1ch098whz65kk0kr	12295327	(SPI)906017	2285
bns9lk6v835rwkk0	12295244	(SPI)906014	2287
jv0hsrfngv84kf91	720452	(SPI)905805	2313
mz3lwvjwk16vq7h6	t4h3c61hr4nmgrk2	(SPI)905777	2319
t59s32q4r6h32ljn	13476943	(SPI)905749	2321
3fk2cb0q1v5tt8mr	1bb5bnfgz5dm6mgj	(SPI)905306	2335
frwdpnb3ckhqpztl	jttnrkvqgl2t3r3d	(SPI)905300	2337
lx2kvvjzjwzcd255	18711897	(SPI)905124	2369
5hm4ff473fg82vtz	grnjlnpwdwbw5bkq	(SPI)904880	2397
