SAB	Översättning
Fjq.045(x)	Amerikansk franska: blandspråk (pidginspråk och kreolspråk): lexikon
Fjq.045	Amerikansk franska: blandspråk (pidginspråk och kreolspråk)
Fjqz	Amerikansk franska: särskilda författares språk
Fjt(k)	Provensalska: kongresstryck
Fjt(p)	Provensalska: periodika
Fjt(x)	Provensalska: lexikon
Fjt(x)	Provensalska: lexikon
Fjt	Provensalska
Fjt:a	Provensalska: bibliografi
Fjt.00	Provensalska: språkhistoria
Fjt.01	Provensalska: grammatik
Fjt.011	Provensalska: fonetik
Fjt.012	Provensalska: formlära (morfologi)
Fjt.013	Provensalska: syntax
Fjt.02	Provensalska: ordförråd, lexikologi
Fjt.03(x)	Provensalska: namnforskning: lexikon
Fjt.031	Provensalska: personnamn
Fjt.032	Provensalska: ortnamn
Fjt.04(y)	Provensalska: dialektologi: kartor och bilder
Fjt.04	Provensalska: dialektologi
Fjt.06	Provensalska: stilistik och textlingvistik
Fjtz	Provensalska: särskilda författares språk
Fjtz	Provensalska: särskilda författares språk
Fjz	Franska: särskilda författares språk
Fjz	Franska: särskilda författares språk
Fk(p)	Spanska: periodika
Fk(x)	Spanska: lexikon
Fk	Spanska
Fk:a	Spanska: bibliografi
Fk:b	Spanska: forskning
Fk:k	Spanska: språkvetenskapens historia
Fk:oi(x)	Spanska: statistik: lexikon
Fk.00	Spanska: språkhistoria
Fk.01(x)	Spanska: grammatik: lexikon
Fk.01	Spanska: grammatik
Fk.01:a	Spanska: grammatik: bibliografi
Fk.011(x)	Spanska: fonetik: lexikon
Fk.011	Spanska: fonetik
Fk.012	Spanska: formlära (morfologi)
Fk.013(x)	Spanska: syntax: lexikon
Fk.013	Spanska: syntax
Fk.02(x)	Spanska: ordförråd, lexikologi: lexikon
Fk.02	Spanska: ordförråd, lexikologi
Fk.021(x)	Spanska: etymologi: lexikon
Fk.021	Spanska: etymologi
Fk.022	Spanska: ordbildning
Fk.023	Spanska: semantik (betydelselära)
Fk.024	Spanska: språkpragmatik
Fk.025(p)	Spanska: fraseologi: periodika
Fk.025(x)	Spanska: fraseologi: lexikon
Fk.025	Spanska: fraseologi
Fk.026(x)	Spanska: synonymik: lexikon
Fk.03	Spanska: namnforskning
Fk.031	Spanska: personnamn
Fk.032(x)	Spanska: ortnamn: lexikon
Fk.032	Spanska: ortnamn
Fk.04(x)	Spanska: dialektologi: lexikon
Fk.04(x)	Spanska: dialektologi: lexikon
Fk.04	Spanska: dialektologi
Fk.04	Spanska: dialektologi
Fk.04:a	Spanska: dialektologi: bibliografi
Fk.04paai	Spanska: dialektologi: Kanarieöarna
Fk.042(x)	Spanska: slang och talspråk: lexikon
Fk.042	Spanska: slang och talspråk
Fk.043(x)	Spanska: yrkesspråk: lexikon
Fk.043	Spanska: yrkesspråk
Fk.05(x)	Spanska: metrik och prosodi: lexikon
Fk.05	Spanska: metrik och prosodi
Fk.05:k	Spanska: metrik och prosodi: språkvetenskapens historia
Fk.06	Spanska: stilistik och textlingvistik
Fk.061(x)	Spanska: stilistik: lexikon
Fk.061	Spanska: stilistik
Fk.062	Spanska: språkriktighet
Fk.063(x)	Spanska: retorik. Hit även muntlig framställning: lexikon
Fk.063	Spanska: retorik. Hit även muntlig framställning
Fk.064(x)	Spanska: textlingvistik: lexikon
Fk.064	Spanska: textlingvistik
Fk.065	Spanska: översättning
Fk.07(x)	Spanska: ortografi, interpunktion och förkortningar: lexikon
Fk.07	Spanska: ortografi, interpunktion och förkortningar
Fk.081	Spanska: epigrafik
Fka	Fornspanska
Fka.01	Fornspanska: grammatik
Fka.012	Fornspanska: formlära (morfologi)
Fka.013	Fornspanska: syntax
Fka.02	Fornspanska: ordförråd, lexikologi
Fka.021	Fornspanska: etymologi
Fka.022	Fornspanska: ordbildning
Fka.031	Fornspanska: personnamn
Fka.06	Fornspanska: stilistik och textlingvistik
Fka.07	Fornspanska: ortografi, interpunktion och förkortningar
Fkb(x)	Medelspanska: lexikon
Fkb	Medelspanska
Fkb.00	Medelspanska: språkhistoria
Fkb.01	Medelspanska: grammatik
Fkb.013	Medelspanska: syntax
Fkb.02	Medelspanska: ordförråd, lexikologi
Fkb.05	Medelspanska: metrik och prosodi
Fkb.061	Medelspanska: stilistik
Fkbz	Medelspanska: särskilda författares språk
Fko	Spanska: Asien
Fkp	Afrikansk spanska
Fkq(k)	Amerikansk spanska: kongresstryck
Fkq(p)	Amerikansk spanska: periodika
Fkq(x)	Amerikansk spanska: lexikon
Fkq(ya)	Amerikansk spanska: kartor
Fkq	Amerikansk spanska
Fkq:a	Amerikansk spanska: bibliografi
Fkq:k	Amerikansk spanska: språkvetenskapens historia
Fkq.00	Amerikansk spanska: språkhistoria
Fkq.01(x)	Amerikansk spanska: grammatik: lexikon
Fkq.01	Amerikansk spanska: grammatik
Fkq.011	Amerikansk spanska: fonetik
Fkq.012	Amerikansk spanska: formlära (morfologi)
Fkq.013	Amerikansk spanska: syntax
Fkq.02(x)	Amerikansk spanska: ordförråd, lexikologi: lexikon
Fkq.02	Amerikansk spanska: ordförråd, lexikologi
Fkq.023	Amerikansk spanska: semantik (betydelselära)
Fkq.024	Amerikansk spanska: språkpragmatik
Fkq.025(x)	Amerikansk spanska: fraseologi: lexikon
Fkq.03	Amerikansk spanska: namnforskning
Fkq.031	Amerikansk spanska: personnamn
Fkq.032	Amerikansk spanska: ortnamn
Fkq.04(x)	Amerikansk spanska: dialektologi: lexikon
Fkq.04	Amerikansk spanska: dialektologi
Fkq.04qca	Amerikansk spanska: dialektologi: Mexiko
Fkq.04qce(x)	Amerikansk spanska: dialektologi: Nicaragua: lexikon
Fkq.04qce	Amerikansk spanska: dialektologi: Nicaragua
Fkq.04qce:a	Amerikansk spanska: dialektologi: Nicaragua: bibliografi
Fkq.04qda	Amerikansk spanska: dialektologi: Colombia
Fkq.04qdb(x)	Amerikansk spanska: dialektologi: Venezuela: lexikon
Fkq.04qdg(x)	Amerikansk spanska: dialektologi: Argentina: lexikon
Fkq.04qdg	Amerikansk spanska: dialektologi: Argentina
Fkq.04qdh	Amerikansk spanska: dialektologi: Chile
Fkq.04qdl	Amerikansk spanska: dialektologi: Ecuador
Fkq.042(x)	Amerikansk spanska: slang och talspråk: lexikon
Fkq.042	Amerikansk spanska: slang och talspråk
Fkq.045	Amerikansk spanska: blandspråk (pidginspråk och kreolspråk)
Fkq.06	Amerikansk spanska: stilistik och textlingvistik
Fkq.061	Amerikansk spanska: stilistik
Fkq.063	Amerikansk spanska: retorik. Hit även muntlig framställning
Fkq.064	Amerikansk spanska: textlingvistik
Fkq.065	Amerikansk spanska: översättning
Fkq.07	Amerikansk spanska: ortografi, interpunktion och förkortningar
Fkqc	Amerikansk spanska: Sverige
Fkqz	Amerikansk spanska: särskilda författares språk
Fkqz	Amerikansk spanska: särskilda författares språk
Fks(x)	Spanjolska (ladino): lexikon
Fks	Spanjolska (ladino)
Fks.00	Spanjolska (ladino): språkhistoria
Fksz	Spanjolska (ladino): särskilda författares språk
Fku(k)	Katalanska: kongresstryck
Fku(p)	Katalanska: periodika
Fku(x)	Katalanska: lexikon
Fku	Katalanska
Fku.00	Katalanska: språkhistoria
Fku.01	Katalanska: grammatik
Fku.011	Katalanska: fonetik
Fku.012	Katalanska: formlära (morfologi)
Fku.013	Katalanska: syntax
Fku.02	Katalanska: ordförråd, lexikologi
Fku.021(x)	Katalanska: etymologi: lexikon
Fku.022	Katalanska: ordbildning
Fku.03	Katalanska: namnforskning
Fku.032	Katalanska: ortnamn
Fku.04	Katalanska: dialektologi
Fku.06	Katalanska: stilistik och textlingvistik
Fku.063	Katalanska: retorik. Hit även muntlig framställning
Fku.07	Katalanska: ortografi, interpunktion och förkortningar
Fkuz	Katalanska: särskilda författares språk
Fkz	Spanska: särskilda författares språk
Fkz	Spanska: särskilda författares språk
Fl(k)	Portugisiska: kongresstryck
Fl(p)	Portugisiska: periodika
Fl(x)	Portugisiska: lexikon
Fl	Portugisiska
Fl:d	Portugisiska: teori, filosofi
Fl:dd(k)	Portugisiska: metodlära: kongresstryck
Fl.00	Portugisiska: språkhistoria
Fl.01	Portugisiska: grammatik
Fl.011	Portugisiska: fonetik
Fl.012(x)	Portugisiska: formlära (morfologi): lexikon
Fl.012	Portugisiska: formlära (morfologi)
Fl.013(x)	Portugisiska: syntax: lexikon
Fl.013	Portugisiska: syntax
Fl.02	Portugisiska: ordförråd, lexikologi
Fl.021	Portugisiska: etymologi
Fl.022	Portugisiska: ordbildning
Fl.023	Portugisiska: semantik (betydelselära)
Fl.03	Portugisiska: namnforskning
Fl.031	Portugisiska: personnamn
Fl.032	Portugisiska: ortnamn
Fl.04(x)	Portugisiska: dialektologi: lexikon
Fl.04	Portugisiska: dialektologi
Fl.045(x)	Portugisiska: blandspråk (pidginspråk och kreolspråk): lexikon
Fl.06	Portugisiska: stilistik och textlingvistik
Fl.061	Portugisiska: stilistik
Fl.07	Portugisiska: ortografi, interpunktion och förkortningar
Fla	Fornportugisiska
Flb.013	Medelportugisiska: syntax
Flp	Afrikansk portugisiska
Flp.013	Afrikansk portugisiska: syntax
Flp.024	Afrikansk portugisiska: språkpragmatik
Flp.045	Afrikansk portugisiska: blandspråk (pidginspråk och kreolspråk)
Flq(k)	Brasilianska: kongresstryck
Flq(x)	Brasilianska: lexikon
Flq	Brasilianska
Flq.01	Brasilianska: grammatik
Flq.013	Brasilianska: syntax
Flq.02	Brasilianska: ordförråd, lexikologi
Flq.022	Brasilianska: ordbildning
Flq.03	Brasilianska: namnforskning
Flq.032	Brasilianska: ortnamn
Flq.04	Brasilianska: dialektologi
Flqz	Brasilianska: särskilda författares språk
Flt(p)	Galiciska: periodika
Flt(x)	Galiciska: lexikon
Flt	Galiciska
Flt:k	Galiciska: språkvetenskapens historia
Flt.00	Galiciska: språkhistoria
Flt.01	Galiciska: grammatik
Flt.012	Galiciska: formlära (morfologi)
Flt.013	Galiciska: syntax
Flt.021(x)	Galiciska: etymologi: lexikon
Flt.021	Galiciska: etymologi
Flt.022	Galiciska: ordbildning
Flt.032	Galiciska: ortnamn
Flt.05	Galiciska: metrik och prosodi
Fltz	Galiciska: särskilda författares språk
Flz	Portugisiska: särskilda författares språk
Flz	Portugisiska: särskilda författares språk
Fm(k)	Slaviska och baltiska språk: kongresstryck
Fm(p	Slaviska och baltiska språk: periodika
Fm(p)	Slaviska och baltiska språk: periodika
Fm(x)	Slaviska och baltiska språk: lexikon
Fm(ya)	Slaviska och baltiska språk: kartor
Fm	Slaviska och baltiska språk
Fm	Slaviska och baltiska språk
Fm:a(p)	Slaviska och baltiska språk: bibliografi: periodika
Fm:a	Slaviska och baltiska språk: bibliografi
Fm:b	Slaviska och baltiska språk: forskning
Fm:k	Slaviska och baltiska språk: språkvetenskapens historia
Fm.00(x)	Slaviska och baltiska språk: språkhistoria: lexikon
Fm.00	Slaviska och baltiska språk: språkhistoria
Fm.01	Slaviska och baltiska språk: grammatik
Fm.011	Slaviska och baltiska språk: fonetik
Fm.012	Slaviska och baltiska språk: formlära (morfologi)
Fm.013	Slaviska och baltiska språk: syntax
Fm.02(x)	Slaviska och baltiska språk: ordförråd, lexikologi: lexikon
Fm.02	Slaviska och baltiska språk: ordförråd, lexikologi
Fm.021(x)	Slaviska och baltiska språk: etymologi: lexikon
Fm.021	Slaviska och baltiska språk: etymologi
Fm.022	Slaviska och baltiska språk: ordbildning
Fm.023	Slaviska och baltiska språk: semantik (betydelselära)
Fm.025	Slaviska och baltiska språk: fraseologi
Fm.03(k)	Slaviska och baltiska språk: namnforskning: kongresstryck
Fm.03(p)	Slaviska och baltiska språk: namnforskning: periodika
Fm.03	Slaviska och baltiska språk: namnforskning
Fm.031	Slaviska och baltiska språk: personnamn
Fm.032(x)	Slaviska och baltiska språk: ortnamn: lexikon
Fm.032	Slaviska och baltiska språk: ortnamn
Fm.04	Slaviska och baltiska språk: dialektologi
Fm.05(p)	Slaviska och baltiska språk: metrik och prosodi: periodika
Fm.05	Slaviska och baltiska språk: metrik och prosodi
Fm.06(p)	Slaviska och baltiska språk: stilistik och textlingvistik: periodika
Fm.06	Slaviska och baltiska språk: stilistik och textlingvistik
Fm.061	Slaviska och baltiska språk: stilistik
Fm.07(x)	Slaviska och baltiska språk: ortografi, interpunktion och förkortningar: lexikon
Fm.07	Slaviska och baltiska språk: ortografi, interpunktion och förkortningar
Fm.081	Slaviska och baltiska språk: epigrafik
Fm-fd	Slaviska och baltiska språk: Tjeckien och Slovakien
Fma(p)	Ryska: periodika
Fma(u)	Ryska: urkunder, lagar
Fma(x)	Ryska: lexikon
Fma(x):a	Ryska: lexikon: bibliografi
Fma	Ryska
Fma:a	Ryska: bibliografi
Fma:k	Ryska: språkvetenskapens historia
Fma:oi(x)	Ryska: statistik: lexikon
Fma:oi	Ryska: statistik
Fma.00(x)	Ryska: språkhistoria: lexikon
Fma.00	Ryska: språkhistoria
Fma.01(x)	Ryska: grammatik: lexikon
Fma.01	Ryska: grammatik
Fma.011(p)	Ryska: fonetik: periodika
Fma.011(x)	Ryska: fonetik: lexikon
Fma.011	Ryska: fonetik
Fma.012(x)	Ryska: formlära (morfologi): lexikon
Fma.012	Ryska: formlära (morfologi)
Fma.013(x)	Ryska: syntax: lexikon
Fma.013	Ryska: syntax
Fma.02(p)	Ryska: ordförråd, lexikologi: periodika
Fma.02(x)	Ryska: ordförråd, lexikologi: lexikon
Fma.02	Ryska: ordförråd, lexikologi
Fma.021(p)	Ryska: etymologi: periodika
Fma.021(x)	Ryska: etymologi: lexikon
Fma.021	Ryska: etymologi
Fma.022(x)	Ryska: ordbildning: lexikon
Fma.022	Ryska: ordbildning
Fma.022:a	Ryska: ordbildning: bibliografi
Fma.023(x)	Ryska: semantik (betydelselära): lexikon
Fma.023	Ryska: semantik (betydelselära)
Fma.024	Ryska: språkpragmatik
Fma.025(x)	Ryska: fraseologi: lexikon
Fma.025	Ryska: fraseologi
Fma.025:f(x)	Ryska: fraseologi: terminologi: lexikon
Fma.026(x)	Ryska: synonymik: lexikon
Fma.026	Ryska: synonymik
Fma.03(x)	Ryska: namnforskning: lexikon
Fma.03	Ryska: namnforskning
Fma.031(x)	Ryska: personnamn: lexikon
Fma.031	Ryska: personnamn
Fma.032(x)	Ryska: ortnamn: lexikon
Fma.032	Ryska: ortnamn
Fma.04(p)	Ryska: dialektologi: periodika
Fma.04(x)	Ryska: dialektologi: lexikon
Fma.04(ya)	Ryska: dialektologi: kartor
Fma.04	Ryska: dialektologi
Fma.04:k	Ryska: dialektologi: språkvetenskapens historia
Fma.042(x)	Ryska: slang och talspråk: lexikon
Fma.042	Ryska: slang och talspråk
Fma.043(x)	Ryska: yrkesspråk: lexikon
Fma.043	Ryska: yrkesspråk
Fma.05(k)	Ryska: metrik och prosodi: kongresstryck
Fma.05	Ryska: metrik och prosodi
Fma.06(p)	Ryska: stilistik och textlingvistik: periodika
Fma.06(x)	Ryska: stilistik och textlingvistik: lexikon
Fma.06	Ryska: stilistik och textlingvistik
Fma.061(k)	Ryska: stilistik: kongresstryck
Fma.061(x)	Ryska: stilistik: lexikon
Fma.061	Ryska: stilistik
Fma.062(x)	Ryska: språkriktighet: lexikon
Fma.062	Ryska: språkriktighet
Fma.063	Ryska: retorik. Hit även muntlig framställning
Fma.064	Ryska: textlingvistik
Fma.065	Ryska: översättning
Fma.07(x)	Ryska: ortografi, interpunktion och förkortningar: lexikon
Fma.07	Ryska: ortografi, interpunktion och förkortningar
Fma.074	Ryska: transkribering och translitterering
Fma.081	Ryska: epigrafik
Fma-og	Ryska: Sibirien
Fmaa(p)	Fornryska: periodika
Fmaa(x)	Fornryska: lexikon
Fmaa	Fornryska
Fmaa:a	Fornryska: bibliografi
Fmaa.01	Fornryska: grammatik
Fmaa.011	Fornryska: fonetik
Fmaa.012	Fornryska: formlära (morfologi)
Fmaa.013	Fornryska: syntax
Fmaa.02(x)	Fornryska: ordförråd, lexikologi: lexikon
Fmaa.02	Fornryska: ordförråd, lexikologi
Fmaa.022	Fornryska: ordbildning
Fmaa.023	Fornryska: semantik (betydelselära)
Fmaa.031(x)	Fornryska: personnamn: lexikon
Fmaa.031	Fornryska: personnamn
Fmaa.04	Fornryska: dialektologi
Fmaa.05	Fornryska: metrik och prosodi
Fmaa.06	Fornryska: stilistik och textlingvistik
Fmaa.064	Fornryska: textlingvistik
Fmaa.08	Fornryska: epigrafik och papyrologi
Fmaa.081(u)	Fornryska: epigrafik: urkunder, lagar
Fmaa.081	Fornryska: epigrafik
Fmaazf	Fornryska: särskilda anonyma verks språk
Fmaz	Ryska: särskilda författares språk
Fmaz	Ryska: särskilda författares språk
Fmazf	Ryska: särskilda anonyma verks språk
Fmb(p)	Ukrainska: periodika
Fmb(x)	Ukrainska: lexikon
Fmb	Ukrainska
Fmb.00	Ukrainska: språkhistoria
Fmb.01	Ukrainska: grammatik
Fmb.011(x)	Ukrainska: fonetik: lexikon
Fmb.011	Ukrainska: fonetik
Fmb.012	Ukrainska: formlära (morfologi)
Fmb.013	Ukrainska: syntax
Fmb.02(x)	Ukrainska: ordförråd, lexikologi: lexikon
Fmb.02	Ukrainska: ordförråd, lexikologi
Fmb.021(x)	Ukrainska: etymologi: lexikon
Fmb.022	Ukrainska: ordbildning
Fmb.023	Ukrainska: semantik (betydelselära)
Fmb.03	Ukrainska: namnforskning
Fmb.031(x)	Ukrainska: personnamn: lexikon
Fmb.031	Ukrainska: personnamn
Fmb.032(x)	Ukrainska: ortnamn: lexikon
Fmb.032	Ukrainska: ortnamn
Fmb.04(ya)	Ukrainska: dialektologi: kartor
Fmb.04	Ukrainska: dialektologi
Fmb.043(x)	Ukrainska: yrkesspråk: lexikon
Fmb.06(x)	Ukrainska: stilistik och textlingvistik: lexikon
Fmb.06	Ukrainska: stilistik och textlingvistik
Fmb.07(x)	Ukrainska: ortografi, interpunktion och förkortningar: lexikon
Fmbk(x)	Ukrainska: Spanien: lexikon
Fmbk	Ukrainska: Spanien
Fmbk.01	Ukrainska: Spanien: grammatik
Fmbk.02	Ukrainska: Spanien: ordförråd, lexikologi
Fmbt(x)	Vitryska: lexikon
Fmbt	Vitryska
Fmbt.01	Vitryska: grammatik
Fmbt.011	Vitryska: fonetik
Fmbt.013	Vitryska: syntax
Fmbt.02	Vitryska: ordförråd, lexikologi
Fmbt.021(x)	Vitryska: etymologi: lexikon
Fmbt.025(x)	Vitryska: fraseologi: lexikon
Fmbt.03	Vitryska: namnforskning
Fmbt.04(x)	Vitryska: dialektologi: lexikon
Fmbt.04	Vitryska: dialektologi
Fmbu(x)	Karpatorusinska: lexikon
Fmbu	Karpatorusinska
Fmbu.00	Karpatorusinska: språkhistoria
Fmbu.01	Karpatorusinska: grammatik
Fmbz	Ukrainska: särskilda författares språk
Fmc(k)	Polska: kongresstryck
Fmc(p)	Polska: periodika
Fmc(x)	Polska: lexikon
Fmc(x)	Polska: lexikon
Fmc	Polska
Fmc:a	Polska: bibliografi
Fmc:oi	Polska: statistik
Fmc.00(x)	Polska: språkhistoria: lexikon
Fmc.00	Polska: språkhistoria
Fmc.01(p)	Polska: grammatik: periodika
Fmc.01	Polska: grammatik
Fmc.011(p)	Polska: fonetik: periodika
Fmc.011(x)	Polska: fonetik: lexikon
Fmc.011	Polska: fonetik
Fmc.012	Polska: formlära (morfologi)
Fmc.013(p)	Polska: syntax: periodika
Fmc.013(x)	Polska: syntax: lexikon
Fmc.013	Polska: syntax
Fmc.02(x)	Polska: ordförråd, lexikologi: lexikon
Fmc.02	Polska: ordförråd, lexikologi
Fmc.021(x)	Polska: etymologi: lexikon
Fmc.021	Polska: etymologi
Fmc.022	Polska: ordbildning
Fmc.023(x)	Polska: semantik (betydelselära): lexikon
Fmc.023	Polska: semantik (betydelselära)
Fmc.024	Polska: språkpragmatik
Fmc.025(x)	Polska: fraseologi: lexikon
Fmc.025	Polska: fraseologi
Fmc.026(x)	Polska: synonymik: lexikon
Fmc.03(p)	Polska: namnforskning: periodika
Fmc.03	Polska: namnforskning
Fmc.031(x)	Polska: personnamn: lexikon
Fmc.031	Polska: personnamn
Fmc.032(p)	Polska: ortnamn: periodika
Fmc.032(x)	Polska: ortnamn: lexikon
Fmc.032	Polska: ortnamn
Fmc.04(x)	Polska: dialektologi: lexikon
Fmc.04(y)	Polska: dialektologi: kartor och bilder
Fmc.04	Polska: dialektologi
Fmc.04:a	Polska: dialektologi: bibliografi
Fmc.042(x)	Polska: slang och talspråk: lexikon
Fmc.042	Polska: slang och talspråk
Fmc.05	Polska: metrik och prosodi
Fmc.06	Polska: stilistik och textlingvistik
Fmc.061(x)	Polska: stilistik: lexikon
Fmc.061	Polska: stilistik
Fmc.062(x)	Polska: språkriktighet: lexikon
Fmc.064	Polska: textlingvistik
Fmc.065	Polska: översättning
Fmc.07(x)	Polska: ortografi, interpunktion och förkortningar: lexikon
Fmc.07	Polska: ortografi, interpunktion och förkortningar
Fmca(x)	Fornpolska: lexikon
Fmca	Fornpolska
Fmca.011	Fornpolska: fonetik
Fmca.012	Fornpolska: formlära (morfologi)
Fmca.02	Fornpolska: ordförråd, lexikologi
Fmca.022	Fornpolska: ordbildning
Fmca.03(x)	Fornpolska: namnforskning: lexikon
Fmca.031	Fornpolska: personnamn
Fmca.032(x)	Fornpolska: ortnamn: lexikon
Fmca.032	Fornpolska: ortnamn
Fmca.04	Fornpolska: dialektologi
Fmca.07	Fornpolska: ortografi, interpunktion och förkortningar
Fmct(x)	Kasjubiska: lexikon
Fmct	Kasjubiska
Fmct.011	Kasjubiska: fonetik
Fmct.02	Kasjubiska: ordförråd, lexikologi
Fmct.021(x)	Kasjubiska: etymologi: lexikon
Fmct.04(x)	Kasjubiska: dialektologi: lexikon
Fmct.04	Kasjubiska: dialektologi
Fmcu(x)	Polabiska: lexikon
Fmcu	Polabiska
Fmcu.01	Polabiska: grammatik
Fmcu.011	Polabiska: fonetik
Fmcz	Polska: särskilda författares språk
Fmd(p)	Tjeckiska: periodika
Fmd(x)	Tjeckiska: lexikon
Fmd	Tjeckiska
Fmd:k	Tjeckiska: språkvetenskapens historia
Fmd:oi	Tjeckiska: statistik
Fmd.00(x)	Tjeckiska: språkhistoria: lexikon
Fmd.00	Tjeckiska: språkhistoria
Fmd.01	Tjeckiska: grammatik
Fmd.011	Tjeckiska: fonetik
Fmd.012	Tjeckiska: formlära (morfologi)
Fmd.013(x)	Tjeckiska: syntax: lexikon
Fmd.013	Tjeckiska: syntax
Fmd.02(x)	Tjeckiska: ordförråd, lexikologi: lexikon
Fmd.02	Tjeckiska: ordförråd, lexikologi
Fmd.021(x)	Tjeckiska: etymologi: lexikon
Fmd.021	Tjeckiska: etymologi
Fmd.022(x)	Tjeckiska: ordbildning: lexikon
Fmd.022	Tjeckiska: ordbildning
Fmd.023	Tjeckiska: semantik (betydelselära)
Fmd.024	Tjeckiska: språkpragmatik
Fmd.025(x)	Tjeckiska: fraseologi: lexikon
Fmd.025	Tjeckiska: fraseologi
Fmd.026(x)	Tjeckiska: synonymik: lexikon
Fmd.031(x)	Tjeckiska: personnamn: lexikon
Fmd.031	Tjeckiska: personnamn
Fmd.032(x)	Tjeckiska: ortnamn: lexikon
Fmd.032	Tjeckiska: ortnamn
Fmd.04(x)	Tjeckiska: dialektologi: lexikon
Fmd.04	Tjeckiska: dialektologi
Fmd.042(x)	Tjeckiska: slang och talspråk: lexikon
Fmd.042	Tjeckiska: slang och talspråk
Fmd.043(x)	Tjeckiska: yrkesspråk: lexikon
Fmd.05	Tjeckiska: metrik och prosodi
Fmd.06(k)	Tjeckiska: stilistik och textlingvistik: kongresstryck
Fmd.06	Tjeckiska: stilistik och textlingvistik
Fmd.061	Tjeckiska: stilistik
Fmd.062	Tjeckiska: språkriktighet
Fmd.064	Tjeckiska: textlingvistik
Fmd.065	Tjeckiska: översättning
Fmd.07(x)	Tjeckiska: ortografi, interpunktion och förkortningar: lexikon
Fmd.07	Tjeckiska: ortografi, interpunktion och förkortningar
Fmda(x)	Forntjeckiska: lexikon
Fmda	Forntjeckiska
Fmda.013	Forntjeckiska: syntax
Fmda.022	Forntjeckiska: ordbildning
Fmdz	Tjeckiska: särskilda författares språk
Fmdzf	Tjeckiska: särskilda anonyma verks språk
Fme(p)	Slovakiska: periodika
Fme(x)	Slovakiska: lexikon
Fme(ya)	Slovakiska: kartor
Fme	Slovakiska
Fme.00	Slovakiska: språkhistoria
Fme.01(x)	Slovakiska: grammatik: lexikon
Fme.01	Slovakiska: grammatik
Fme.011(x)	Slovakiska: fonetik: lexikon
Fme.011	Slovakiska: fonetik
Fme.012	Slovakiska: formlära (morfologi)
Fme.013	Slovakiska: syntax
Fme.02(x)	Slovakiska: ordförråd, lexikologi: lexikon
Fme.02	Slovakiska: ordförråd, lexikologi
Fme.021(x)	Slovakiska: etymologi: lexikon
Fme.022(x)	Slovakiska: ordbildning: lexikon
Fme.022	Slovakiska: ordbildning
Fme.023	Slovakiska: semantik (betydelselära)
Fme.025(x)	Slovakiska: fraseologi: lexikon
Fme.025	Slovakiska: fraseologi
Fme.026(x)	Slovakiska: synonymik: lexikon
Fme.04(x)	Slovakiska: dialektologi: lexikon
Fme.04	Slovakiska: dialektologi
Fme.042(x)	Slovakiska: slang och talspråk: lexikon
Fme.042	Slovakiska: slang och talspråk
Fme.043(x)	Slovakiska: yrkesspråk: lexikon
Fme.05	Slovakiska: metrik och prosodi
Fme.061	Slovakiska: stilistik
Fme.062	Slovakiska: språkriktighet
Fme.07(x)	Slovakiska: ortografi, interpunktion och förkortningar: lexikon
Fmet(p)	Sorbiska (vendiska): periodika
Fmet(x)	Sorbiska (vendiska): lexikon
Fmet(ya)	Sorbiska (vendiska): kartor
Fmet	Sorbiska (vendiska)
Fmet:kfa	Sorbiska (vendiska): historia: Tyskland
Fmet.00	Sorbiska (vendiska): språkhistoria
Fmet.01	Sorbiska (vendiska): grammatik
Fmet.012	Sorbiska (vendiska): formlära (morfologi)
Fmet.013	Sorbiska (vendiska): syntax
Fmet.021(x)	Sorbiska (vendiska): etymologi: lexikon
Fmet.031	Sorbiska (vendiska): personnamn
Fmet.032(x)	Sorbiska (vendiska): ortnamn: lexikon
Fmet.032	Sorbiska (vendiska): ortnamn
Fmet.04(x)	Sorbiska (vendiska): dialektologi: lexikon
Fmet.04	Sorbiska (vendiska): dialektologi
Fmet.07	Sorbiska (vendiska): ortografi, interpunktion och förkortningar
Fmet-f	Sorbiska (vendiska): Mellaneuropa
Fmetz	Sorbiska (vendiska): särskilda författares språk
Fmeu(x)	Rusinska: lexikon
Fmeu	Rusinska
Fmeu.00	Rusinska: språkhistoria
Fmeu.01	Rusinska: grammatik
Fmf(k)	Serbiska, kroatiska och bosnisk-hercegovinska: kongresstryck
Fmf(p)	Serbiska, kroatiska och bosnisk-hercegovinska: periodika
Fmf(x)	Serbiska, kroatiska och bosnisk-hercegovinska: lexikon
Fmf	Serbiska, kroatiska och bosnisk-hercegovinska
Fmf.00	Serbiska, kroatiska och bosnisk-hercegovinska: språkhistoria
Fmf.01	Serbiska, kroatiska och bosnisk-hercegovinska: grammatik
Fmf.011	Serbiska, kroatiska och bosnisk-hercegovinska: fonetik
Fmf.012	Serbiska, kroatiska och bosnisk-hercegovinska: formlära (morfologi)
Fmf.013	Serbiska, kroatiska och bosnisk-hercegovinska: syntax
Fmf.02	Serbiska, kroatiska och bosnisk-hercegovinska: ordförråd, lexikologi
Fmf.02:a	Serbiska, kroatiska och bosnisk-hercegovinska: ordförråd, lexikologi: bibliografi
Fmf.021(x)	Serbiska, kroatiska och bosnisk-hercegovinska: etymologi: lexikon
Fmf.021	Serbiska, kroatiska och bosnisk-hercegovinska: etymologi
Fmf.022	Serbiska, kroatiska och bosnisk-hercegovinska: ordbildning
