SAB	Översättning
Aa.021=vcb	Bibliografi: handskrifter: tibetanska
Aa.021=xh	Bibliografi: handskrifter: kaukasiska språk
Aa.021=xj	Bibliografi: handskrifter: japanska
Aa.021=xpca	Bibliografi: handskrifter: Swahili
Aa.021=xrb	Bibliografi: handskrifter: indonesiska (malajiska) språk
Aa.021-j	Bibliografi: handskrifter: Frankrike
Aa.021-qca	Bibliografi: handskrifter: Mexiko
Aa.022	Bibliografi: inkunabler
Aa.022-qca	Bibliografi: inkunabler: Mexiko
Aa.023	Bibliografi: rariteter
Aa.04(p)	Bibliografi: tidskriftsindex och tidningsindex: periodika
Aa.04(p)/D	Bibliografi: tidskriftsindex och tidningsindex: periodika: maskinläsbara datafiler
Aa.04(p/D	Bibliografi: tidskriftsindex och tidningsindex: periodika: maskinläsbara datafiler
Aa.04(p)/DC	Bibliografi: tidskriftsindex och tidningsindex: periodika: direktåtkomst, optisk skiva
Aa.04	Bibliografi: tidskriftsindex och tidningsindex
Aa.04/D	Bibliografi: tidskriftsindex och tidningsindex: maskinläsbara datafiler
Aa.04-oea	Bibliografi: tidskriftsindex och tidningsindex: Kina
Aa.043(p)	Bibliografi: referatpublikationer: periodika
Aa.043	Bibliografi: referatpublikationer
Aa.05(p)	Bibliografi: avhandlingar och program: periodika
Aa.05	Bibliografi: avhandlingar och program
Aa.06(p)	Bibliografi: barnböcker och skolböcker: periodika
Aa.06	Bibliografi: barnböcker och skolböcker
Aa.061(p)	Bibliografi: barnböcker och ungdomsböcker: periodika
Aa.061(x)	Bibliografi: barnböcker och ungdomsböcker: lexikon
Aa.061	Bibliografi: barnböcker och ungdomsböcker
Aa.061-ma	Bibliografi: barnböcker och ungdomsböcker: Ryssland
Aa.07	Bibliografi: förbjudna böcker
Aa.08(k)	Bibliografi: elektroniska resurser (maskinläsbara datafiler): kongresstryck
Aa.08(p)	Bibliografi: elektroniska resurser (maskinläsbara datafiler): periodika
Aa.08	Bibliografi: elektroniska resurser (maskinläsbara datafiler)
Aa.08:oi	Bibliografi: elektroniska resurser (maskinläsbara datafiler): statistik
