libris_id,mods_identifier_type,mods_identifier_value
zhx5vlzjwnr8vn9j,GRID,A10306F0000000Y5X1
g0fpf88rd415v190,GRID,A10302B00059592704
9t8h729j7xbmv7gb,GRID,A10302B00000165872
5p4d47sk3v1ttlqd,GRID,A10302B00073663957
q8pxrnn9nr5tpxdt,GRID,A10302B0000355505U
zhx6w9s8wgh6hgxz,GRID,A10302B0005549611F
vdt1r4hgs883pw86,GRID,A10302B0003782315U
g0fngmksdgl9r4jn,GRID,A10302B0002332187X
l4ksh7m1jcw4bqdn,GRID,A10302B00084555753
m5lvlfgkk36bp2m1,GRID,A10302B00073579450
0jz5vfmwxzqjmghw,GRID,A10302B00034290932
h1gpf8h9fvwj5q84,GRID,A10302B0000190606Q
6q5f58v74wtr65d5,GRID,A10302B0007659472F
r9qzprg0pfh23fqc,GRID,A10302B00031375771
5p4c634d3sm275nm,GRID,A10302B00012281331
j2hrgvdggb3snsfk,GRID,A10302B00092247534
2l17zbq80m3hsdq8,GRID,A10302B0003429104S
m5ltj8ptk4tkzdn6,GRID,A10306F0000000Y68C
k3jsjcd2htjt2g6p,GRID,A10302B0006165615W
7r6d3nzv551f67z8,GRID,A10302B0004841512J
vdt3txjfsv8b14wv,GRID,A10302B0008384595C
3m2913sz1d72xsb2,GRID,A10302B00003788716
bv9k8n6t8cz4p79g,GRID,A10306F0000001JOZT
2l17zbr00qkdkntv,GRID,A10302B0004877273A
tcs1t0z8r4n3z59m,GRID,A10302B0002051552G
tcs1qgwmr7j54fgz,GRID,A10306F0000000V911
9t8j835d7std89d8,GRID,A10302B0006734384D
vdt1q9npsx6lgdn3,GRID,A10302B0003845237Q
m5lthf81kt75qtpr,GRID,A10302B0005101489Q
5p4d47v93vp0m36q,GRID,A10306F000000339MU
7r6g5k4d5sjmk9zz,GRID,A10306F0000000NZD7
6q5d3t9q4xn9hxcm,GRID,A10302B00084555745
wfv4vprptp56z83r,GRID,A10302B0005817627H
8s7f4p5j608j52h9,GRID,A10302B00034291000
xgw4vp48v0w0vr0p,GRID,A10302B0003137579Y
5p4c1zt93ljnj0g0,GRID,A10302B00051889166
2l1914rs0sdb8wzk,GRID,A10302B0005672756F
r9qzprlhp3r0p6sn,GRID,A10302B0000249979T
k3jshxhmhrgg9g22,GRID,A10302B0008766719T
8s7g5wdg6r17vtk3,GRID,A10302B0008403051X
fzdnd7bvc7fr31z7,GRID,A10302B0005782520T
h1gndn91fqh4pbnk,GRID,A10302B00034291484
k3jrhbshh4bwhtmz,GRID,A10302B0000111207Z
2l18zm080fcvn75z,GRID,A10302B0005065956Q
4n3c36vh2tbxqth6,GRID,A10302B00058230761
m5ltkmh6k3b6qp71,GRID,A10302B0000890025Z
xgw5v9vsvf26h0w8,GRID,A10302B00059935906
8s7f5j3w6lvjwjgz,GRID,A10302B0003429152C
n6mvntwblr3vvbkp,GRID,A10302B0004433246K
p7nwlbtgm5rzt0dd,GRID,A10302B0008680865V
sbr1rmq0qmf9v8h1,GRID,A10302B0005672753L
7r6f50gw5xd7xhfm,GRID,A10302B0000250641A
5p4c2q5h36gzqp63,GRID,A10302B0005365988B
l4ktknbhjx7v3vv6,GRID,A10306F0000000NZC9
tcs1rtqfrlh22m1d,GRID,A10302B0001642957W
6q5f4k514vbzxj3g,GRID,A10302B00087580715
4n391d0d29cb97cg,GRID,A10302B0003646921W
8s7g8fjl6glh381w,GRID,A10302B0000890066J
6q5d3tcm40xjgjjq,GRID,A10302B0005619638V
cwblb6989dqssz4w,GRID,A10302B0005672754J
3m2809161ljpqdv8,GRID,A10302B0002419660H
sbr0pcvrq2lj3tj3,GRID,A10302B0005354520K
j2hrhl91g9lqzkzt,GRID,A10306F0000000VR3W
bv9j8c8v8lx8tpms,GRID,A10302B0000328830F
cwbkd9pl9dpwmm0c,GRID,A10302B0000536728F
sbr1q5s7q117pmhn,GRID,A10302B0008567791W
fzdlbpbcc5dfl99r,GRID,A10302B0003429096V
bv9jbhl78v768sdr,GRID,A10302B0001737902W
j2hqf5qtg9rbbd46,GRID,A10302B0008299510Z
6q5f515p44s4hlm7,GRID,A10302B0005852762P
h1gndphpfts8k8ng,GRID,A10302B0003784360L
4n3b1p7q2nnpxz14,GRID,A10302B0005046905U
g0fpfj82dlhw7c4c,GRID,A10302B00055617300
g0fndhfldwt3416h,GRID,A10302B0000894739G
2l1830f80672n2gg,GRID,A10302B0000973347P
q8pzn3rvntmtk670,GRID,A10302B00058306498
m5ltmsxckcnpcfg6,GRID,A10302B00003773887
xgw4tk54vbgmh7qw,GRID,A10302B0008972735V
5p4d40593x89b0qd,GRID,A10302B00076551584
