hubTitle	entity
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · Münster. · 1525 · Hebreiska & Latin.
Bibeln	Bibeln. · Crampon. · 1939 · fre
Bibeln	Bibeln. · Authorized. · 1644 · eng
Bibeln. Gamla Testamentet	Bible. · [O.T. Hebrew]
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · heb
Poema de Yúçuf	Poema de Yuçuf
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1943 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Living Bible. · 1992 · ger
Nikodemosevangeliet	Nikodemosevangeliet. · fro
Bibeln	Bibeln. Finska
Bibeln. Profetiska böckerna. Urval	Bibeln. · [Profetiska böckerna.] · Urval · heb
Almanackor	Almanack 1784 KVA Sthlm.
Bibeln. Nya Testamentet	Bibeln. NT
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · cze
Bibeln. Uppenbarelseboken	Bible. · [N.T., Revelation.] · Junius. · 1600. · eng
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · hun
Koranen	Qurʼan. · lat
Almanackor	Almanack 1709 Krook.
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · tig
Den svenska psalmboken	Psalmboken 1823 Sthlm Lindh.
Upanishaderna. Br̥hadāraṇyakopaniṣad	Upanishaderna. · [Bṛhadāraṅyakopaniṣad.] · Engelska & Sanskrit.
Bulletiner	Bulletin 1807-05-03
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms.] · Selections. · lat
Yogavāsiṣṭha. Urval	Yogavāsiṣṭha. · Urval · fre
Floriant et Florete	Floriant et Florete. · Franska & fornfranska
Igorkvädet	Slovo o polku Igoreve. · pol
Almanackor	Almanack 1875 KVA Sthlm
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Psalm 46.] · eng
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · 1897 · Polyglott.
Magnus Erikssons landslag. Urval	Magnus Erikssons landslag. · Urval.
Codex Calixtinus	Codex Calixtinus
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet] · eng
Bibeln. Paulus-breven	Bibeln. · [Paulus-breven.] · eng
Pesikta de-Rav Kahana	Pesikta de-Rav Kahana
Bulletiner	Bulletin 1806-06-17
Almanackor	Almanack 1825 KVA Sthlm.
Sifrei	Sifre. · [Moseboken 4.] · ger
Bibeln	Bibeln. · Authorized. · 1628. · eng
Bibeln	Bibeln. · 1853. · lit
Bibeln	Bibeln. · 1531 · Zürcher Bibel. · ger
Bibeln. Psaltaren	Bible. · [Psalms.] · Michel. · 1876. · fre
Bibeln. Breven	Bibeln. · [Breven.] · Johansson. · 1901 · swe
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna. Koptiska & Tyska]
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Church of Scotland.] · eng
Grettis saga	Grettis saga. · fao
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Fornkyrkoslaviska & Ryska
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · 1990 · Grekiska & Franska.
Bibeln	Bibeln. · Authorized. · 1954 · eng
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Karatjajska
Örvar-Odds saga	Örvar-Odds saga
Kalīlah wa-Dimnah	Kalila wa-Dimna
Bibeln	Bibeln · 1593 · lat
Koranen. Urval	Koranen. · Urval · eng
Bibeln	Bibeln. · 1639 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1540 · yid
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1918 · 1917. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1669 · dut
Faust	Faust. · dan
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1553 · pol
Maḥzor	Maḥzor. · ger
Bulletiner	Bulletin 1813-09
Bibeln. Moseboken 1. Urval	Bible. · [O.T., Genesis.] · Selections. · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Weizsäcker. · 1882 · ger
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1599 · Polyglott.
Bibeln	Bibeln. · Tyndale-Coverdale. · eng
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · Beyer. · 1937 · ger
Homeriska hymnerna	Homeriska hymnerna. · swe
Bibeln	Bibeln. · Luther. · 1554 · ger
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · 1860 · san
Bulletiner	Bulletin 1807-11-02
Almanackor	Almanack 1795 KVA Torneå.
Jómsvikinga saga	Jómsvíkinga saga. · Svenska & Isländska
Almanackor	Almanack 1804 KVA Åbo.
Maḥzor (Reconstructionist). High Holidays	Maḥzor (Reconstructionist). · [High Holidays.] · English & Hebrew.
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna. Spanska]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Authorized. · 1660. · eng
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Barclay.] · eng
Bulletiner	Bulletin 1806-08-11
Den svenska psalmboken	Psalmboken 1764 Gbg.
Gutasagan	Gutasagan. · Engelska & Fornsvenska
Bibeln	Bibeln. · Grekiska.
Bibeln. Höga visan	Bibeln. · [Höga visan.] · Tingstadius. · 1799 · swe
Koranen	Koranen. · ice
Almanackor	Almanack 1760 KVA Gbg.
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · nor
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1903 · Grekiska.
Bibeln. Jesaja	Bible. · [O.T., Isaiah., Dodson.] · eng
Almanackor	Almanack 1819 KVA Gbg.
Bibeln. Urval	Bibeln. · Urval. · 1888 · ger
Flores og Blanseflor	Floire and Blancheflor. · dan
Bibeln	Bibeln. · Diodati. · 1607 · ita
Bibeln. Nya Testamentet	Bible. · [N.T.] · Authorized. · 2002. · Scottish Gaelic & English.
Bibeln	Bibeln. · Einheitsübersetzung. · 1975 · ger
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Latin & Tyska
Haggadah	Haggadah. · 2011. · English & Hebrew.
Almanackor	Almanack 1797 KVA Sthlm.
Den svenska psalmboken	Svenska psalmboken. · 1695. · 1973
Bibeln. Habackuk	Bibeln. · [Habackuk. Latin]
Almanackor	Almanack 1745 Menlös.
Bibeln. Evangelierna	Bibeln. · [Evangelierna. Syriska]
Bibeln. Evangelierna	Bible. · [N.T., Gospel Harmonies., Macknight.] · eng
Edda Sæmundar. Urval	Edda Sæmundar. · Urval · eng
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · chv
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna. Litauiska]
