hubTitle	entity
Bulletiner	Bulletin 1806-05-20
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1837 · Provövers. · swe
Kalevala. Urval	Kalevala (Valikoima)
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · 1951 · swe
Bibeln. Job	Bibeln. · [Job.] · 1882 · fre
Lucidář	Lucidarius. · cze
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · Syriska
Jaina Āgama. Upāṅga. Uvavāiya	Jaina Āgama. · [Upāṅga., Uvavāiya.] · Hindi & prakrit
Bibeln. Predikaren	Bibeln. · [Predikaren.] · fre
Den svenska psalmboken	Psalmboken 1756 Gbg.
Upanishaderna	Upanishaderna · swe
Tipiṭaka. Suttapiṭaka. Saṃyuttanikāya	Tipiṭaka. · [Suttantapitaka., Saṃyuttanikāya.] · Pali & Thai
Den svenska psalmboken	Psalmboken 1796 Gbg.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1893 · Svenska & Engelska.
Bibeln. Samuelsböckerna	Bibeln. · [Samuelsböckerna.] · cop
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Hebreiska & Ungerska
Gutasagan	Gutasagan. Svenska
Bibeln	Bibeln. · Vulgata. · 1630 · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Darby. · 1961 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1829 · fin
Renart le Contrefait	Renart le Contrefait
Upanishaderna. Kenopaniṣad	Upanishaderna. · [Kenopaniṣad] · Engelska & Sanskrit.
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · Living Bible. · 1989 · swe
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Paṭisambhidāmagga	Paṭisambhidāmagga. Engelska
Bibeln	Bibeln. · Authorized. · 1668. · eng
Nikodemosevangeliet	Nikodemosevangeliet. · Koptiska & Italienska
Tripiṭaka. Sūtrapiṭaka. Avataṃsakasūtra. Daśabhūmikasūtra	Tripitaka. · [Sūtrapitaka., Daśabhūmīśvara]
Den svenska psalmboken	Psalmboken 1826 Linköping.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1830 · gez
Bibeln. Esra	Bibeln. · [Esra.] · Lee. · 1938 · swe
Bibeln	Bibeln. · Marmochino. · 1545 · ita
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1526 · swe
Bibeln	Bibeln. · rus
Bibeln	Bibeln. · 1642 · fin
Flores y Blancaflor	Flores och Blanzeflor (versroman). · spa
Mahābhārata. Sabhāparva	Mahābhārata. · [Sabhāparvan.] · English & Sanskrit.
Roman d’Alexandre	Alexandersagan. · fro
Den svenska psalmboken	Psalmboken 1808 Örebro.
Bibeln	Bibeln. · 1860 · eng
Almanackor	Almanack 1892 KVA Sthlm
Bibeln	Bibeln. · 1746. · eng
Codex Calixtinus	Codex Calixtinus. · spa
Talmud. Urval	Talmud. Danska. · Urval
Eyrbyggja saga	Eyrbyggj saga
Hervarar saga og Heiðreks	Hervarar saga og Heiðreks. · ger
Almanackor	Almanack 1799 KVA Sthlm.
Völuspá	Völuspá. · Latin +I7983& Fornisländska
Den svenska psalmboken	Psalmboken 1825 Norrköping.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1816 Rumstedt. · swe
Jesajas himmelsfärd	Jesajas himmelsfärd. · 1995 · Polyglott.
Talmud. Urval	Talmud. · Urval · eng
Bibeln	Bibeln. · Tyndale. · eng
Almanackor	Almanack 1722 Burman.
Almanackor	Almanack 1797 KVA Torneå.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1879 · enm
Bibeln	Bibeln. · 1657 · mul
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1678. · eng
Catonis disticha	Catonis disticha. · eng
Tipiṭaka. Suttapiṭaka. Khuddakanikāya	Tipitaṭaka. · [Suttantapiṭaka., Khuddakanikāya., Cūḷaniddesa.] · pli
Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra	Tripiṭaka. · [Sūtrapiṭaka., Saddharmapuṇḍarīkasūtra]
Bibeln. Markusevangeliet	Bible. · [Mark.] · Slocum-Gerdel. · 1947. · Tzeltal.
Salomos vishet	Bibeln. · [Salomos vishet.] · 1549 · swe
Kanteletar. Urval	Kanteletar. · Urval · Rumänska & finska.
Bibeln. Job	Bibeln. · [Job.] · Wultz. · 1939 · ger
Evangelier och epistlar	Evangelier och epistlar 1759 Sthlm kongl.tr.
Aisopos fabler	Aesop's fables · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1710 · ger
Koranen	Koranen. Turkiska & Arabiska
Maḥzor. Yom Kippur	Maḥzor. · [Yom Kippur]
Tipiṭaka. Suttapiṭaka. Aṅguttaranikāya	Tipitaṭaka. · [Suttantapiṭaka., Aṅguttaranikāya., Pañcakanipāta.̃, Chakkanipāta., Sattakanipāta.] · pli
Gesta Romanorum	Gesta Romanorum
Psalmböcker	Psalmboken 1690 Riga
Skånelagen	Skånelagen. · dan
Bibeln	Bibeln. · Authorized. · 1634. · eng
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · nds
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Jewish Publication Society. · 1988 · eng
Evangelier och epistlar	Evangelier och epistlar 1793 Sthlm Pfeiffer.
Den svenska psalmboken	Psalmboken 1698
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · smi
Evangelier och epistlar	Evangelier och epistlar 1773 Sthlm f.d. kongl.tr.
Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā. Vajracchedikā	Tripiṭaka. · [Sūtrapiṭaka., Prajñāpāramitā., Vajracchedikā. English]
Koranen	Koranen. · ger
Talmud. Eruvin	Talmud. · [Eruvin]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Tillmann. · 1962 · ger
Psalmböcker	Psalmboken 1616 Uppsala
Psalmböcker	Psalmboken 1674 Göteborg
þórðar saga hreðu	þórðar saga hreðu. · ger
Bibeln. Gamla Testamentet	Bible. · [O.T.] · 1661. · lit
Bibeln	Bibeln. · 1544 · lat
Bibeln. Nya Testamentet. Urval	Bibeln. · [Nya Testamentet.] · Urval · 1582 · heb
Bulletiner	Bulletin 1808-09-23
Bibeln. Job	Bible. · [O.T., Job., Blackmore.] · eng
Bibeln. Nya Testamentet	Bible. · [N.T.] · Scio de San Miguel. · 1847. · spa
Koranen. Urval	Koranen. · [Sura 36.] · Arabiska och engelska
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Jiddisch, Arameiska & Hebreiska
Bibeln. Ordspråksboken	Ordspråksboken
Kalevala	Kalevala. · rus
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1637 · dut
Bibeln. Job	Bibeln. · [Job.] · heb
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · 1921. · 1924 · swe
Landnámabók	Landnámabók. · eng
Friðþjófs saga	Friðþjófs saga. · swe
Almanackor	Almanack 1810 KVA Torneå.
Bibeln	Bibeln. · 1596 · lat
Den svenska psalmboken	Psalmboken. · 1780
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · Normaluppl. · 1896 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1824 · Grekiska & Nygrekiska.
Bibeln. Job	Bible. · [O.T., Job., Broughton.] · eng
Bibeln. Nya Testamentet. Urval	Bibeln. · [Nya Testamentet.] · Urval · Krumpach. · ger
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · fin
Sachsenspiegel	Sachsenspiegel
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Wake.] · eng
Talmud. Bekhorot	Talmud. · [Bekhorot]
Bibeln. Hebreerbrevet	Bible. · [N.T., Hebrews., Authorised.] · eng
Bibeln	Bibeln. · Allioli · 183- · ger
Avesta	Avesta · Persiska & Avestiska
Bibeln	Bibeln. · New American. · 1971 · eng
Bibeln. Nya Testamentet	Bible. · [N.T.] · 1665. · Greek.
Floris ende Blancefloer	Floris ende Blancefloer. · dut
Bibeln. Paulus-breven	Bibeln. · [Paulus-breven.] · Grekiska & Engelska
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · Great Bible. · 1637. · eng
Bibeln. Psaltaren	Bible. [O.T., Psalms., Barton.] · eng
Bibeln	Bibeln. · Zürcher Bibel. · 1971 · ger
Apokryferna (Nya testamentet)	Apokryferna (Nya testamentet). · 2016 · eng
Almanackor	Almanack 1707 Krook.
Tusen och en natt	Tusen och en natt. Slovenska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · dut
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Great Bible.] · eng
Bibeln. Urval	Bibeln. · Urval. · Living Bible. · 1991 · cze
Upanishaderna. Chāndogyopaniṣad	Upanishaderna. · [Chāndogyopaniṣad.] · ger
Bibeln	Bibeln. · Berleburg. · 1728 · ger
Fóstbræðra saga	Fóstbræðra saga. · nor
Bibeln	Bibeln. · Geneva. · 1599? · eng
Bibeln	Bibeln. · Vulgata. · 1602 · lat
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Alter. · 2004 · eng
Kanjur	Kanjur · mon
Palmerín de Oliva	Palmerín de Oliva. · [Part 1.] · eng
Almanackor	Almanack 1819 KVA Sthlm.
Almanackor	Almanack 1782 KVA Lund.
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Jātaka	Tipiṭaka. · [Suttantapiṭaka Khuddakanikāya Jātaka.] · Deens.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1731 · Grekiska
Bibeln. Urval	Bibeln. · Urval · Folkbibeln. · swe
Bibeln	Bibeln. · 1534 · Luther. · ger
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Fjellstedt. · 1851 · swe
Bibeln	Bibeln. · 1895 · swe
Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā. Adhyardhaśatikā	Prajnaparamitas. Engelska
Bibeln. Moseboken 1	Bible. · [O.T., Genesis.]
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Barnard.] · eng
Edda Sæmundar	Edda Sæmundar. · Engelska & fornisländska
Evangelier och epistlar	Evangelier och epistlar 1782 Norrköping.
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Suttanipāta	Tipiṭaka. · [Suttapiṭaka., Khuddakanikāya., Suttanipāta.] · sin
Almanackor	Almanack 1711 Celsius.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1884 · swe
Bibeln. Nya Testamentet	Bible. · [N.T.] · fre
Bibeln. Gamla Testamentet. Urval	Bibeln. · [G.T..] · [Urval.] · tur
Bibeln. Evangelierna	Bibeln. · [Evangelierna. Meänkieli]
Bibeln. Predikaren	Bibeln. · [Predikaren.] · 2010. · heb
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · ang
Bibeln	Bibeln. · Geneva. · 1577. · eng
Haggadah	Haggadah. · 880-01
Bibeln. Korinthierbreven	Bibeln. · [Korinthierbreven.] · Wells. · mul
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Serres.] · Selections. · Latin and Greek.
Den svenska psalmboken	Psalmboken 1773 Örebro.
Bibeln. Paulus-breven	Bibeln. · [Paulus-breven.] · Arabiska & Engelska
Den svenska psalmboken	Psalmboken 1825 Sthlm Nordström.
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · 1930 · Syriska.
Bibeln. Job	Bible.Job. English
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Nanajiska
Den svenska psalmboken	Psalmboken 1745 Jönköping.
Almanackor	Almanack 1713 Vallerius.
Bibeln. Jesaja	Bibeln. · [Jesaia.] · Tingstadius. · 1805 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1626 · lat
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1596 · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Gezelius. · 1752 Nyström. · swe
Bibeln	Bibeln. · 1821 · Harauti.
Catonis disticha. Urval	Catonis disticha. · Urval · eng
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Diodati. · 1861 · ita
Bibeln	Bibeln. · Authorized. · 1956 · eng
Bibeln	Bibeln. · wel
Östgötalagen	Östgötalagen. · ger
Mahābhārata	Mahābhārata. · 1971
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · kaa
Bibeln	Bibeln. · 1883 · swe
Bibeln	Bibeln. · Luther. · 1625 · ger
Den svenska psalmboken	Psalmboken 1726 Skara.
Puranas. Bhāgavatapurāṇa	Purāṇa. · [Bhāgavata-purāṇa. Svenska]
Bibeln	Bibeln. · Authorized (Shorthand) · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1599 · Grekiska och latin
Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra	Tripiṭaka. · [Sūtrapiṭaka., Saddharmapuṇḍarikasutra]
Koranen. Urval	Koranen. Svenska. · Urval
Bibeln. Paulus-breven. Urval	Bibeln. · [Paulus-breven.] · Urval. · 1917. · 1971 · swe
Bibeln	Bibeln. · Luther. · 1672 · ger
Almanackor	Almanack 1726 Utrecht
Bibeln	Bibeln. · New English. · 1970
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · Grekiska
Bibeln. Predikaren	Bibeln. · [Predikaren.] · Pautrel. · 1948 · fre
Den svenska psalmboken	Psalmboken 1820 Sthlm Grahn.
Bibeln. Korinthierbrevet 2	Bibeln. · [Korinthierbrevet 2., Authorized.] · eng
Bhagavadgītā	Bhagavadgītā. · eng
Ólafs saga hins helga hin mesta	Ólafs saga helga (fristående sagan)
Puranas. Viṣṇudharmottarapurāṇa	Purāṇa · [Viṣṇupurāṇa]
Bibeln. Evangelierna	Bible. · [Gospels., Harmonies.] · 1556. · dan
Batrachomyomachia	Batrachomyomachia. · (Piper) · ger
Bibeln. Hosea	Bibeln. · [Hosea. Svenska]
Evangelier och epistlar	Evangelier och epistlar 1776 Örebro.
Sifrei	Sifre. · [Moseboken 5. Tyska]
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1980 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1819 Rumstedt. · swe
Bibeln	Bibeln · Luther · 1702 · ger
Grágás	Grágás. · dan
Koranen. Urval	Koranen. Svenska & Arabiska. · Urval
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1668 · dut
Igorkvädet	Igorkvädet. · slo
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Dhammapada	Tipiṭaka. · [Suttapiṭaka., Khuddakanikāya., Dhammapada. Svenska]
al-Muʻallaqāt	al-Muʻallaqāt. · ger
Bulletiner	Bulletin 1806-07-13
Reinaert	Reinaert. · ger
Seven wise mistresses of Rome	Seven wise mistresses of Rome.
Tripiṭaka. Sūtrapiṭaka. Samantabhadracaryāpraṇidhānarāja	Bhadracaryādeśanā
Tripiṭaka. Sūtrapiṭaka. Tantra. Cakrasamvāratantra	Tripiṭaka. · [Sūtrapiṭaka., Tantra., Cakrasamvāratantra.] · eng
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Tate and Brady.] · Selections. · eng
Bulletiner	Bulletin 1807-03-16
Bibeln. Nya Testamentet. Urval	Bibeln. · [Nya Testamentet.] · Urval. · 1563 · hrv
Bibeln. Evangelierna	Bibeln. · [Evangelierna. Basjkiriska]
Bulletiner	Bulletin 1808-08-31
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · chu
Bibeln	Bibeln. · Revised standard. · 1967 · eng
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Normaluppl. · 1912 · swe
Chanson de Roland	Chastellaine de Vergi.
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1867 · Polyglott.
Almanackor	Almanack 1744 Hielm.
Talmud	Talmud. · 1793
Gilgamesh	Gilgamesj-eposet.. · swe
Bibeln. Nya Testamentet	Bibeln · [Nya testamentet]
Almanackor	Almanack 1890 KVA Sthlm
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1917. · 1925 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1918 · swe
Bibeln	Bible. · Morgan. · 1588. · wel
Bibeln. Uppenbarelseboken	Bibeln. · [Uppenbarelseboken.] · Schaik. · 1976 · dut
Almanackor	Almanack 1773 KVA Lund.
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Street.] · eng
Talmud Yerushalmi. Berakhot	Talmud yerushalmi. · [Berakhot]
Rāmāyana	Rāmāyaṇa
Sept sages de Rome	Seven sages of Rome. · 1754. · eng
Tosefta. Ḥulin	Tosefta. · [Ḥulin]
Bibeln	Bibeln. · Authorized. · 1967 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 2016 · swe
Koranen. Urval	Koranen. Sura 1-6. · Danska & Arabiska
Bibeln	Bibeln. · arm
Hervarar saga og Heiðreks	Hervarar saga og Heiðreks. · Engelska & Fornisländska
Bibeln	Bibeln. · Authorized. · 1647. · eng
Bibeln	Bibeln. · Édition integrale. · 1975 · fre
Bibeln	Bibeln. Maltesiska
Bibeln. Gamla Testamentet	.Bibeln. · [Gamla Testamentet.] · Douai. · 1609 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Union version. · 1977 · swa
Partonopeus de Blois	Partonopeus de Blois. · enm
Koranen	Koranen. · Bulgariska & Arabiska
Almanackor	Almanack 1704 Riddermarck.
Heliand	Heliand. · Tyska & Fornlågtyska
Andreasakterna	Andreasakterna. · Polyglott
Kalevala. Urval	Kalevala. · Urval. · ger
Bibeln	Bibeln. · 1550. · dan
Dödahavsrullarna	Bibeln. · [Gamla Testamentet.] · Dödahavsrullarna. · 1999 · eng
Den svenska psalmboken	Psalmboken 1791 Jönköping.
Kalevala	Kalevala. · nno
Almanackor	Almanack 1797 KVA Åbo.
Grettis saga	Grettis saga. · ita
Almanackor	Almanack 1705 Krook.
Bibeln. Johannesbreven	Bibeln. · [Johannesbreven.] · Polyglott.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Living Bible. · 1987 · swe
Koranen	Koranen. · Rumänska & Arabiska
Den svenska psalmboken	Psalmboken 1767 Lund
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1.] · nor
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1.] · Arameiska & hebreiska
Visio Tnugdali	Visio Tnugdali. · Polyglott
Bibeln. Romarbrevet	Bibeln. · [Romarbrevet.] · 1917. · 1934 · swe
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Book of Common Prayer.] · eng
Hitopadeśa	Hitopadeśa.
Bibeln. Job	Bibeln. · [Job.] · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1717 · Grekiska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Living Bible. · 1975 · swe
Bibeln. Romarbrevet	Bibeln. · [Romarbrevet.] · Wycliff · enm
Mahābhārata	Mahabharata. · ara
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Leningradkodex. · 1998 · heb
Salomon und Markolf	Salomo & Marcolphus
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1926 · swe
Bibeln	Bibeln. · nor
Dödahavsrullarna. Urval	Dödahavsrullarna. · [4Q.] · Urval. · Polyglott
Bibeln	Bibeln. · 1961 · fao
Den svenska psalmboken	Psalmboken 1824 Åbo.
Bibeln. Moseboken 5	Bibeln. · [Moseboken 5.] · Provövers. · 1839 · swe
Bibeln	Bibeln. · Genève. · 1669. · fre
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · eng
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1.] · 1999 · heb
Bibeln	Bibeln. · 1703. · 1801 Lindh. · swe
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna. Engelska]
Bibeln. Tolvprofetboken. Urval	Bibeln. · [Tolvprofetboken] · Urval · Arameiska & Hebreiska.
Evangelier och epistlar	Evangelier och epistlar 1817 Sthlm Lindh.
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · 1891 · Polyglott.
Bibeln	Bibeln. · Luther. · 1984 · ger
Hávamál	Hávamál · swe
Psalmböcker	Psalmboken 1602 Rostock
Bibeln	Bibeln · 1697 · lat
Bibeln	Bibeln. · 1703. · 1812 Rumstedt 2. · swe
Bibeln. Psaltaren	Biblia, Test. Vetus, Psalterium - Lat. et Germ.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 2000 · Living Bible. · swe
Almanackor	Almanack 1813 Åbo.
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet] · swe
Almanackor	Almanack 1781 KVA Sthlm.
Bibeln. Profeterna (Neviʾim)	Bibeln. · [Profeterna (Neviʼim).] · 1911 · heb
Jesajas himmelsfärd	Jesajas himmelsfärd. · Engelska, Fornetiopiska & Latin
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · dut
Almanackor	Almanack 1874 KVA Sthlm
Hávarðar saga Ísfirðings	Hávarðar saga Ísfirðings. · dan
Bibeln	Bibeln. · 1612. · Authorized. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1659 · dut
Almanackor	Almanack 1841 KVA Sthlm
Almanackor	Almanack 1701 Bilberg.
Bibeln	Bibeln · 1637 · fre
Kalīlah wa-Dimnah	Kalīla wa-Dimna. Svenska
Tipiṭaka. Abhidhammapiṭaka. Kathāvatthu	Tipitaṭaka. · [Abhidhammapiṭaka., Kathāvatthu.] · pli
Tēvāram	Tēvāram. · eng
Bibeln	Bibeln. · Polyglott.
Bibeln. Höga visan	Bibeln. · [Höga visan. Svenska.] · Urval
Evangelier och epistlar	Evangelier och epistlar 1774 Örebro.
Bhagavadgītā	Mahābhārata. · [Bhagavadgı̄tā.] · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 2007 · New Living Translation. · swe
Talmud Yerushalmi. Sanhedrin	Talmud Yerushalmi. · [Sanhedrin.] · Engelska & Hebreiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1851 · Grekiska.
Nag Hammadi-skrifterna	Nag Hammadi-skrifterna. · [VII]
Almanackor	Almanack 1761 KVA Sthlm.
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna.] · 1620 · ger
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Buchanan.] · Latin and Greek.
Evangelier och epistlar	Evangelier och epistlar 1794 Nyköping.
Bulletiner	Bulletin 1807-09-20
Bibeln	Bibeln. · Authorized. · 1613. · eng
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Arameiska & Hebreiska
Bibeln	Bibeln. · 1827 · kan
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Septuaginta. · 1896 · Grekiska.
Bulletiner	Bulletin 1813-12-12
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · ger
Bibeln	Bibeln. · 1728 · ger
Bibeln	Bibeln. · Authorized. · 1638. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · san
Bibeln. Apokryferna	Bible. · [Apocrypha., Song of the Three Children.] · eng
Bibeln	Bible. · [Authorised] · eng
Bibeln	Bibeln. tjeckiska
Almanackor	Almanack 1790 KVA Sthlm.
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet. Georgiska]
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Heptateuch.] · 1698. · ang
Bibeln. Nya Testamentet	Bible. · [Nya Testamentet.] · Grekiska & Engelska
Tusen och en natt	Tusen och en natt · swe
Bulletiner	Bulletin 1807-09-07
Bibeln. Moseböckerna	Bible. · [Pentateuch.] · 1982. · heb
Själens tröst	Själens tröst. · 9fs
Bibeln	Bibeln. · 1526 · dut
Bibeln	Bibeln. · Bible de Jérusalem. · 1988 · fre
Bulletiner	Bulletin 1807-07-02
Bibeln	Bibeln. · 1697 · eng
Mishnah. Megillah	Mishna. · [Megilla. Engelska & hebreiska]
Kalīlah wa-Dimnah	Kalīla wa-Dimna. · fre
Nikodemosevangeliet	Nikodemosevangeliet. · Franska & grekiska
Den svenska psalmboken	Psalmboken 1738 Gbg.
Almanackor	Almanack 1802 KVA Åbo.
Bibeln	Bibeln. · Geneva. · eng
Bibeln. Gamla Testamentet. Urval	Bibeln. · [G.T..] · [Urval.] · geo
Kristofers landslag	Kristofers landslag. · fin
Mekhilta of Rabbi Ishmael	Mekhilta · eng
Heliand	Heliand. Högtyska
Koranen. Urval	Koranen. · Urval · Persiska & Arabiska.
Strengleikar	Strengleikar. · nor
Bulletiner	Bulletin 1806-08-30
Bibeln. Nya Testamentet	Bible. · [N.T.] · Castellion. · 1682. · lat
Den svenska psalmboken	Psalmboken 1819 Sthlm Lindh.
Almanackor	Almanack 1803 KVA Torneå.
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna.] · Provövers. · 1840 · swe
Almanackor	Almanack 1810 KVA Sthlm.
Bibeln	Bibeln. · Geneva. · 1581. · eng
Bibeln	Bibeln. · Luther. · 1545 · ger
Bulletiner	Bulletin 1806-01-20
Bibeln. Judit	Bibeln. · [Apokryferna, Judit.] · 1819 · Hebreiska & Jiddisch.
Bibeln. Ordspråksboken	Biblia, Test. Vetus, Proverbia Salomonis - Hebr. et Lat.
Upanishaderna	Upanisad. · Gujarati & sanskrit.
Bibeln	Bibeln. · Luther. · 1568 · ger
Hervarar saga og Heiðreks	Hervarar saga og Heiðreks. · 1847
Bibeln	Bibeln. · 1630 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1881 · swe
Biskupa sǫgur	Biskupa sögur. · 1938-1978
Milindapanha. Urval	Milindapañhā. · Urval · eng
Almanackor	Almanack 1817 Åbo.
Bibeln	Bibeln. · Authorized. · 1953 · eng
Talmud Yerushalmi. Nashim	Talmud Yerushalmi. · [Nashim]
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · Hebreiska & Engelska
Bibeln. Rut	Bibeln. · [Rut.] · Schipper. · 2016. · eng
Bibeln	Bibeln · 1804 · eng
Almanackor	Almanack 1708 Krook.
Bibeln	Bibeln · 1618 · lat
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet. Arabiska]
Almanackor	Almanack 1805 KVA Åbo.
Bibeln. Moseboken 4	Bibeln. · [Moseboken 4.] · Arameiska & hebreiska
Bibeln. Nya Testamentet. Urval	Bibeln · [Nya testamentet] · Urval · swe
Man'yōshū	Man'yōshū. · 880-01 · English & Japanese.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · lat
Bhagavadgītā	Bhagavadgītā. · 1958 · Sanskrit & Spanska.
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · shn
Bibeln. Moseboken 1	Bible. · [Genesis I-XI.] · Einheitsübersetzung. · 1980. · ger
Bibeln. Psaltaren	Bible. · [O.T., Psalms., GreatBible.] · eng
Dödsboken	Dödsboken · Engelska & Fornegyptiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1879 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Lektorernas övers. · 1896 · swe
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Buchanan] · lat
Bibeln	Bibeln. Tyska
